,QUARTER,TIME_REMAINING,MIAMI_ACTION,DETROIT_ACTION,MIAMI_SCORE,DETROIT_SCORE
0,1,11:43.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,0
1,1,11:41.0,Defensive rebound by R. McGruder,,0,0
2,1,11:35.0,J. Richardson makes 2-pt jump shot from 18 ft (assist by G. Dragić),,2,0
3,1,11:12.0,,R. Jackson misses 3-pt jump shot from 27 ft,2,0
4,1,11:09.0,Defensive rebound by R. McGruder,,2,0
5,1,11:03.0,J. Richardson misses 3-pt jump shot from 27 ft,,2,0
6,1,11:00.0,,Defensive rebound by B. Griffin,2,0
7,1,10:53.0,,Offensive foul by A. Drummond (drawn by R. McGruder),2,0
8,1,10:53.0,,Turnover by A. Drummond (offensive foul),2,0
9,1,10:43.0,B. Adebayo makes 2-pt dunk at rim (assist by R. McGruder),,4,0
10,1,10:28.0,,Turnover by B. Griffin (lost ball; steal by J. Winslow),4,0
11,1,10:25.0,G. Dragić misses 3-pt jump shot from 25 ft,,4,0
12,1,10:23.0,,Defensive rebound by Team,4,0
13,1,10:07.0,,G. Robinson misses 2-pt layup from 3 ft,4,0
14,1,10:05.0,Defensive rebound by B. Adebayo,,4,0
15,1,9:59.0,J. Winslow makes 2-pt layup from 2 ft,,6,0
16,1,9:46.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),6,3
17,1,9:39.0,G. Dragić makes 2-pt jump shot from 8 ft,,8,3
18,1,9:39.0,Shooting foul by B. Brown (drawn by G. Dragić),,8,3
19,1,9:39.0,G. Dragić makes free throw 1 of 1,,9,3
20,1,9:25.0,,Turnover by G. Robinson (bad pass; steal by B. Adebayo),9,3
21,1,9:20.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Winslow),,12,3
22,1,9:11.0,,Detroit full timeout,12,3
23,1,8:58.0,,B. Griffin makes 2-pt hook shot from 6 ft,12,5
24,1,8:46.0,G. Dragić misses 2-pt layup from 3 ft,,12,5
25,1,8:44.0,,Defensive rebound by B. Brown,12,5
26,1,8:31.0,,G. Robinson misses 3-pt jump shot from 23 ft,12,5
27,1,8:28.0,,Offensive rebound by A. Drummond,12,5
28,1,8:27.0,,A. Drummond makes 2-pt layup from 1 ft,12,7
29,1,8:15.0,J. Richardson makes 2-pt dunk from 1 ft (assist by J. Winslow),,14,7
30,1,8:01.0,,B. Griffin makes 3-pt jump shot from 26 ft (assist by R. Jackson),14,10
31,1,7:52.0,Turnover by G. Dragić (bad pass),,14,10
32,1,7:43.0,,Personal foul by J. Winslow (drawn by B. Griffin),14,10
