,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:44.0,,A. Gordon misses 2-pt jump shot from 12 ft,0,0
1,1,11:41.0,Defensive rebound by T. Hardaway,,0,0
2,1,11:24.0,J. Brunson makes 2-pt jump shot from 6 ft (assist by T. Hardaway),,2,0
3,1,11:24.0,Shooting foul by D. Augustin (drawn by J. Brunson),,2,0
4,1,11:24.0,J. Brunson makes free throw 1 of 1,,3,0
5,1,11:09.0,,Turnover by A. Gordon (bad pass; steal by D. Powell),3,0
6,1,11:03.0,D. Powell makes 2-pt dunk from 2 ft (assist by L. Dončić),,5,0
7,1,10:49.0,,Shooting foul by T. Hardaway (drawn by N. Vučević),5,0
8,1,10:49.0,,N. Vučević makes free throw 1 of 2,5,1
9,1,10:49.0,,N. Vučević misses free throw 2 of 2,5,1
10,1,10:46.0,,Offensive rebound by J. Isaac,5,1
11,1,10:42.0,,J. Isaac makes 2-pt jump shot from 12 ft,5,3
12,1,10:20.0,D. Powell misses 3-pt jump shot from 25 ft,,5,3
13,1,10:17.0,,Defensive rebound by J. Isaac,5,3
14,1,10:07.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by N. Vučević),5,6
15,1,9:39.0,L. Dončić makes 3-pt jump shot from 26 ft,,8,6
16,1,9:30.0,,N. Vučević misses 3-pt jump shot from 25 ft,8,6
17,1,9:27.0,Defensive rebound by L. Dončić,,8,6
18,1,9:20.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,8,6
19,1,9:15.0,Offensive rebound by D. Powell,,8,6
20,1,9:14.0,Turnover by D. Powell (bad pass; steal by N. Vučević),,8,6
21,1,9:04.0,,D. Augustin misses 3-pt jump shot from 28 ft,8,6
22,1,9:01.0,Defensive rebound by L. Dončić,,8,6
23,1,8:53.0,L. Dončić misses 3-pt jump shot from 25 ft,,8,6
24,1,8:50.0,,Defensive rebound by J. Isaac,8,6
25,1,8:40.0,,E. Fournier misses 2-pt jump shot from 14 ft,8,6
26,1,8:37.0,Defensive rebound by D. Finney-Smith,,8,6
27,1,8:29.0,T. Hardaway misses 3-pt jump shot from 26 ft,,8,6
28,1,8:27.0,,Defensive rebound by N. Vučević,8,6
29,1,8:14.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by N. Vučević),8,8
30,1,7:51.0,L. Dončić misses 2-pt jump shot from 14 ft,,8,8
31,1,7:49.0,Offensive rebound by Team,,8,8
32,1,7:41.0,L. Dončić misses 3-pt jump shot from 25 ft,,8,8
33,1,7:37.0,,Defensive rebound by N. Vučević,8,8
34,1,7:25.0,,J. Isaac makes 2-pt layup from 1 ft,8,10
35,1,7:06.0,Turnover by T. Hardaway (lost ball; steal by J. Isaac),,8,10
36,1,6:52.0,,Personal foul by D. Finney-Smith (drawn by A. Gordon),8,10
37,1,6:52.0,,Orlando full timeout,8,10
38,1,6:43.0,,A. Gordon misses 2-pt layup from 4 ft,8,10
39,1,6:39.0,Defensive rebound by L. Dončić,,8,10
40,1,6:31.0,T. Hardaway makes 2-pt layup from 3 ft (assist by J. Brunson),,10,10
41,1,6:15.0,,E. Fournier makes 3-pt jump shot from 25 ft,10,13
42,1,6:03.0,T. Hardaway misses 2-pt layup from 5 ft,,10,13
43,1,6:00.0,,Defensive rebound by N. Vučević,10,13
44,1,5:57.0,,A. Gordon makes 2-pt layup from 1 ft (assist by N. Vučević),10,15
45,1,5:57.0,,Shooting foul by J. Brunson (drawn by A. Gordon),10,15
46,1,5:57.0,J. Jackson enters the game for J. Brunson,,10,15
47,1,5:57.0,S. Mejri enters the game for D. Powell,,10,15
48,1,5:57.0,,A. Gordon misses free throw 1 of 1,10,15
49,1,5:54.0,Defensive rebound by L. Dončić,,10,15
50,1,5:44.0,Personal foul by A. Gordon (drawn by L. Dončić),,10,15
51,1,5:44.0,,W. Iwundu enters the game for A. Gordon,10,15
52,1,5:34.0,S. Mejri misses 2-pt layup from 2 ft (block by J. Isaac),,10,15
53,1,5:31.0,Offensive rebound by T. Hardaway,,10,15
54,1,5:31.0,L. Dončić misses 2-pt jump shot from 15 ft,,10,15
55,1,5:27.0,,Defensive rebound by N. Vučević,10,15
56,1,5:17.0,,J. Isaac misses 3-pt jump shot from 25 ft,10,15
57,1,5:15.0,Defensive rebound by T. Hardaway,,10,15
58,1,5:09.0,S. Mejri makes 2-pt dunk from 2 ft (assist by L. Dončić),,12,15
59,1,5:08.0,Technical foul by S. Mejri,,12,15
60,1,5:08.0,,E. Fournier makes technical free throw,12,16
61,1,4:51.0,,J. Isaac misses 2-pt jump shot from 19 ft,12,16
62,1,4:48.0,,Offensive rebound by E. Fournier,12,16
63,1,4:39.0,,Shooting foul by S. Mejri (drawn by J. Isaac),12,16
64,1,4:39.0,,J. Isaac makes free throw 1 of 2,12,17
65,1,4:39.0,,J. Grant enters the game for D. Augustin,12,17
66,1,4:39.0,,T. Ross enters the game for E. Fournier,12,17
67,1,4:39.0,,J. Isaac makes free throw 2 of 2,12,18
68,1,4:22.0,D. Finney-Smith misses 2-pt jump shot from 18 ft,,12,18
69,1,4:19.0,,Defensive rebound by W. Iwundu,12,18
70,1,4:14.0,,W. Iwundu misses 2-pt layup from 3 ft (block by S. Mejri),12,18
71,1,4:13.0,,Offensive rebound by Team,12,18
72,1,4:13.0,C. Lee enters the game for D. Finney-Smith,,12,18
73,1,4:09.0,,T. Ross misses 2-pt jump shot from 16 ft,12,18
74,1,4:09.0,Defensive rebound by S. Mejri,,12,18
75,1,3:58.0,L. Dončić misses 2-pt jump shot from 14 ft,,12,18
