,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,LA CLIPPERS_ACTION,LA LAKERS_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,Turnover by L. James (out of bounds lost ball),,0,0
1,1,11:31.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by M. Gortat),0,3
2,1,11:14.0,B. Ingram makes 2-pt layup from 1 ft (assist by K. Kuzma),,2,3
3,1,10:57.0,,Turnover by M. Gortat (bad pass; steal by R. Rondo),2,3
4,1,10:55.0,R. Rondo makes 2-pt layup from 1 ft,,4,3
5,1,10:40.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 27 ft,4,3
6,1,10:39.0,Defensive rebound by I. Zubac,,4,3
7,1,10:39.0,Personal foul by T. Harris (drawn by L. James),,4,3
8,1,10:24.0,L. James misses 2-pt jump shot from 17 ft,,4,3
9,1,10:22.0,,Defensive rebound by A. Bradley,4,3
10,1,10:18.0,,A. Bradley misses 2-pt jump shot from 20 ft,4,3
11,1,10:16.0,Defensive rebound by I. Zubac,,4,3
12,1,10:00.0,Turnover by K. Kuzma (lost ball; steal by S. Gilgeous-Alexander),,4,3
13,1,9:53.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by S. Gilgeous-Alexander),4,6
14,1,9:34.0,Shooting foul by P. Beverley (drawn by B. Ingram),,4,6
15,1,9:34.0,B. Ingram makes free throw 1 of 2,,5,6
16,1,9:34.0,B. Ingram makes free throw 2 of 2,,6,6
17,1,9:25.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 25 ft,6,6
18,1,9:20.0,Defensive rebound by R. Rondo,,6,6
19,1,9:13.0,Turnover by L. James (bad pass; steal by P. Beverley),,6,6
20,1,9:07.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by A. Bradley),6,9
21,1,8:54.0,I. Zubac misses 2-pt jump shot from 19 ft,,6,9
22,1,8:52.0,,Defensive rebound by A. Bradley,6,9
23,1,8:45.0,,T. Harris misses 2-pt jump shot from 16 ft,6,9
24,1,8:41.0,,Offensive rebound by M. Gortat,6,9
25,1,8:41.0,,M. Gortat makes 2-pt layup from 1 ft,6,11
26,1,8:24.0,L. James misses 3-pt jump shot from 27 ft,,6,11
27,1,8:21.0,,Defensive rebound by S. Gilgeous-Alexander,6,11
28,1,8:13.0,,Turnover by P. Beverley (bad pass; steal by K. Kuzma),6,11
29,1,8:08.0,L. James makes 2-pt layup from 1 ft (assist by K. Kuzma),,8,11
30,1,7:54.0,,T. Harris misses 2-pt jump shot from 11 ft,8,11
31,1,7:54.0,Defensive rebound by Team,,8,11
32,1,7:54.0,,Loose ball foul by M. Gortat (drawn by K. Kuzma),8,11
33,1,7:37.0,Shooting foul by M. Gortat (drawn by I. Zubac),,8,11
34,1,7:37.0,I. Zubac makes free throw 1 of 2,,9,11
35,1,7:37.0,I. Zubac makes free throw 2 of 2,,10,11
36,1,7:25.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 18 ft,10,11
37,1,7:21.0,,Offensive rebound by P. Beverley,10,11
38,1,7:18.0,,A. Bradley makes 3-pt jump shot from 27 ft (assist by T. Harris),10,14
39,1,6:59.0,B. Ingram makes 2-pt jump shot from 19 ft (assist by I. Zubac),,12,14
40,1,6:44.0,,A. Bradley misses 3-pt jump shot from 27 ft,12,14
41,1,6:41.0,Defensive rebound by L. James,,12,14
42,1,6:38.0,K. Kuzma makes 2-pt jump shot from 11 ft (assist by L. James),,14,14
43,1,6:37.0,,LA Clippers full timeout,14,14
44,1,6:37.0,,M. Harrell enters the game for S. Gilgeous-Alexander,14,14
45,1,6:37.0,,M. Scott enters the game for M. Gortat,14,14
46,1,6:25.0,,P. Beverley misses 2-pt jump shot from 22 ft,14,14
47,1,6:22.0,Defensive rebound by R. Rondo,,14,14
48,1,6:09.0,I. Zubac misses 2-pt layup from 3 ft (block by M. Harrell),,14,14
