,QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,D. Lillard makes 3-pt jump shot from 25 ft,,3,0
1,1,11:29.0,,N. Bjelica misses 3-pt jump shot from 25 ft,3,0
2,1,11:26.0,Defensive rebound by J. Layman,,3,0
3,1,11:18.0,D. Lillard misses 2-pt layup from 2 ft,,3,0
4,1,11:16.0,,Defensive rebound by W. Cauley-Stein,3,0
5,1,11:03.0,,Turnover by W. Cauley-Stein (traveling),3,0
6,1,10:47.0,Turnover by D. Lillard (bad pass; steal by W. Cauley-Stein),,3,0
7,1,10:42.0,,D. Fox misses 3-pt jump shot from 23 ft,3,0
8,1,10:41.0,,Offensive rebound by N. Bjelica,3,0
9,1,10:37.0,,I. Shumpert misses 2-pt jump shot from 20 ft,3,0
10,1,10:34.0,Defensive rebound by J. Nurkić,,3,0
11,1,10:27.0,C. McCollum misses 3-pt jump shot from 25 ft,,3,0
12,1,10:23.0,,Defensive rebound by B. Hield,3,0
13,1,10:15.0,,B. Hield makes 2-pt jump shot from 16 ft,3,2
14,1,9:54.0,Turnover by D. Lillard (out of bounds lost ball),,3,2
15,1,9:42.0,,Turnover by W. Cauley-Stein (bad pass; steal by D. Lillard),3,2
16,1,9:37.0,Offensive foul by A. Aminu (drawn by D. Fox),,3,2
17,1,9:37.0,Turnover by A. Aminu (offensive foul),,3,2
18,1,9:25.0,,W. Cauley-Stein misses 2-pt jump shot from 18 ft,3,2
19,1,9:21.0,Defensive rebound by J. Nurkić,,3,2
20,1,9:12.0,D. Lillard misses 2-pt layup from 4 ft (block by N. Bjelica),,3,2
21,1,9:12.0,Offensive rebound by A. Aminu,,3,2
22,1,9:11.0,A. Aminu makes 2-pt layup from 2 ft,,5,2
23,1,9:11.0,Shooting foul by D. Fox (drawn by A. Aminu),,5,2
24,1,9:11.0,A. Aminu makes free throw 1 of 1,,6,2
25,1,9:03.0,,Shooting foul by D. Lillard (drawn by D. Fox),6,2
26,1,9:03.0,,D. Fox makes free throw 1 of 2,6,3
27,1,9:03.0,,D. Fox makes free throw 2 of 2,6,4
28,1,8:53.0,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),,8,4
29,1,8:47.0,,D. Fox misses 2-pt jump shot from 14 ft,8,4
30,1,8:44.0,,Offensive rebound by B. Hield,8,4
31,1,8:38.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by D. Fox),8,7
32,1,8:23.0,C. McCollum makes 2-pt layup from 2 ft,,10,7
33,1,8:08.0,,N. Bjelica misses 3-pt jump shot from 27 ft,10,7
34,1,8:04.0,Defensive rebound by C. McCollum,,10,7
35,1,7:59.0,Turnover by C. McCollum (dbl dribble),,10,7
36,1,7:47.0,,I. Shumpert misses 2-pt layup from 4 ft,10,7
37,1,7:47.0,,Offensive rebound by Team,10,7
38,1,7:40.0,,W. Cauley-Stein misses 2-pt dunk from 3 ft (block by J. Nurkić),10,7
39,1,7:37.0,Defensive rebound by A. Aminu,,10,7
40,1,7:33.0,J. Layman makes 2-pt dunk from 1 ft (assist by A. Aminu),,12,7
41,1,7:25.0,,Turnover by N. Bjelica (lost ball; steal by A. Aminu),12,7
42,1,7:16.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,14,7
43,1,7:16.0,,Sacramento full timeout,14,7
44,1,7:01.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),14,10
45,1,6:35.0,C. McCollum misses 2-pt jump shot from 19 ft,,14,10
46,1,6:32.0,Offensive rebound by J. Layman,,14,10
47,1,6:27.0,Turnover by D. Lillard (bad pass; steal by D. Fox),,14,10
48,1,6:19.0,,I. Shumpert misses 3-pt jump shot from 27 ft,14,10
49,1,6:16.0,Defensive rebound by J. Nurkić,,14,10
50,1,6:09.0,D. Lillard misses 2-pt layup from 6 ft (block by I. Shumpert),,14,10
51,1,6:09.0,Offensive rebound by Team,,14,10
52,1,6:09.0,,M. Bagley enters the game for N. Bjelica,14,10
53,1,6:00.0,Shooting foul by M. Bagley (drawn by A. Aminu),,14,10
54,1,6:00.0,A. Aminu makes free throw 1 of 2,,15,10
55,1,6:00.0,A. Aminu makes free throw 2 of 2,,16,10
56,1,5:51.0,,B. Hield makes 2-pt jump shot from 10 ft (assist by I. Shumpert),16,12
57,1,5:38.0,Turnover by D. Lillard (bad pass),,16,12
58,1,5:24.0,,Turnover by B. Hield (lost ball; steal by C. McCollum),16,12
59,1,5:18.0,D. Lillard makes 2-pt layup from 2 ft (assist by C. McCollum),,18,12
60,1,5:12.0,,Personal foul by A. Aminu (drawn by M. Bagley),18,12
61,1,5:12.0,Z. Collins enters the game for A. Aminu,,18,12
62,1,5:12.0,E. Turner enters the game for J. Layman,,18,12
63,1,5:12.0,,B. Bogdanović enters the game for I. Shumpert,18,12
64,1,5:03.0,,W. Cauley-Stein misses 2-pt hook shot from 9 ft,18,12
65,1,5:01.0,Defensive rebound by J. Nurkić,,18,12
66,1,4:53.0,C. McCollum misses 2-pt jump shot from 8 ft,,18,12
67,1,4:49.0,,Defensive rebound by W. Cauley-Stein,18,12
68,1,4:37.0,,M. Bagley makes 2-pt jump shot from 17 ft,18,14
69,1,4:13.0,J. Nurkić misses 2-pt jump shot from 22 ft,,18,14
70,1,4:10.0,,Defensive rebound by D. Fox,18,14
71,1,4:05.0,,W. Cauley-Stein misses 2-pt layup from 3 ft,18,14
72,1,4:02.0,Defensive rebound by Z. Collins,,18,14
73,1,3:56.0,Turnover by D. Lillard (bad pass; steal by B. Bogdanović),,18,14
74,1,3:52.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),18,16
75,1,3:52.0,Portland full timeout,,18,16
76,1,3:52.0,S. Curry enters the game for C. McCollum,,18,16
77,1,3:52.0,,H. Giles enters the game for W. Cauley-Stein,18,16
