,QUARTER,TIME_REMAINING,PORTLAND_ACTION,OKLAHOMA CITY_ACTION,PORTLAND_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,Shooting foul by S. Adams (drawn by J. Nurkić),,0,0
1,1,11:40.0,J. Nurkić misses free throw 1 of 2,,0,0
2,1,11:40.0,Offensive rebound by Team,,0,0
3,1,11:40.0,J. Nurkić makes free throw 2 of 2,,1,0
4,1,11:22.0,,P. George makes 2-pt dunk from 2 ft,1,2
5,1,11:09.0,Turnover by D. Lillard (lost ball; steal by S. Adams),,1,2
6,1,10:58.0,,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),1,5
7,1,10:41.0,C. McCollum misses 2-pt jump shot from 14 ft,,1,5
8,1,10:40.0,Offensive rebound by Team,,1,5
9,1,10:30.0,J. Nurkić misses 2-pt layup from 2 ft,,1,5
10,1,10:29.0,,Defensive rebound by P. George,1,5
11,1,10:25.0,,P. Patterson misses 3-pt jump shot from 26 ft,1,5
12,1,10:25.0,Defensive rebound by J. Nurkić,,1,5
13,1,10:10.0,M. Harkless misses 3-pt jump shot from 25 ft,,1,5
14,1,10:09.0,,Defensive rebound by P. Patterson,1,5
15,1,10:02.0,,S. Adams misses 2-pt jump shot from 13 ft,1,5
16,1,10:01.0,Defensive rebound by Team,,1,5
17,1,9:39.0,D. Lillard makes 3-pt jump shot from 28 ft (assist by A. Aminu),,4,5
18,1,9:19.0,,S. Adams makes 2-pt layup from 1 ft (assist by P. George),4,7
19,1,9:14.0,Personal foul by T. Ferguson (drawn by C. McCollum),,4,7
20,1,8:57.0,J. Nurkić misses 2-pt hook shot from 5 ft,,4,7
21,1,8:55.0,,Defensive rebound by R. Westbrook,4,7
22,1,8:52.0,,T. Ferguson makes 2-pt dunk from 1 ft (assist by R. Westbrook),4,9
23,1,8:52.0,,Shooting foul by D. Lillard (drawn by T. Ferguson),4,9
24,1,8:52.0,,T. Ferguson makes free throw 1 of 1,4,10
25,1,8:39.0,C. McCollum misses 3-pt jump shot from 26 ft,,4,10
26,1,8:36.0,Offensive rebound by J. Nurkić,,4,10
27,1,8:29.0,Shooting foul by T. Ferguson (drawn by D. Lillard),,4,10
28,1,8:29.0,D. Lillard misses free throw 1 of 3,,4,10
29,1,8:29.0,Offensive rebound by Team,,4,10
30,1,8:29.0,D. Lillard makes free throw 2 of 3,,5,10
31,1,8:29.0,D. Lillard makes free throw 3 of 3,,6,10
32,1,8:15.0,,T. Ferguson misses 3-pt jump shot from 23 ft,6,10
33,1,8:11.0,Defensive rebound by D. Lillard,,6,10
34,1,8:02.0,C. McCollum misses 2-pt jump shot from 17 ft,,6,10
35,1,8:01.0,,Defensive rebound by R. Westbrook,6,10
36,1,7:57.0,,Turnover by R. Westbrook (bad pass),6,10
37,1,7:41.0,A. Aminu makes 3-pt jump shot from 25 ft (assist by C. McCollum),,9,10
38,1,7:19.0,,Shooting foul by D. Lillard (drawn by R. Westbrook),9,10
39,1,7:19.0,,R. Westbrook misses free throw 1 of 2,9,10
40,1,7:19.0,,Offensive rebound by Team,9,10
41,1,7:19.0,,R. Westbrook makes free throw 2 of 2,9,11
42,1,7:02.0,C. McCollum makes 2-pt jump shot from 13 ft,,11,11
43,1,6:55.0,,Turnover by R. Westbrook (bad pass; steal by D. Lillard),11,11
44,1,6:46.0,Turnover by D. Lillard (bad pass; steal by T. Ferguson),,11,11
45,1,6:42.0,,P. George makes 2-pt layup from 1 ft,11,13
46,1,6:17.0,C. McCollum misses 2-pt jump shot from 10 ft,,11,13
47,1,6:15.0,,Defensive rebound by R. Westbrook,11,13
48,1,6:10.0,,R. Westbrook misses 3-pt jump shot from 25 ft,11,13
49,1,6:08.0,Defensive rebound by A. Aminu,,11,13
50,1,5:57.0,C. McCollum makes 2-pt layup from 1 ft (assist by D. Lillard),,13,13
51,1,5:47.0,,P. George makes 3-pt jump shot from 26 ft,13,16
52,1,5:26.0,,Oklahoma City full timeout,13,16
53,1,5:26.0,R. Hood enters the game for M. Harkless,,13,16
54,1,5:20.0,Turnover by J. Nurkić (off goaltending),,13,16
55,1,5:10.0,,R. Westbrook makes 2-pt jump shot from 17 ft,13,18
56,1,4:57.0,Shooting foul by T. Ferguson (drawn by C. McCollum),,13,18
57,1,4:57.0,C. McCollum makes free throw 1 of 2,,14,18
58,1,4:57.0,,D. Burton enters the game for T. Ferguson,14,18
59,1,4:57.0,,A. Nader enters the game for P. George,14,18
60,1,4:57.0,C. McCollum misses free throw 2 of 2,,14,18
61,1,4:57.0,,Defensive rebound by R. Westbrook,14,18
62,1,4:42.0,,A. Nader misses 2-pt layup from 1 ft,14,18
63,1,4:40.0,Defensive rebound by J. Nurkić,,14,18
64,1,4:35.0,C. McCollum makes 2-pt layup from 1 ft,,16,18
65,1,4:21.0,,Def 3 sec tech foul by Team,16,18
66,1,4:21.0,,R. Westbrook makes technical free throw,16,19
67,1,4:13.0,,Personal foul by C. McCollum (drawn by R. Westbrook),16,19
68,1,4:07.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by A. Nader),16,21
69,1,3:52.0,Turnover by D. Lillard (lost ball; steal by S. Adams),,16,21
70,1,3:52.0,J. Layman enters the game for A. Aminu,,16,21
71,1,3:52.0,E. Turner enters the game for C. McCollum,,16,21
72,1,3:52.0,,H. Diallo enters the game for P. Patterson,16,21
73,1,3:40.0,,R. Westbrook misses 2-pt layup from 1 ft,16,21
74,1,3:38.0,Defensive rebound by J. Nurkić,,16,21
75,1,3:35.0,D. Lillard misses 3-pt jump shot from 25 ft,,16,21
76,1,3:35.0,Offensive rebound by Team,,16,21
77,1,3:32.0,,Loose ball foul by H. Diallo (drawn by J. Nurkić),16,21
78,1,3:32.0,J. Nurkić makes free throw 1 of 2,,17,21
79,1,3:32.0,J. Nurkić misses free throw 2 of 2,,17,21
80,1,3:30.0,,Defensive rebound by R. Westbrook,17,21
81,1,3:23.0,,R. Westbrook makes 2-pt jump shot from 22 ft,17,23
82,1,3:02.0,J. Layman makes 2-pt layup from 1 ft,,19,23
83,1,2:52.0,,Personal foul by R. Hood (drawn by R. Westbrook),19,23
84,1,2:52.0,Portland full timeout,,19,23
85,1,2:52.0,C. McCollum enters the game for D. Lillard,,19,23
86,1,2:52.0,,R. Felton enters the game for H. Diallo,19,23
87,1,2:52.0,,P. George enters the game for R. Westbrook,19,23
88,1,2:46.0,,P. George misses 2-pt jump shot from 22 ft,19,23
89,1,2:41.0,Defensive rebound by J. Layman,,19,23
90,1,2:30.0,R. Hood makes 3-pt jump shot from 25 ft (assist by E. Turner),,22,23
91,1,2:14.0,,D. Burton makes 3-pt jump shot from 26 ft (assist by P. George),22,26
92,1,2:01.0,J. Layman makes 2-pt dunk from 1 ft (assist by J. Nurkić),,24,26
93,1,1:47.0,,P. George misses 2-pt jump shot from 16 ft,24,26
94,1,1:45.0,Defensive rebound by J. Nurkić,,24,26
95,1,1:24.0,E. Turner misses 2-pt jump shot from 8 ft,,24,26
96,1,1:22.0,,Defensive rebound by P. George,24,26
97,1,1:11.0,,P. George makes 2-pt layup from 1 ft,24,28
98,1,1:00.0,C. McCollum misses 3-pt jump shot from 26 ft,,24,28
99,1,0:59.0,,Defensive rebound by A. Nader,24,28
100,1,0:53.0,,P. George makes 3-pt jump shot from 26 ft,24,31
101,1,0:33.0,Turnover by C. McCollum (traveling),,24,31
102,1,0:26.0,,P. George makes 2-pt jump shot from 2 ft,24,33
103,1,0:12.0,J. Nurkić makes 2-pt jump shot from 3 ft (assist by C. McCollum),,26,33
104,1,0:00.0,,D. Burton makes 3-pt jump shot from 26 ft (assist by P. George),26,36
105,2,11:47.0,,P. George makes 3-pt jump shot from 27 ft,26,39
106,2,11:25.0,Z. Collins makes 2-pt hook shot from 1 ft (assist by E. Turner),,28,39
107,2,11:10.0,,R. Felton makes 3-pt jump shot from 25 ft (assist by P. George),28,42
108,2,10:53.0,R. Hood makes 2-pt layup from 1 ft,,30,42
109,2,10:35.0,,P. George misses 2-pt jump shot from 11 ft,30,42
110,2,10:33.0,,Offensive rebound by Team,30,42
111,2,10:33.0,,Loose ball foul by N. Noel (drawn by Z. Collins),30,42
112,2,10:33.0,,Turnover by N. Noel (turnover),30,42
113,2,10:14.0,Shooting foul by N. Noel (drawn by Z. Collins),,30,42
114,2,10:14.0,Z. Collins misses free throw 1 of 2,,30,42
115,2,10:14.0,Offensive rebound by Team,,30,42
116,2,10:14.0,Z. Collins makes free throw 2 of 2,,31,42
117,2,10:00.0,,R. Felton makes 2-pt jump shot from 17 ft,31,44
118,2,9:39.0,Z. Collins misses 2-pt layup from 1 ft,,31,44
119,2,9:37.0,Offensive rebound by Z. Collins,,31,44
120,2,9:35.0,C. McCollum misses 3-pt jump shot from 25 ft,,31,44
121,2,9:31.0,,Defensive rebound by A. Nader,31,44
122,2,9:22.0,,Turnover by P. George (bad pass; steal by C. McCollum),31,44
