,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,LA LAKERS_ACTION,MILWAUKEE_SCORE,LA LAKERS_SCORE
369,4,7:00.0,P. Connaughton enters the game for T. Snell,,106,106
370,4,7:00.0,,B. Ingram enters the game for J. Hart,106,106
371,4,6:46.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by N. Mirotić),,108,106
372,4,6:31.0,,R. Rondo makes 2-pt layup from 2 ft,108,108
373,4,6:19.0,Personal foul by R. Rondo (drawn by N. Mirotić),,108,108
374,4,6:06.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,108,108
375,4,6:03.0,Offensive rebound by P. Connaughton,,108,108
376,4,5:52.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,108,108
377,4,5:47.0,,Defensive rebound by R. Rondo,108,108
378,4,5:45.0,,Shooting foul by K. Middleton (drawn by R. Rondo),108,108
379,4,5:45.0,,R. Rondo makes free throw 1 of 2,108,109
380,4,5:45.0,E. İlyasova enters the game for G. Antetokounmpo,,108,109
381,4,5:45.0,,R. Rondo makes free throw 2 of 2,108,110
382,4,5:29.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Middleton),,110,110
383,4,5:07.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,110,110
384,4,5:03.0,,Offensive rebound by R. Rondo,110,110
385,4,4:59.0,,Turnover by R. Rondo (bad pass; steal by E. İlyasova),110,110
386,4,4:59.0,Personal foul by R. Rondo (drawn by K. Middleton),,110,110
387,4,4:59.0,K. Middleton misses free throw 1 of 2,,110,110
388,4,4:59.0,Offensive rebound by Team,,110,110
389,4,4:59.0,K. Middleton makes free throw 2 of 2,,111,110
390,4,4:35.0,,L. James misses 2-pt layup from 2 ft,111,110
391,4,4:33.0,Defensive rebound by N. Mirotić,,111,110
392,4,4:24.0,N. Mirotić makes 2-pt jump shot from 18 ft,,113,110
393,4,4:08.0,,L. James makes 2-pt dunk from 1 ft,113,112
394,4,4:08.0,,Shooting foul by E. İlyasova (drawn by L. James),113,112
395,4,4:08.0,,K. Kuzma enters the game for J. McGee,113,112
396,4,4:08.0,,L. James makes free throw 1 of 1,113,113
397,4,3:55.0,E. Bledsoe misses 2-pt layup from 9 ft (block by B. Ingram),,113,113
398,4,3:47.0,,Defensive rebound by K. Kuzma,113,113
399,4,3:35.0,,Shooting foul by P. Connaughton (drawn by B. Ingram),113,113
400,4,3:35.0,,B. Ingram makes free throw 1 of 2,113,114
401,4,3:35.0,Milwaukee full timeout,,113,114
402,4,3:35.0,G. Antetokounmpo enters the game for P. Connaughton,,113,114
403,4,3:35.0,M. Brogdon enters the game for N. Mirotić,,113,114
404,4,3:35.0,,B. Ingram makes free throw 2 of 2,113,115
405,4,3:26.0,E. Bledsoe makes 2-pt jump shot from 3 ft,,115,115
406,4,3:26.0,Shooting foul by K. Caldwell-Pope (drawn by E. Bledsoe),,115,115
407,4,3:26.0,E. Bledsoe makes free throw 1 of 1,,116,115
408,4,3:11.0,,L. James makes 3-pt jump shot from 26 ft (assist by K. Kuzma),116,118
409,4,2:44.0,Offensive foul by G. Antetokounmpo (drawn by K. Caldwell-Pope),,116,118
410,4,2:44.0,Turnover by G. Antetokounmpo (offensive foul),,116,118
411,4,2:36.0,,Turnover by R. Rondo (bad pass),116,118
412,4,2:25.0,E. Bledsoe makes 2-pt layup from 1 ft,,118,118
413,4,2:25.0,Shooting foul by K. Kuzma (drawn by E. Bledsoe),,118,118
414,4,2:25.0,E. Bledsoe makes free throw 1 of 1,,119,118
415,4,2:10.0,,Offensive foul by L. James (drawn by E. İlyasova),119,118
416,4,2:10.0,,Turnover by L. James (offensive foul),119,118
417,4,1:54.0,Shooting foul by R. Rondo (drawn by M. Brogdon),,119,118
418,4,1:54.0,M. Brogdon makes free throw 1 of 2,,120,118
419,4,1:54.0,M. Brogdon makes free throw 2 of 2,,121,118
420,4,1:54.0,,LA Lakers full timeout,121,118
421,4,1:48.0,,Turnover by K. Caldwell-Pope (bad pass; steal by E. İlyasova),121,118
422,4,1:41.0,M. Brogdon makes 3-pt jump shot from 24 ft (assist by K. Middleton),,124,118
423,4,1:34.0,,L. James misses 3-pt jump shot from 27 ft,124,118
424,4,1:32.0,Defensive rebound by G. Antetokounmpo,,124,118
425,4,1:14.0,E. Bledsoe misses 3-pt jump shot from 27 ft,,124,118
426,4,1:11.0,,Defensive rebound by R. Rondo,124,118
427,4,1:01.0,,B. Ingram misses 2-pt jump shot from 13 ft,124,118
428,4,0:59.0,Defensive rebound by K. Middleton,,124,118
429,4,0:37.0,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),,127,118
430,4,0:37.0,,LA Lakers full timeout,127,118
431,4,0:35.0,,L. James misses 3-pt jump shot from 29 ft,127,118
432,4,0:31.0,Defensive rebound by K. Middleton,,127,118
433,4,0:29.0,Personal take foul by K. Caldwell-Pope (drawn by K. Middleton),,127,118
434,4,0:29.0,K. Middleton makes free throw 1 of 2,,128,118
435,4,0:29.0,P. Connaughton enters the game for G. Antetokounmpo,,128,118
436,4,0:29.0,T. Snell enters the game for E. Bledsoe,,128,118
437,4,0:29.0,K. Middleton makes free throw 2 of 2,,129,118
438,4,0:23.0,,L. James makes 2-pt layup from 2 ft,129,120
439,4,0:22.0,Personal take foul by B. Ingram (drawn by K. Middleton),,129,120
440,4,0:22.0,K. Middleton makes free throw 1 of 2,,130,120
441,4,0:22.0,I. Canaan enters the game for M. Brogdon,,130,120
442,4,0:22.0,N. Mirotić enters the game for E. İlyasova,,130,120
443,4,0:22.0,K. Middleton makes free throw 2 of 2,,131,120
444,4,0:16.0,,B. Ingram misses 2-pt jump shot from 20 ft,131,120
445,4,0:12.0,Defensive rebound by I. Canaan,,131,120
