,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:41.0,C. McCollum makes 2-pt jump shot from 20 ft (assist by D. Lillard),,2,0
1,1,11:20.0,,J. Randle makes 2-pt layup from 2 ft,2,2
2,1,10:59.0,A. Aminu makes 2-pt layup from 2 ft (assist by D. Lillard),,4,2
3,1,10:50.0,,J. Okafor makes 2-pt jump shot from 11 ft (assist by E. Payton),4,4
4,1,10:34.0,C. McCollum makes 2-pt jump shot from 15 ft (assist by D. Lillard),,6,4
5,1,10:24.0,,J. Okafor misses 2-pt jump shot from 14 ft,6,4
6,1,10:20.0,Defensive rebound by J. Nurkić,,6,4
7,1,10:12.0,Shooting foul by J. Okafor (drawn by J. Nurkić),,6,4
8,1,10:12.0,J. Nurkić makes free throw 1 of 2,,7,4
9,1,10:12.0,J. Nurkić makes free throw 2 of 2,,8,4
10,1,10:01.0,,J. Randle makes 2-pt hook shot from 8 ft,8,6
11,1,9:39.0,A. Aminu misses 2-pt jump shot from 10 ft,,8,6
12,1,9:35.0,,Defensive rebound by E. Payton,8,6
13,1,9:30.0,,J. Okafor makes 2-pt layup from 2 ft (assist by E. Payton),8,8
14,1,9:18.0,Turnover by J. Nurkić (bad pass; steal by K. Williams),,8,8
15,1,9:10.0,,J. Randle makes 2-pt layup from 2 ft,8,10
16,1,8:56.0,D. Lillard makes 2-pt layup from 2 ft (assist by J. Nurkić),,10,10
17,1,8:50.0,,F. Jackson makes 2-pt layup from 1 ft (assist by E. Payton),10,12
18,1,8:37.0,J. Nurkić makes 2-pt layup from 2 ft (assist by D. Lillard),,12,12
19,1,8:26.0,,J. Okafor makes 2-pt jump shot from 6 ft,12,14
20,1,8:13.0,Shooting foul by J. Okafor (drawn by C. McCollum),,12,14
21,1,8:13.0,C. McCollum misses free throw 1 of 2,,12,14
22,1,8:13.0,Offensive rebound by Team,,12,14
23,1,8:13.0,C. McCollum misses free throw 2 of 2,,12,14
24,1,8:10.0,,Defensive rebound by K. Williams,12,14
25,1,8:03.0,,Shooting foul by A. Aminu (drawn by J. Randle),12,14
26,1,8:03.0,,J. Randle misses free throw 1 of 2,12,14
27,1,8:03.0,,Offensive rebound by Team,12,14
28,1,8:03.0,,J. Randle makes free throw 2 of 2,12,15
29,1,7:53.0,J. Nurkić misses 2-pt jump shot from 7 ft,,12,15
30,1,7:52.0,Offensive rebound by J. Nurkić,,12,15
31,1,7:50.0,Turnover by J. Nurkić (lost ball; steal by J. Randle),,12,15
32,1,7:47.0,,F. Jackson makes 2-pt layup from 2 ft,12,17
33,1,7:29.0,J. Nurkić misses 2-pt layup from 3 ft (block by J. Randle),,12,17
34,1,7:29.0,Offensive rebound by A. Aminu,,12,17
35,1,7:29.0,A. Aminu makes 2-pt dunk from 1 ft,,14,17
36,1,7:14.0,,Turnover by J. Randle (lost ball; steal by D. Lillard),14,17
37,1,7:06.0,C. McCollum misses 2-pt jump shot from 7 ft,,14,17
38,1,7:06.0,,Defensive rebound by J. Okafor,14,17
39,1,6:56.0,,F. Jackson misses 2-pt jump shot from 8 ft,14,17
40,1,6:53.0,Defensive rebound by J. Nurkić,,14,17
41,1,6:40.0,J. Nurkić makes 2-pt hook shot from 1 ft,,16,17
42,1,6:32.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by E. Payton),16,20
43,1,6:11.0,R. Hood makes 3-pt jump shot from 24 ft (assist by D. Lillard),,19,20
44,1,6:00.0,,J. Randle misses 3-pt jump shot from 26 ft,19,20
45,1,6:00.0,Defensive rebound by C. McCollum,,19,20
46,1,5:50.0,C. McCollum makes 2-pt layup from 2 ft (assist by J. Nurkić),,21,20
47,1,5:42.0,,New Orleans full timeout,21,20
48,1,5:42.0,,I. Clark enters the game for J. Okafor,21,20
49,1,5:42.0,,C. Diallo enters the game for E. Payton,21,20
50,1,5:27.0,,J. Randle misses 2-pt layup from 1 ft,21,20
51,1,5:22.0,,Offensive rebound by J. Randle,21,20
52,1,5:22.0,,J. Randle makes 2-pt layup at rim,21,22
53,1,5:08.0,R. Hood misses 2-pt jump shot from 11 ft,,21,22
54,1,5:05.0,,Defensive rebound by J. Randle,21,22
55,1,4:58.0,,J. Randle misses 2-pt jump shot from 19 ft,21,22
56,1,4:55.0,Defensive rebound by J. Nurkić,,21,22
57,1,4:50.0,Offensive foul by J. Nurkić (drawn by K. Williams),,21,22
58,1,4:50.0,Turnover by J. Nurkić (offensive foul),,21,22
59,1,4:50.0,E. Freedom enters the game for R. Hood,,21,22
60,1,4:50.0,J. Layman enters the game for J. Nurkić,,21,22
61,1,4:30.0,,J. Randle makes 2-pt jump shot from 12 ft (assist by F. Jackson),21,24
62,1,4:15.0,J. Layman misses 3-pt jump shot from 23 ft,,21,24
63,1,4:15.0,,Defensive rebound by K. Williams,21,24
64,1,3:56.0,,J. Randle makes 2-pt layup from 2 ft (assist by I. Clark),21,26
65,1,3:40.0,J. Layman misses 2-pt layup from 3 ft (block by C. Diallo),,21,26
66,1,3:40.0,Offensive rebound by Team,,21,26
67,1,3:34.0,C. McCollum makes 2-pt layup from 2 ft (assist by E. Freedom),,23,26
68,1,3:16.0,,C. Diallo makes 2-pt jump shot from 19 ft (assist by I. Clark),23,28
69,1,3:00.0,Portland full timeout,,23,28
70,1,3:00.0,S. Curry enters the game for C. McCollum,,23,28
71,1,3:00.0,,D. Miller enters the game for F. Jackson,23,28
72,1,3:00.0,,E. Payton enters the game for K. Williams,23,28
73,1,2:55.0,S. Curry misses 3-pt jump shot from 25 ft,,23,28
74,1,2:52.0,Offensive rebound by D. Lillard,,23,28
75,1,2:50.0,A. Aminu misses 3-pt jump shot from 26 ft,,23,28
76,1,2:46.0,Offensive rebound by D. Lillard,,23,28
77,1,2:40.0,J. Layman misses 2-pt jump shot from 10 ft,,23,28
78,1,2:38.0,,Defensive rebound by J. Randle,23,28
79,1,2:30.0,,I. Clark makes 2-pt jump shot from 16 ft (assist by E. Payton),23,30
80,1,2:10.0,S. Curry makes 2-pt jump shot from 16 ft,,25,30
81,1,2:10.0,Shooting foul by I. Clark (drawn by S. Curry),,25,30
82,1,2:10.0,Z. Collins enters the game for A. Aminu,,25,30
83,1,2:10.0,S. Curry makes free throw 1 of 1,,26,30
84,1,1:52.0,,I. Clark misses 3-pt jump shot from 28 ft (block by S. Curry),26,30
85,1,1:51.0,,Offensive rebound by I. Clark,26,30
86,1,1:51.0,,Turnover by I. Clark (out of bounds lost ball),26,30
87,1,1:33.0,E. Freedom makes 2-pt layup from 2 ft (assist by J. Layman),,28,30
88,1,1:21.0,,J. Randle makes 3-pt jump shot from 24 ft (assist by E. Payton),28,33
89,1,1:00.0,Z. Collins makes 2-pt layup from 1 ft,,30,33
90,1,0:46.0,,J. Randle makes 2-pt layup from 4 ft (assist by E. Payton),30,35
91,1,0:32.0,D. Lillard misses 2-pt layup from 2 ft,,30,35
92,1,0:30.0,,Defensive rebound by C. Diallo,30,35
93,1,0:20.0,,E. Payton makes 2-pt layup from 1 ft (assist by J. Randle),30,37
94,1,0:20.0,J. Nurkić enters the game for E. Freedom,,30,37
95,1,0:20.0,,J. Okafor enters the game for J. Randle,30,37
96,1,0:00.0,J. Nurkić misses 2-pt hook shot from 5 ft,,30,37
97,1,0:00.0,Offensive rebound by Team,,30,37
98,2,11:48.0,,D. Miller misses 3-pt jump shot from 26 ft,30,37
99,2,11:45.0,,Offensive rebound by E. Payton,30,37
100,2,11:42.0,,I. Clark misses 3-pt jump shot from 25 ft,30,37
101,2,11:40.0,Defensive rebound by E. Turner,,30,37
102,2,11:22.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Turner),,32,37
103,2,11:14.0,,Offensive foul by C. Diallo (drawn by Z. Collins),32,37
104,2,11:14.0,,Turnover by C. Diallo (offensive foul),32,37
105,2,11:00.0,Turnover by E. Freedom (lost ball; steal by E. Payton),,32,37
106,2,10:46.0,,E. Payton misses 3-pt jump shot from 25 ft,32,37
107,2,10:42.0,Defensive rebound by E. Freedom,,32,37
108,2,10:29.0,E. Turner misses 2-pt jump shot from 21 ft,,32,37
109,2,10:25.0,,Defensive rebound by C. Diallo,32,37
110,2,10:14.0,,C. Diallo misses 2-pt jump shot from 15 ft,32,37
111,2,10:12.0,Defensive rebound by E. Freedom,,32,37
112,2,10:02.0,Z. Collins misses 3-pt jump shot from 25 ft,,32,37
113,2,9:59.0,,Defensive rebound by D. Miller,32,37
114,2,9:50.0,,C. Diallo misses 2-pt jump shot from 19 ft,32,37
115,2,9:48.0,Defensive rebound by E. Freedom,,32,37
116,2,9:41.0,Shooting foul by I. Clark (drawn by E. Turner),,32,37
117,2,9:41.0,E. Turner makes free throw 1 of 2,,33,37
118,2,9:41.0,E. Turner makes free throw 2 of 2,,34,37
119,2,9:36.0,,Shooting foul by E. Turner (drawn by E. Payton),34,37
120,2,9:36.0,,E. Payton makes free throw 1 of 2,34,38
121,2,9:36.0,,E. Payton makes free throw 2 of 2,34,39
122,2,9:21.0,Z. Collins makes 2-pt dunk from 1 ft (assist by E. Freedom),,36,39
123,2,9:08.0,,J. Okafor makes 2-pt jump shot from 6 ft (assist by E. Payton),36,41
124,2,8:48.0,J. Layman misses 2-pt jump shot from 10 ft,,36,41
125,2,8:48.0,Offensive rebound by E. Freedom,,36,41
126,2,8:48.0,E. Freedom makes 2-pt layup from 1 ft,,38,41
127,2,8:48.0,Shooting foul by J. Okafor (drawn by E. Freedom),,38,41
128,2,8:48.0,,J. Randle enters the game for C. Diallo,38,41
129,2,8:48.0,E. Freedom misses free throw 1 of 1,,38,41
130,2,8:46.0,,Defensive rebound by J. Okafor,38,41
131,2,8:31.0,,Shooting foul by E. Freedom (drawn by J. Okafor),38,41
132,2,8:31.0,,J. Okafor misses free throw 1 of 2,38,41
133,2,8:31.0,,Offensive rebound by Team,38,41
134,2,8:31.0,,F. Jackson enters the game for I. Clark,38,41
135,2,8:31.0,,J. Okafor misses free throw 2 of 2,38,41
136,2,8:29.0,Defensive rebound by E. Turner,,38,41
137,2,8:18.0,E. Turner misses 2-pt jump shot from 12 ft,,38,41
138,2,8:15.0,,Defensive rebound by F. Jackson,38,41
139,2,8:10.0,,J. Okafor misses 2-pt layup from 5 ft (block by Z. Collins),38,41
140,2,8:07.0,,Offensive rebound by J. Okafor,38,41
141,2,8:02.0,,Turnover by J. Randle (traveling),38,41
142,2,8:02.0,C. McCollum enters the game for J. Layman,,38,41
143,2,8:02.0,,J. Smith enters the game for J. Okafor,38,41
144,2,7:48.0,C. McCollum misses 2-pt jump shot from 7 ft,,38,41
145,2,7:47.0,Offensive rebound by E. Freedom,,38,41
146,2,7:45.0,E. Freedom makes 2-pt layup from 2 ft,,40,41
147,2,7:29.0,,E. Payton makes 2-pt jump shot from 2 ft (assist by D. Miller),40,43
148,2,7:14.0,E. Freedom makes 2-pt jump shot from 14 ft,,42,43
149,2,6:58.0,,F. Jackson misses 2-pt jump shot from 2 ft,42,43
150,2,6:56.0,Defensive rebound by Z. Collins,,42,43
151,2,6:48.0,S. Curry misses 3-pt jump shot from 29 ft,,42,43
152,2,6:45.0,,Defensive rebound by J. Randle,42,43
153,2,6:35.0,,J. Randle misses 2-pt layup from 2 ft (block by Z. Collins),42,43
154,2,6:29.0,,Offensive rebound by E. Payton,42,43
155,2,6:28.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Smith),42,46
156,2,6:11.0,,Violation by Team (kicked ball),42,46
157,2,6:11.0,,New Orleans full timeout,42,46
158,2,6:11.0,J. Nurkić enters the game for E. Freedom,,42,46
159,2,6:11.0,,K. Williams enters the game for D. Miller,42,46
160,2,6:05.0,Shooting foul by K. Williams (drawn by E. Turner),,42,46
161,2,6:05.0,E. Turner misses free throw 1 of 2,,42,46
162,2,6:05.0,Offensive rebound by Team,,42,46
163,2,6:05.0,E. Turner misses free throw 2 of 2,,42,46
164,2,6:01.0,,Defensive rebound by E. Payton,42,46
165,2,5:49.0,,E. Payton misses 2-pt layup from 3 ft (block by C. McCollum),42,46
166,2,5:46.0,,Offensive rebound by E. Payton,42,46
167,2,5:46.0,,Shooting foul by J. Nurkić (drawn by F. Jackson),42,46
168,2,5:46.0,,F. Jackson misses free throw 1 of 2,42,46
169,2,5:46.0,,Offensive rebound by Team,42,46
170,2,5:46.0,,F. Jackson makes free throw 2 of 2,42,47
171,2,5:38.0,C. McCollum misses 2-pt jump shot from 8 ft,,42,47
172,2,5:35.0,,Defensive rebound by K. Williams,42,47
173,2,5:25.0,,J. Randle misses 3-pt jump shot from 25 ft,42,47
174,2,5:20.0,Defensive rebound by J. Nurkić,,42,47
175,2,5:16.0,S. Curry misses 2-pt layup from 1 ft,,42,47
176,2,5:13.0,Offensive rebound by J. Nurkić,,42,47
177,2,5:12.0,J. Nurkić misses 2-pt hook shot from 4 ft,,42,47
178,2,5:10.0,Offensive rebound by Z. Collins,,42,47
179,2,5:08.0,Z. Collins makes 2-pt layup from 1 ft,,44,47
180,2,4:59.0,,J. Smith makes 3-pt jump shot from 26 ft (assist by E. Payton),44,50
181,2,4:46.0,Z. Collins misses 2-pt dunk from 1 ft,,44,50
182,2,4:46.0,Offensive rebound by Z. Collins,,44,50
183,2,4:43.0,Z. Collins makes 2-pt dunk from 2 ft,,46,50
184,2,4:25.0,,J. Randle misses 2-pt layup from 2 ft,46,50
185,2,4:25.0,,Offensive rebound by J. Smith,46,50
186,2,4:25.0,,J. Smith misses 2-pt layup from 1 ft,46,50
187,2,4:25.0,Defensive rebound by J. Nurkić,,46,50
188,2,4:17.0,C. McCollum misses 2-pt layup from 3 ft,,46,50
189,2,4:17.0,Offensive rebound by S. Curry,,46,50
190,2,4:14.0,S. Curry misses 3-pt jump shot from 25 ft,,46,50
191,2,4:14.0,,Defensive rebound by Team,46,50
192,2,4:14.0,R. Hood enters the game for S. Curry,,46,50
193,2,4:14.0,D. Lillard enters the game for E. Turner,,46,50
194,2,4:01.0,,Shooting foul by Z. Collins (drawn by F. Jackson),46,50
195,2,4:01.0,,F. Jackson misses free throw 1 of 2,46,50
196,2,4:01.0,,Offensive rebound by Team,46,50
197,2,4:01.0,,F. Jackson makes free throw 2 of 2,46,51
198,2,3:54.0,D. Lillard makes 3-pt jump shot from 26 ft,,49,51
199,2,3:41.0,,Personal foul by Z. Collins (drawn by J. Smith),49,51
200,2,3:41.0,,J. Smith makes free throw 1 of 2,49,52
