,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,INDIANA_ACTION,MILWAUKEE_SCORE,INDIANA_SCORE
0,1,11:45.0,B. Lopez misses 3-pt jump shot from 28 ft,,0,0
1,1,11:43.0,,Defensive rebound by Team,0,0
2,1,11:43.0,Loose ball foul by E. Bledsoe (drawn by D. Collison),,0,0
3,1,11:28.0,,B. Bogdanović misses 2-pt jump shot from 8 ft,0,0
4,1,11:26.0,Defensive rebound by G. Antetokounmpo,,0,0
5,1,11:21.0,B. Lopez misses 3-pt jump shot from 25 ft,,0,0
6,1,11:18.0,,Defensive rebound by V. Oladipo,0,0
7,1,11:07.0,,M. Turner misses 2-pt jump shot from 23 ft,0,0
8,1,11:03.0,,Offensive rebound by T. Young,0,0
9,1,11:03.0,,T. Young makes 2-pt layup at rim,0,2
10,1,10:52.0,Turnover by B. Lopez (step out of bounds),,0,2
11,1,10:37.0,,B. Bogdanović makes 2-pt dunk from 2 ft (assist by T. Young),0,4
12,1,10:24.0,K. Middleton misses 2-pt jump shot from 19 ft,,0,4
13,1,10:21.0,,Defensive rebound by V. Oladipo,0,4
14,1,10:17.0,,Personal foul by K. Middleton (drawn by B. Bogdanović),0,4
15,1,10:09.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),0,6
16,1,9:50.0,M. Brogdon misses 2-pt layup at rim (block by M. Turner),,0,6
17,1,9:48.0,,Defensive rebound by V. Oladipo,0,6
18,1,9:43.0,,D. Collison misses 3-pt jump shot from 27 ft,0,6
19,1,9:40.0,Defensive rebound by K. Middleton,,0,6
20,1,9:35.0,K. Middleton makes 2-pt layup from 1 ft,,2,6
21,1,9:21.0,,M. Turner makes 2-pt jump shot from 19 ft (assist by D. Collison),2,8
22,1,9:08.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Middleton),,5,8
23,1,8:46.0,,M. Turner makes 2-pt layup from 2 ft (assist by T. Young),5,10
24,1,8:23.0,B. Lopez makes 2-pt dunk at rim (assist by E. Bledsoe),,7,10
25,1,8:11.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by D. Collison),7,13
26,1,8:00.0,E. Bledsoe makes 2-pt layup from 1 ft,,9,13
27,1,8:00.0,,Violation by Team (def goaltending),9,13
28,1,7:52.0,,V. Oladipo makes 3-pt jump shot from 26 ft (assist by M. Turner),9,16
29,1,7:50.0,Milwaukee full timeout,,9,16
30,1,7:50.0,S. Brown enters the game for M. Brogdon,,9,16
31,1,7:39.0,K. Middleton misses 2-pt layup from 2 ft,,9,16
32,1,7:36.0,,Defensive rebound by T. Young,9,16
33,1,7:30.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by D. Collison),9,19
34,1,7:09.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,9,19
35,1,7:07.0,,Defensive rebound by V. Oladipo,9,19
36,1,7:03.0,,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by V. Oladipo),9,22
37,1,6:44.0,E. Bledsoe misses 2-pt layup from 2 ft (block by M. Turner),,9,22
38,1,6:41.0,,Defensive rebound by V. Oladipo,9,22
39,1,6:38.0,,T. Young misses 3-pt jump shot from 24 ft,9,22
40,1,6:36.0,Defensive rebound by B. Lopez,,9,22
41,1,6:30.0,K. Middleton misses 3-pt jump shot from 27 ft,,9,22
42,1,6:28.0,Offensive rebound by S. Brown,,9,22
43,1,6:26.0,B. Lopez misses 3-pt jump shot from 28 ft,,9,22
44,1,6:24.0,,Defensive rebound by M. Turner,9,22
