,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CHICAGO_ACTION,WASHINGTON_SCORE,CHICAGO_SCORE
27,1,8:04.0,,Offensive rebound by Z. LaVine,10,12
28,1,7:47.0,J. Green misses 3-pt jump shot from 23 ft,,10,12
29,1,7:45.0,Offensive rebound by T. Satoranský,,10,12
30,1,7:35.0,T. Bryant makes 3-pt jump shot from 26 ft (assist by J. Green),,13,12
31,1,7:22.0,,L. Markkanen misses 3-pt jump shot from 26 ft,13,12
32,1,7:20.0,Defensive rebound by T. Satoranský,,13,12
33,1,7:14.0,T. Bryant misses 2-pt layup from 2 ft (block by R. Lopez),,13,12
34,1,7:11.0,,Defensive rebound by R. Lopez,13,12
35,1,7:08.0,,O. Porter misses 2-pt layup from 6 ft,13,12
36,1,7:07.0,,Offensive rebound by L. Markkanen,13,12
37,1,7:07.0,,L. Markkanen makes 2-pt layup at rim,13,14
38,1,6:46.0,B. Beal makes 2-pt jump shot from 18 ft,,15,14
39,1,6:25.0,,L. Markkanen makes 2-pt layup from 2 ft,15,16
40,1,6:06.0,Shooting foul by O. Porter (drawn by B. Beal),,15,16
41,1,6:06.0,B. Beal makes free throw 1 of 2,,16,16
42,1,6:06.0,B. Portis enters the game for T. Bryant,,16,16
43,1,6:06.0,,W. Selden enters the game for R. Lopez,16,16
44,1,6:06.0,B. Beal makes free throw 2 of 2,,17,16
45,1,5:56.0,,L. Markkanen misses 3-pt jump shot from 26 ft,17,16
46,1,5:51.0,Defensive rebound by B. Portis,,17,16
47,1,5:35.0,T. Ariza makes 3-pt jump shot from 24 ft (assist by J. Green),,20,16
48,1,5:24.0,,K. Dunn makes 2-pt jump shot from 7 ft,20,18
49,1,5:16.0,Turnover by B. Beal (bad pass; steal by O. Porter),,20,18
50,1,5:10.0,,L. Markkanen misses 3-pt jump shot from 25 ft,20,18
51,1,5:07.0,Defensive rebound by B. Portis,,20,18
52,1,4:51.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),,22,18
53,1,4:39.0,,Shooting foul by B. Portis (drawn by O. Porter),22,18
54,1,4:39.0,,O. Porter misses free throw 1 of 2,22,18
55,1,4:39.0,,Offensive rebound by Team,22,18
56,1,4:39.0,J. Parker enters the game for J. Green,,22,18
57,1,4:39.0,,R. Arcidiacono enters the game for K. Dunn,22,18
58,1,4:39.0,,O. Porter makes free throw 2 of 2,22,19
59,1,4:31.0,B. Beal misses 2-pt jump shot from 16 ft,,22,19
60,1,4:28.0,,Defensive rebound by R. Arcidiacono,22,19
61,1,4:18.0,,O. Porter misses 2-pt jump shot from 14 ft,22,19
62,1,4:17.0,Defensive rebound by T. Ariza,,22,19
63,1,4:11.0,B. Portis misses 2-pt layup from 2 ft,,22,19
64,1,4:09.0,,Defensive rebound by L. Markkanen,22,19
65,1,3:54.0,,Shooting foul by T. Ariza (drawn by L. Markkanen),22,19
66,1,3:54.0,,L. Markkanen makes free throw 1 of 2,22,20
67,1,3:54.0,C. Randle enters the game for T. Satoranský,,22,20
68,1,3:54.0,,L. Markkanen misses free throw 2 of 2,22,20
69,1,3:51.0,Defensive rebound by B. Portis,,22,20
70,1,3:37.0,Turnover by B. Portis (lost ball; steal by Z. LaVine),,22,20
71,1,3:32.0,,O. Porter makes 2-pt layup from 3 ft,22,22
72,1,3:32.0,,Shooting foul by C. Randle (drawn by O. Porter),22,22
73,1,3:32.0,,O. Porter misses free throw 1 of 1,22,22
74,1,3:29.0,Defensive rebound by B. Portis,,22,22
75,1,3:19.0,C. Randle makes 2-pt jump shot from 5 ft (assist by B. Beal),,24,22
76,1,3:00.0,,L. Markkanen misses 2-pt jump shot from 19 ft,24,22
77,1,2:57.0,Defensive rebound by T. Ariza,,24,22
78,1,2:52.0,Personal foul by Z. LaVine (drawn by B. Beal),,24,22
79,1,2:52.0,,Chicago full timeout,24,22
80,1,2:52.0,W. Johnson enters the game for T. Ariza,,24,22
81,1,2:52.0,,C. Felício enters the game for Z. LaVine,24,22
82,1,2:52.0,,S. Harrison enters the game for L. Markkanen,24,22
83,1,2:52.0,,T. Luwawu-Cabarrot enters the game for O. Porter,24,22
84,1,2:43.0,Shooting foul by C. Felício (drawn by J. Parker),,24,22
85,1,2:43.0,J. Parker makes free throw 1 of 2,,25,22
86,1,2:43.0,J. Parker makes free throw 2 of 2,,26,22
87,1,2:27.0,,R. Arcidiacono misses 2-pt layup from 3 ft,26,22
88,1,2:26.0,Defensive rebound by B. Portis,,26,22
89,1,2:23.0,Personal foul by T. Luwawu-Cabarrot (drawn by J. Parker),,26,22
90,1,2:13.0,B. Portis misses 2-pt jump shot from 21 ft,,26,22
91,1,2:11.0,,Defensive rebound by T. Luwawu-Cabarrot,26,22
92,1,2:02.0,,W. Selden misses 2-pt layup from 2 ft,26,22
93,1,1:58.0,,Offensive rebound by W. Selden,26,22
94,1,1:58.0,,W. Selden makes 2-pt layup at rim,26,24
95,1,1:49.0,Turnover by B. Beal (lost ball; steal by W. Selden),,26,24
96,1,1:45.0,,S. Harrison misses 2-pt layup from 1 ft (block by J. Parker),26,24
97,1,1:45.0,Defensive rebound by Team,,26,24
98,1,1:45.0,T. Satoranský enters the game for B. Beal,,26,24
99,1,1:35.0,J. Parker misses 3-pt jump shot from 23 ft,,26,24
100,1,1:33.0,Offensive rebound by B. Portis,,26,24
101,1,1:27.0,B. Portis makes 2-pt layup from 1 ft,,28,24
102,1,1:15.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by S. Harrison),28,27
103,1,1:02.0,C. Randle makes 3-pt jump shot from 27 ft,,31,27
104,1,0:53.0,,W. Selden makes 2-pt jump shot from 21 ft,31,29
105,1,0:42.0,C. Randle makes 3-pt jump shot from 24 ft (assist by J. Parker),,34,29
106,1,0:27.0,,Shooting foul by W. Johnson (drawn by W. Selden),34,29
107,1,0:27.0,,W. Selden makes free throw 1 of 3,34,30
108,1,0:27.0,,W. Selden makes free throw 2 of 3,34,31
109,1,0:27.0,,W. Selden makes free throw 3 of 3,34,32
110,1,0:05.0,B. Portis misses 3-pt jump shot from 25 ft,,34,32
111,1,0:03.0,,Defensive rebound by T. Luwawu-Cabarrot,34,32
112,1,0:00.0,,W. Selden misses 2-pt layup from 2 ft (block by B. Portis),34,32
113,1,0:00.0,,Offensive rebound by T. Luwawu-Cabarrot,34,32
114,2,11:41.0,C. Randle makes 2-pt layup from 1 ft,,36,32
115,2,11:29.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,36,32
116,2,11:26.0,Defensive rebound by T. Satoranský,,36,32
117,2,11:18.0,J. Parker misses 3-pt jump shot from 25 ft,,36,32
118,2,11:15.0,,Defensive rebound by S. Harrison,36,32
119,2,11:08.0,,S. Harrison misses 2-pt jump shot from 11 ft,36,32
120,2,11:06.0,Defensive rebound by B. Portis,,36,32
121,2,10:56.0,J. Parker makes 2-pt dunk from 1 ft,,38,32
122,2,10:38.0,,Personal foul by W. Johnson (drawn by T. Luwawu-Cabarrot),38,32
123,2,10:38.0,,L. Markkanen enters the game for C. Felício,38,32
124,2,10:28.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft,38,34
125,2,10:16.0,Turnover by J. Parker (traveling),,38,34
126,2,10:04.0,,L. Markkanen misses 3-pt jump shot from 25 ft,38,34
127,2,10:01.0,Defensive rebound by J. Parker,,38,34
128,2,9:49.0,W. Johnson makes 2-pt jump shot from 20 ft,,40,34
129,2,9:32.0,,S. Harrison misses 3-pt jump shot from 26 ft,40,34
130,2,9:30.0,,Offensive rebound by W. Selden,40,34
131,2,9:28.0,,W. Selden misses 2-pt layup from 3 ft (block by W. Johnson),40,34
132,2,9:28.0,Defensive rebound by B. Portis,,40,34
133,2,9:24.0,Shooting foul by L. Markkanen (drawn by B. Portis),,40,34
134,2,9:24.0,B. Portis makes free throw 1 of 2,,41,34
135,2,9:24.0,,Z. LaVine enters the game for S. Harrison,41,34
136,2,9:24.0,B. Portis misses free throw 2 of 2,,41,34
137,2,9:21.0,,Defensive rebound by W. Selden,41,34
138,2,9:13.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by W. Selden),41,37
139,2,9:01.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by J. Parker),,44,37
140,2,9:01.0,Shooting foul by T. Luwawu-Cabarrot (drawn by W. Johnson),,44,37
141,2,9:01.0,W. Johnson makes free throw 1 of 1,,45,37
142,2,8:48.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by Z. LaVine),45,39
143,2,8:43.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Satoranský),,47,39
144,2,8:28.0,,Z. LaVine makes 2-pt jump shot from 20 ft (assist by R. Arcidiacono),47,41
145,2,8:16.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Satoranský),,49,41
146,2,8:02.0,,Def 3 sec tech foul by Team,49,41
147,2,8:02.0,,Z. LaVine makes technical free throw,49,42
148,2,8:02.0,,K. Dunn enters the game for R. Arcidiacono,49,42
149,2,8:02.0,,O. Porter enters the game for T. Luwawu-Cabarrot,49,42
150,2,7:58.0,,Turnover by Z. LaVine (bad pass; steal by J. Parker),49,42
151,2,7:54.0,Turnover by C. Randle (traveling),,49,42
152,2,7:39.0,,O. Porter misses 2-pt jump shot from 14 ft,49,42
153,2,7:36.0,Defensive rebound by W. Johnson,,49,42
154,2,7:30.0,C. Randle makes 3-pt jump shot from 26 ft,,52,42
155,2,7:29.0,,Chicago full timeout,52,42
156,2,7:29.0,T. Ariza enters the game for W. Johnson,,52,42
157,2,7:29.0,B. Beal enters the game for T. Satoranský,,52,42
158,2,7:14.0,,K. Dunn makes 2-pt layup from 2 ft (assist by L. Markkanen),52,44
159,2,7:14.0,Violation by Team (def goaltending),,52,44
160,2,6:52.0,T. Ariza misses 3-pt jump shot from 25 ft,,52,44
161,2,6:48.0,,Defensive rebound by K. Dunn,52,44
162,2,6:44.0,,Shooting foul by B. Beal (drawn by Z. LaVine),52,44
163,2,6:44.0,,Z. LaVine makes free throw 1 of 2,52,45
164,2,6:44.0,,Z. LaVine makes free throw 2 of 2,52,46
165,2,6:32.0,Shooting foul by K. Dunn (drawn by B. Beal),,52,46
166,2,6:32.0,B. Beal makes free throw 1 of 2,,53,46
167,2,6:32.0,J. Green enters the game for B. Portis,,53,46
168,2,6:32.0,T. Satoranský enters the game for C. Randle,,53,46
169,2,6:32.0,,T. Luwawu-Cabarrot enters the game for W. Selden,53,46
170,2,6:32.0,B. Beal makes free throw 2 of 2,,54,46
171,2,6:23.0,,L. Markkanen misses 2-pt jump shot from 13 ft,54,46
172,2,6:21.0,Defensive rebound by J. Parker,,54,46
173,2,6:15.0,Turnover by T. Satoranský (bad pass; steal by O. Porter),,54,46
174,2,6:08.0,,Turnover by O. Porter (bad pass),54,46
175,2,5:58.0,T. Satoranský misses 2-pt jump shot from 18 ft,,54,46
176,2,5:56.0,,Defensive rebound by T. Luwawu-Cabarrot,54,46
177,2,5:48.0,,Turnover by T. Luwawu-Cabarrot (bad pass; steal by B. Beal),54,46
178,2,5:35.0,B. Beal makes 2-pt layup at rim (assist by T. Satoranský),,56,46
179,2,5:18.0,,Turnover by L. Markkanen (out of bounds lost ball),56,46
180,2,5:07.0,J. Parker makes 2-pt jump shot from 18 ft (assist by T. Satoranský),,58,46
181,2,4:56.0,,Turnover by Z. LaVine (step out of bounds),58,46
182,2,4:41.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),,60,46
183,2,4:41.0,,Chicago full timeout,60,46
184,2,4:41.0,T. Bryant enters the game for J. Green,,60,46
185,2,4:41.0,,R. Lopez enters the game for L. Markkanen,60,46
186,2,4:27.0,,Turnover by K. Dunn (bad pass; steal by T. Ariza),60,46
187,2,4:26.0,Turnover by J. Parker (step out of bounds),,60,46
188,2,4:22.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by Z. LaVine),60,48
189,2,4:22.0,,Shooting foul by T. Satoranský (drawn by R. Lopez),60,48
190,2,4:22.0,,R. Lopez misses free throw 1 of 1,60,48
191,2,4:17.0,Defensive rebound by T. Ariza,,60,48
192,2,4:07.0,B. Beal misses 2-pt layup from 2 ft (block by O. Porter),,60,48
193,2,4:01.0,,Defensive rebound by K. Dunn,60,48
194,2,4:00.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by T. Luwawu-Cabarrot),60,50
195,2,3:42.0,B. Beal misses 2-pt layup from 1 ft,,60,50
196,2,3:42.0,Offensive rebound by Team,,60,50
197,2,3:39.0,T. Satoranský misses 2-pt jump shot from 16 ft,,60,50
198,2,3:36.0,,Defensive rebound by T. Luwawu-Cabarrot,60,50
199,2,3:31.0,,Shooting foul by T. Satoranský (drawn by Z. LaVine),60,50
200,2,3:31.0,,Z. LaVine misses free throw 1 of 2,60,50
201,2,3:31.0,,Offensive rebound by Team,60,50
202,2,3:31.0,C. Randle enters the game for T. Satoranský,,60,50
203,2,3:31.0,,Z. LaVine makes free throw 2 of 2,60,51
204,2,3:19.0,B. Beal makes 2-pt jump shot from 13 ft (assist by C. Randle),,62,51
205,2,3:07.0,,T. Luwawu-Cabarrot makes 3-pt jump shot from 22 ft (assist by K. Dunn),62,54
206,2,2:43.0,T. Ariza makes 2-pt layup from 1 ft,,64,54
207,2,2:36.0,,O. Porter misses 3-pt jump shot from 27 ft,64,54
208,2,2:33.0,Defensive rebound by J. Parker,,64,54
209,2,2:28.0,,Loose ball foul by R. Lopez (drawn by T. Ariza),64,54
210,2,2:13.0,C. Randle misses 3-pt jump shot from 25 ft,,64,54
211,2,2:08.0,,Defensive rebound by K. Dunn,64,54
212,2,2:07.0,,Turnover by K. Dunn (bad pass),64,54
213,2,2:01.0,B. Beal misses 2-pt jump shot from 15 ft,,64,54
214,2,1:58.0,,Defensive rebound by T. Luwawu-Cabarrot,64,54
215,2,1:53.0,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by B. Beal),64,54
216,2,1:50.0,B. Beal makes 2-pt dunk from 1 ft (assist by J. Parker),,66,54
217,2,1:38.0,,Shooting foul by T. Bryant (drawn by R. Lopez),66,54
218,2,1:38.0,,R. Lopez makes free throw 1 of 2,66,55
219,2,1:38.0,W. Johnson enters the game for J. Parker,,66,55
220,2,1:38.0,,R. Lopez makes free throw 2 of 2,66,56
221,2,1:26.0,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Bryant),,69,56
222,2,1:15.0,,Personal foul by T. Bryant (drawn by R. Lopez),69,56
223,2,1:15.0,,R. Lopez makes free throw 1 of 2,69,57
224,2,1:15.0,,S. Harrison enters the game for T. Luwawu-Cabarrot,69,57
225,2,1:15.0,,R. Lopez makes free throw 2 of 2,69,58
226,2,1:04.0,T. Bryant misses 2-pt layup from 4 ft,,69,58
227,2,1:01.0,,Defensive rebound by Z. LaVine,69,58
228,2,0:53.0,,O. Porter makes 3-pt jump shot from 23 ft (assist by S. Harrison),69,61
229,2,0:37.0,W. Johnson misses 3-pt jump shot from 27 ft,,69,61
230,2,0:34.0,,Defensive rebound by Z. LaVine,69,61
231,2,0:30.0,,Z. LaVine misses 3-pt jump shot from 26 ft,69,61
232,2,0:25.0,Defensive rebound by B. Beal,,69,61
233,2,0:09.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by T. Ariza),,72,61
234,2,0:09.0,Shooting foul by R. Lopez (drawn by W. Johnson),,72,61
235,2,0:09.0,W. Johnson misses free throw 1 of 1,,72,61
236,2,0:08.0,Offensive rebound by Team,,72,61
237,2,0:08.0,Flagrant foul type 1 by R. Lopez (drawn by T. Bryant),,72,61
238,2,0:08.0,T. Bryant makes flagrant free throw 1 of 2,,73,61
239,2,0:08.0,T. Bryant makes flagrant free throw 2 of 2,,74,61
240,2,0:08.0,,L. Markkanen enters the game for R. Lopez,74,61
241,2,0:03.0,B. Beal makes 2-pt dunk from 1 ft (assist by T. Bryant),,76,61
242,2,0:00.0,,O. Porter misses 2-pt layup from 4 ft,76,61
243,2,0:01.0,,Offensive rebound by Team,76,61
244,3,11:40.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,78,61
245,3,11:27.0,,Personal foul by T. Bryant (drawn by R. Lopez),78,61
246,3,11:15.0,,R. Lopez makes 2-pt dunk from 1 ft,78,63
247,3,11:02.0,T. Bryant makes 2-pt jump shot from 17 ft (assist by T. Satoranský),,80,63
248,3,10:40.0,,Z. LaVine misses 3-pt jump shot from 22 ft,80,63
249,3,10:34.0,,Offensive rebound by L. Markkanen,80,63
250,3,10:34.0,,L. Markkanen makes 2-pt layup from 1 ft,80,65
251,3,10:25.0,Turnover by T. Bryant (traveling),,80,65
252,3,10:19.0,,Personal foul by T. Satoranský (drawn by R. Lopez),80,65
253,3,10:16.0,,O. Porter misses 2-pt jump shot from 19 ft,80,65
254,3,10:12.0,,Offensive rebound by L. Markkanen,80,65
255,3,10:10.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by L. Markkanen),80,68
256,3,9:44.0,B. Beal makes 2-pt jump shot from 22 ft (assist by T. Bryant),,82,68
257,3,9:28.0,,L. Markkanen misses 3-pt jump shot from 27 ft,82,68
258,3,9:27.0,Defensive rebound by Team,,82,68
259,3,9:27.0,,Loose ball foul by R. Lopez (drawn by T. Ariza),82,68
260,3,9:07.0,J. Parker misses 2-pt layup from 1 ft,,82,68
261,3,9:03.0,T. Bryant makes 2-pt layup at rim,,84,68
262,3,9:03.0,Offensive rebound by T. Bryant,,84,68
263,3,8:47.0,,Z. LaVine misses 2-pt layup from 2 ft,84,68
264,3,8:45.0,Defensive rebound by T. Satoranský,,84,68
265,3,8:40.0,T. Bryant misses 3-pt jump shot from 25 ft,,84,68
266,3,8:37.0,,Defensive rebound by L. Markkanen,84,68
267,3,8:35.0,,R. Lopez makes 2-pt dunk from 1 ft (assist by L. Markkanen),84,70
268,3,8:35.0,Washington full timeout,,84,70
269,3,8:18.0,T. Ariza misses 3-pt jump shot from 23 ft,,84,70
270,3,8:12.0,T. Satoranský makes 2-pt layup at rim,,86,70
271,3,8:12.0,Offensive rebound by T. Satoranský,,86,70
272,3,8:02.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by K. Dunn),86,72
273,3,7:45.0,B. Beal misses 2-pt jump shot from 22 ft,,86,72
274,3,7:43.0,,Defensive rebound by O. Porter,86,72
275,3,7:36.0,,O. Porter misses 3-pt jump shot from 26 ft,86,72
276,3,7:33.0,,Offensive rebound by R. Lopez,86,72
277,3,7:23.0,,R. Lopez misses 2-pt hook shot from 6 ft,86,72
278,3,7:21.0,Defensive rebound by J. Parker,,86,72
279,3,7:17.0,Turnover by J. Parker (bad pass; steal by K. Dunn),,86,72
280,3,7:12.0,,Z. LaVine makes 2-pt dunk from 1 ft (assist by K. Dunn),86,74
281,3,7:02.0,T. Ariza makes 2-pt layup from 1 ft,,88,74
282,3,6:47.0,,Z. LaVine makes 2-pt jump shot from 13 ft,88,76
283,3,6:34.0,Turnover by T. Satoranský (lost ball; steal by K. Dunn),,88,76
284,3,6:31.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by Z. LaVine),88,78
285,3,6:31.0,Washington full timeout,,88,78
286,3,6:31.0,B. Portis enters the game for T. Bryant,,88,78
287,3,6:15.0,B. Portis misses 2-pt layup from 3 ft (block by R. Lopez),,88,78
288,3,6:12.0,,Defensive rebound by L. Markkanen,88,78
289,3,5:56.0,,O. Porter misses 2-pt jump shot from 17 ft,88,78
290,3,5:54.0,Defensive rebound by B. Portis,,88,78
291,3,5:46.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,90,78
292,3,5:27.0,,R. Lopez makes 2-pt hook shot from 8 ft,90,80
293,3,5:13.0,J. Parker makes 2-pt dunk from 1 ft (assist by B. Portis),,92,80
294,3,5:09.0,,Turnover by K. Dunn (bad pass),92,80
295,3,4:55.0,J. Parker makes 2-pt dunk from 1 ft (assist by T. Ariza),,94,80
296,3,4:36.0,,R. Lopez makes 2-pt hook shot from 1 ft (assist by Z. LaVine),94,82
297,3,4:19.0,Turnover by J. Parker (lost ball; steal by K. Dunn),,94,82
298,3,4:15.0,,L. Markkanen makes 2-pt dunk from 1 ft (assist by K. Dunn),94,84
299,3,3:55.0,J. Parker misses 3-pt jump shot from 26 ft,,94,84
300,3,3:53.0,Offensive rebound by T. Ariza,,94,84
301,3,3:49.0,T. Ariza makes 2-pt jump shot from 5 ft,,96,84
302,3,3:49.0,,Chicago full timeout,96,84
303,3,3:49.0,W. Johnson enters the game for J. Parker,,96,84
304,3,3:49.0,,W. Selden enters the game for R. Lopez,96,84
305,3,3:49.0,,Violation by Team (delay of game),96,84
306,3,3:39.0,,W. Selden misses 2-pt jump shot from 20 ft,96,84
307,3,3:36.0,Defensive rebound by T. Satoranský,,96,84
308,3,3:32.0,B. Beal misses 3-pt jump shot from 24 ft,,96,84
309,3,3:30.0,,Defensive rebound by L. Markkanen,96,84
310,3,3:13.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by Z. LaVine),96,86
311,3,3:01.0,T. Ariza makes 2-pt layup from 1 ft (assist by B. Beal),,98,86
312,3,2:40.0,,W. Selden makes 2-pt jump shot from 5 ft,98,88
313,3,2:19.0,B. Portis makes 2-pt hook shot from 3 ft (assist by T. Satoranský),,100,88
314,3,2:05.0,,Shooting foul by T. Satoranský (drawn by W. Selden),100,88
315,3,2:05.0,,W. Selden makes free throw 1 of 2,100,89
316,3,2:05.0,C. Randle enters the game for T. Satoranský,,100,89
317,3,2:05.0,,R. Arcidiacono enters the game for Z. LaVine,100,89
318,3,2:05.0,,W. Selden makes free throw 2 of 2,100,90
319,3,1:49.0,T. Ariza makes 2-pt layup from 2 ft (assist by B. Beal),,102,90
320,3,1:39.0,,Personal foul by B. Portis (drawn by O. Porter),102,90
321,3,1:39.0,J. McRae enters the game for T. Ariza,,102,90
322,3,1:33.0,,K. Dunn misses 2-pt jump shot from 12 ft,102,90
323,3,1:30.0,Defensive rebound by B. Portis,,102,90
324,3,1:24.0,B. Portis misses 3-pt jump shot from 26 ft,,102,90
325,3,1:21.0,,Defensive rebound by L. Markkanen,102,90
326,3,1:14.0,,W. Selden misses 2-pt jump shot from 17 ft,102,90
327,3,1:10.0,Defensive rebound by B. Beal,,102,90
328,3,0:56.0,B. Beal makes 2-pt jump shot from 19 ft (assist by J. McRae),,104,90
329,3,0:46.0,,Personal foul by B. Beal (drawn by O. Porter),104,90
330,3,0:46.0,,O. Porter makes free throw 1 of 2,104,91
331,3,0:46.0,,O. Porter makes free throw 2 of 2,104,92
332,3,0:36.0,Offensive foul by J. McRae (drawn by K. Dunn),,104,92
333,3,0:36.0,Turnover by J. McRae (offensive foul),,104,92
334,3,0:36.0,,Chicago full timeout,104,92
335,3,0:29.0,,K. Dunn makes 2-pt dunk from 1 ft,104,94
336,3,0:09.0,B. Beal makes 2-pt jump shot from 4 ft,,106,94
337,3,0:04.0,,O. Porter makes 2-pt layup from 1 ft (assist by K. Dunn),106,96
338,3,0:00.0,J. McRae misses 2-pt jump shot from 17 ft,,106,96
339,3,0:00.0,Offensive rebound by Team,,106,96
340,4,11:46.0,,T. Luwawu-Cabarrot misses 2-pt layup from 2 ft,106,96
341,4,11:45.0,,Offensive rebound by C. Felício,106,96
342,4,11:45.0,,C. Felício makes 2-pt layup from 1 ft,106,98
343,4,11:45.0,,Shooting foul by J. McRae (drawn by C. Felício),106,98
344,4,11:45.0,,C. Felício misses free throw 1 of 1,106,98
345,4,11:42.0,Defensive rebound by B. Portis,,106,98
346,4,11:31.0,Turnover by B. Portis (traveling),,106,98
347,4,11:19.0,,R. Arcidiacono makes 2-pt jump shot from 19 ft,106,100
348,4,11:05.0,W. Johnson makes 2-pt jump shot from 6 ft (assist by B. Portis),,108,100
349,4,10:57.0,,Shooting foul by C. Randle (drawn by R. Arcidiacono),108,100
350,4,10:57.0,,R. Arcidiacono makes free throw 1 of 2,108,101
351,4,10:57.0,,R. Arcidiacono makes free throw 2 of 2,108,102
352,4,10:47.0,C. Randle misses 2-pt jump shot from 8 ft,,108,102
353,4,10:46.0,,Defensive rebound by R. Arcidiacono,108,102
354,4,10:41.0,,S. Harrison misses 2-pt dunk from 1 ft,108,102
355,4,10:39.0,Defensive rebound by J. McRae,,108,102
356,4,10:23.0,B. Portis misses 2-pt jump shot from 21 ft,,108,102
357,4,10:19.0,,Defensive rebound by S. Harrison,108,102
358,4,9:57.0,,W. Selden misses 3-pt jump shot from 26 ft,108,102
359,4,9:55.0,Defensive rebound by B. Portis,,108,102
360,4,9:38.0,J. Parker makes 2-pt dunk from 1 ft (assist by W. Johnson),,110,102
361,4,9:21.0,,R. Arcidiacono misses 3-pt jump shot from 26 ft,110,102
362,4,9:18.0,Defensive rebound by C. Randle,,110,102
363,4,9:15.0,Personal foul by R. Arcidiacono (drawn by J. Parker),,110,102
364,4,9:15.0,,Z. LaVine enters the game for T. Luwawu-Cabarrot,110,102
365,4,9:09.0,W. Johnson makes 3-pt jump shot from 25 ft (assist by J. Parker),,113,102
366,4,9:08.0,,Chicago full timeout,113,102
367,4,8:50.0,,Z. LaVine misses 2-pt layup from 4 ft (block by J. McRae),113,102
368,4,8:49.0,Defensive rebound by J. McRae,,113,102
369,4,8:49.0,Personal foul by R. Arcidiacono (drawn by J. McRae),,113,102
370,4,8:35.0,J. McRae misses 2-pt layup from 2 ft,,113,102
371,4,8:32.0,,Defensive rebound by W. Selden,113,102
372,4,8:12.0,,R. Arcidiacono misses 2-pt jump shot from 6 ft,113,102
373,4,8:10.0,,Offensive rebound by C. Felício,113,102
374,4,8:09.0,,C. Felício makes 2-pt layup from 1 ft,113,104
