,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DETROIT_ACTION,WASHINGTON_SCORE,DETROIT_SCORE
0,1,11:43.0,,Turnover by R. Jackson (bad pass; steal by T. Ariza),0,0
1,1,11:38.0,T. Ariza misses 3-pt jump shot from 25 ft,,0,0
2,1,11:34.0,,Defensive rebound by L. Galloway,0,0
3,1,11:29.0,,R. Jackson misses 2-pt jump shot from 5 ft,0,0
4,1,11:29.0,Defensive rebound by T. Bryant,,0,0
5,1,11:22.0,J. Green makes 3-pt jump shot from 25 ft (assist by B. Beal),,3,0
6,1,10:56.0,,B. Brown makes 2-pt layup from 1 ft (assist by B. Griffin),3,2
7,1,10:34.0,T. Bryant misses 3-pt jump shot from 22 ft,,3,2
8,1,10:31.0,,Defensive rebound by B. Griffin,3,2
9,1,10:26.0,,L. Galloway misses 3-pt jump shot from 26 ft (block by T. Ariza),3,2
10,1,10:23.0,Defensive rebound by T. Bryant,,3,2
11,1,10:10.0,T. Ariza makes 2-pt layup from 3 ft (assist by J. Green),,5,2
12,1,9:53.0,,B. Brown makes 2-pt layup from 1 ft,5,4
13,1,9:45.0,Offensive foul by C. Randle (drawn by B. Brown),,5,4
14,1,9:45.0,Turnover by C. Randle (offensive foul),,5,4
15,1,9:26.0,,B. Griffin misses 2-pt layup from 4 ft,5,4
16,1,9:22.0,,Offensive rebound by B. Griffin,5,4
17,1,9:22.0,,B. Griffin makes 2-pt layup from 1 ft,5,6
18,1,9:11.0,B. Beal makes 3-pt jump shot from 22 ft (assist by T. Ariza),,8,6
19,1,8:54.0,,B. Griffin makes 2-pt layup from 1 ft,8,8
20,1,8:38.0,C. Randle misses 3-pt jump shot from 24 ft,,8,8
21,1,8:35.0,,Defensive rebound by L. Galloway,8,8
22,1,8:25.0,,A. Drummond makes 2-pt layup from 3 ft (assist by B. Griffin),8,10
23,1,8:15.0,B. Beal makes 2-pt layup from 2 ft (assist by C. Randle),,10,10
24,1,7:55.0,,A. Drummond misses 2-pt layup from 4 ft,10,10
25,1,7:53.0,Defensive rebound by T. Bryant,,10,10
26,1,7:50.0,,Violation by Team (kicked ball),10,10
27,1,7:44.0,Turnover by J. Green (bad pass; steal by A. Drummond),,10,10
28,1,7:31.0,,A. Drummond misses 2-pt layup from 2 ft,10,10
29,1,7:30.0,,Offensive rebound by A. Drummond,10,10
30,1,7:27.0,,A. Drummond misses 2-pt layup from 2 ft (block by J. Green),10,10
31,1,7:27.0,,Offensive rebound by A. Drummond,10,10
32,1,7:27.0,,Shooting foul by T. Bryant (drawn by A. Drummond),10,10
33,1,7:27.0,,A. Drummond makes free throw 1 of 2,10,11
34,1,7:27.0,,A. Drummond makes free throw 2 of 2,10,12
35,1,7:12.0,J. Green misses 3-pt jump shot from 25 ft,,10,12
36,1,7:09.0,,Defensive rebound by L. Galloway,10,12
37,1,6:59.0,,B. Brown makes 3-pt jump shot from 23 ft (assist by B. Griffin),10,15
38,1,6:52.0,Shooting foul by R. Jackson (drawn by B. Beal),,10,15
39,1,6:52.0,,Detroit full timeout,10,15
40,1,6:52.0,B. Beal makes free throw 1 of 2,,11,15
41,1,6:52.0,B. Beal makes free throw 2 of 2,,12,15
42,1,6:32.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by B. Griffin),12,17
43,1,6:11.0,T. Ariza makes 2-pt layup from 5 ft (assist by B. Beal),,14,17
44,1,5:58.0,,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),14,19
45,1,5:45.0,J. Green misses 3-pt jump shot from 22 ft,,14,19
46,1,5:45.0,,Defensive rebound by A. Drummond,14,19
47,1,5:35.0,,R. Jackson makes 2-pt jump shot from 11 ft,14,21
48,1,5:29.0,,Violation by Team (delay of game),14,21
49,1,5:20.0,C. Randle misses 2-pt layup from 2 ft,,14,21
50,1,5:18.0,,Defensive rebound by L. Galloway,14,21
51,1,5:12.0,,B. Griffin makes 2-pt layup from 4 ft,14,23
52,1,5:11.0,Washington full timeout,,14,23
53,1,5:11.0,B. Portis enters the game for T. Bryant,,14,23
54,1,5:11.0,,L. Kennard enters the game for L. Galloway,14,23
55,1,4:56.0,Shooting foul by B. Brown (drawn by J. Green),,14,23
56,1,4:56.0,J. Green misses free throw 1 of 2,,14,23
57,1,4:56.0,Offensive rebound by Team,,14,23
58,1,4:56.0,J. Green makes free throw 2 of 2,,15,23
59,1,4:37.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by L. Kennard),15,25
60,1,4:21.0,T. Ariza makes 2-pt dunk from 1 ft (assist by J. Green),,17,25
61,1,4:03.0,,B. Griffin makes 2-pt layup from 4 ft,17,27
62,1,3:50.0,C. Randle makes 3-pt jump shot from 27 ft (assist by B. Beal),,20,27
63,1,3:36.0,,B. Griffin misses 3-pt jump shot from 27 ft,20,27
64,1,3:32.0,Defensive rebound by T. Ariza,,20,27
65,1,3:26.0,Shooting foul by A. Drummond (drawn by B. Beal),,20,27
66,1,3:26.0,B. Beal makes free throw 1 of 2,,21,27
67,1,3:26.0,W. Johnson enters the game for T. Ariza,,21,27
68,1,3:26.0,,W. Ellington enters the game for B. Brown,21,27
69,1,3:26.0,,I. Smith enters the game for R. Jackson,21,27
70,1,3:26.0,B. Beal makes free throw 2 of 2,,22,27
71,1,3:07.0,,A. Drummond misses 2-pt hook shot from 11 ft,22,27
72,1,3:05.0,Defensive rebound by B. Beal,,22,27
73,1,3:00.0,Personal foul by W. Ellington (drawn by B. Beal),,22,27
74,1,3:00.0,J. McRae enters the game for C. Randle,,22,27
75,1,2:52.0,B. Portis misses 3-pt jump shot from 24 ft,,22,27
76,1,2:49.0,,Defensive rebound by B. Griffin,22,27
77,1,2:45.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Smith),22,30
78,1,2:26.0,B. Beal misses 2-pt jump shot from 16 ft,,22,30
79,1,2:23.0,,Defensive rebound by W. Ellington,22,30
80,1,2:17.0,,Personal foul by B. Beal (drawn by B. Griffin),22,30
81,1,2:17.0,J. Parker enters the game for J. Green,,22,30
82,1,2:14.0,,Personal foul by J. McRae (drawn by B. Griffin),22,30
83,1,2:06.0,,W. Ellington misses 3-pt jump shot from 23 ft,22,30
84,1,2:02.0,Defensive rebound by B. Beal,,22,30
85,1,1:49.0,B. Beal makes 2-pt jump shot from 11 ft,,24,30
86,1,1:38.0,,B. Griffin misses 3-pt jump shot from 26 ft,24,30
87,1,1:34.0,Defensive rebound by B. Beal,,24,30
88,1,1:30.0,J. Parker misses 3-pt jump shot from 27 ft,,24,30
89,1,1:26.0,,Defensive rebound by L. Kennard,24,30
90,1,1:16.0,,A. Drummond misses 2-pt layup from 5 ft,24,30
91,1,1:15.0,,Offensive rebound by A. Drummond,24,30
92,1,1:15.0,,Shooting foul by J. Parker (drawn by A. Drummond),24,30
93,1,1:15.0,,A. Drummond makes free throw 1 of 2,24,31
94,1,1:15.0,,T. Maker enters the game for B. Griffin,24,31
