,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MINNESOTA_ACTION,OKLAHOMA CITY_SCORE,MINNESOTA_SCORE
0,1,11:44.0,,Turnover by K. Towns (off goaltending),0,0
1,1,11:36.0,Personal foul by A. Wiggins (drawn by P. George),,0,0
2,1,11:29.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by R. Westbrook),,3,0
3,1,11:11.0,,K. Towns misses 2-pt layup from 3 ft,3,0
4,1,11:08.0,Defensive rebound by S. Adams,,3,0
5,1,11:06.0,R. Westbrook makes 2-pt layup from 3 ft,,5,0
6,1,10:58.0,,A. Wiggins misses 2-pt jump shot from 16 ft,5,0
7,1,10:56.0,Defensive rebound by P. George,,5,0
8,1,10:50.0,P. George misses 3-pt jump shot from 26 ft,,5,0
9,1,10:48.0,Offensive rebound by S. Adams,,5,0
10,1,10:46.0,S. Adams makes 2-pt dunk from 1 ft,,7,0
11,1,10:46.0,,Minnesota full timeout,7,0
12,1,10:32.0,,A. Wiggins makes 2-pt jump shot from 8 ft,7,2
13,1,10:18.0,T. Ferguson makes 2-pt layup from 2 ft (assist by R. Westbrook),,9,2
14,1,10:04.0,,K. Towns misses 2-pt jump shot from 6 ft,9,2
15,1,10:02.0,Defensive rebound by R. Westbrook,,9,2
16,1,9:57.0,T. Ferguson makes 3-pt jump shot from 23 ft (assist by P. George),,12,2
17,1,9:38.0,,T. Jones misses 3-pt jump shot from 23 ft,12,2
18,1,9:36.0,Defensive rebound by R. Westbrook,,12,2
19,1,9:24.0,Turnover by R. Westbrook (bad pass; steal by J. Okogie),,12,2
20,1,9:15.0,,D. Šarić misses 3-pt jump shot from 25 ft,12,2
21,1,9:13.0,,Offensive rebound by A. Wiggins,12,2
22,1,9:11.0,,J. Okogie makes 2-pt layup from 2 ft (assist by A. Wiggins),12,4
23,1,8:51.0,P. George misses 2-pt layup from 1 ft (block by D. Šarić),,12,4
24,1,8:48.0,,Defensive rebound by K. Towns,12,4
25,1,8:42.0,,Shooting foul by S. Adams (drawn by K. Towns),12,4
26,1,8:42.0,,K. Towns makes free throw 1 of 2,12,5
27,1,8:42.0,,K. Towns makes free throw 2 of 2,12,6
28,1,8:31.0,Turnover by R. Westbrook (bad pass; steal by K. Towns),,12,6
29,1,8:08.0,,A. Wiggins misses 2-pt layup from 2 ft,12,6
30,1,8:05.0,Defensive rebound by S. Adams,,12,6
31,1,7:57.0,P. George makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,15,6
