,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
145,2,10:04.0,M. Robinson makes 2-pt layup from 3 ft (assist by A. Trier),,26,43
146,2,9:58.0,,Offensive foul by T. Maker (drawn by M. Hezonja),26,43
147,2,9:58.0,,Turnover by T. Maker (offensive foul),26,43
148,2,9:45.0,K. Knox makes 3-pt jump shot from 24 ft (assist by K. Allen),,29,43
149,2,9:36.0,,Detroit full timeout,29,43
150,2,9:36.0,,S. Mykhailiuk enters the game for L. Kennard,29,43
151,2,9:36.0,,G. Robinson enters the game for T. Maker,29,43
152,2,9:20.0,,I. Smith misses 3-pt jump shot from 27 ft,29,43
153,2,9:16.0,Defensive rebound by K. Allen,,29,43
154,2,8:59.0,A. Trier makes 3-pt jump shot from 25 ft (assist by K. Allen),,32,43
155,2,8:36.0,,Z. Pachulia makes 2-pt dunk from 1 ft (assist by S. Mykhailiuk),32,45
156,2,8:16.0,Turnover by A. Trier (bad pass; steal by K. Thomas),,32,45
157,2,8:10.0,,G. Robinson misses 2-pt layup from 4 ft,32,45
158,2,8:09.0,,Offensive rebound by G. Robinson,32,45
159,2,8:09.0,,Turnover by G. Robinson (out of bounds lost ball),32,45
160,2,8:09.0,D. Jordan enters the game for M. Robinson,,32,45
161,2,7:59.0,K. Allen makes 2-pt layup from 1 ft,,34,45
162,2,7:48.0,,Z. Pachulia misses 2-pt jump shot from 20 ft,34,45
163,2,7:45.0,Defensive rebound by M. Hezonja,,34,45
164,2,7:33.0,Shooting foul by G. Robinson (drawn by D. Jordan),,34,45
165,2,7:33.0,D. Jordan misses free throw 1 of 2,,34,45
166,2,7:33.0,Offensive rebound by Team,,34,45
167,2,7:33.0,D. Smith enters the game for K. Allen,,34,45
168,2,7:33.0,D. Jordan makes free throw 2 of 2,,35,45
169,2,7:14.0,,Turnover by S. Mykhailiuk (step out of bounds),35,45
170,2,7:14.0,,B. Griffin enters the game for G. Robinson,35,45
171,2,7:14.0,,R. Jackson enters the game for I. Smith,35,45
172,2,7:14.0,,L. Kennard enters the game for K. Thomas,35,45
173,2,6:56.0,D. Smith makes 2-pt jump shot from 15 ft,,37,45
174,2,6:45.0,,Personal foul by M. Hezonja (drawn by B. Griffin),37,45
175,2,6:31.0,,S. Mykhailiuk misses 2-pt jump shot from 16 ft,37,45
176,2,6:28.0,Defensive rebound by M. Hezonja,,37,45
177,2,6:21.0,Personal foul by Z. Pachulia (drawn by D. Jordan),,37,45
178,2,6:21.0,,A. Drummond enters the game for Z. Pachulia,37,45
179,2,6:15.0,Offensive foul by K. Knox (drawn by L. Kennard),,37,45
180,2,6:15.0,Turnover by K. Knox (offensive foul),,37,45
181,2,6:05.0,,L. Kennard makes 2-pt jump shot from 15 ft,37,47
182,2,5:44.0,A. Trier misses 2-pt jump shot from 23 ft,,37,47
183,2,5:40.0,,Defensive rebound by S. Mykhailiuk,37,47
184,2,5:31.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by R. Jackson),37,50
185,2,5:23.0,New York full timeout,,37,50
186,2,5:23.0,D. Dotson enters the game for A. Trier,,37,50
187,2,5:13.0,D. Dotson misses 2-pt jump shot from 17 ft,,37,50
188,2,5:11.0,Offensive rebound by D. Jordan,,37,50
189,2,5:07.0,D. Smith makes 2-pt dunk at rim (assist by D. Jordan),,39,50
190,2,4:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,39,50
191,2,4:48.0,,Offensive rebound by B. Griffin,39,50
192,2,4:45.0,,Turnover by B. Griffin (bad pass; steal by M. Hezonja),39,50
193,2,4:27.0,K. Knox makes 2-pt jump shot from 9 ft (assist by D. Smith),,41,50
194,2,4:13.0,,Shooting foul by D. Dotson (drawn by B. Griffin),41,50
195,2,4:13.0,,B. Griffin makes free throw 1 of 2,41,51
196,2,4:13.0,,B. Griffin makes free throw 2 of 2,41,52
197,2,3:57.0,M. Hezonja makes 2-pt layup from 2 ft,,43,52
198,2,3:44.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),43,54
199,2,3:27.0,D. Smith misses 2-pt jump shot from 22 ft,,43,54
200,2,3:23.0,Offensive rebound by D. Smith,,43,54
201,2,3:17.0,D. Jordan makes 2-pt hook shot from 5 ft (assist by D. Smith),,45,54
202,2,3:17.0,Shooting foul by A. Drummond (drawn by D. Jordan),,45,54
203,2,3:17.0,,B. Brown enters the game for S. Mykhailiuk,45,54
204,2,3:17.0,D. Jordan makes free throw 1 of 1,,46,54
205,2,3:05.0,,Personal foul by M. Hezonja (drawn by B. Griffin),46,54
206,2,2:59.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Brown),46,57
207,2,2:47.0,Turnover by D. Smith (traveling),,46,57
208,2,2:40.0,,L. Kennard misses 3-pt jump shot from 26 ft,46,57
209,2,2:32.0,Defensive rebound by K. Knox,,46,57
210,2,2:28.0,M. Hezonja makes 2-pt layup from 4 ft (assist by K. Knox),,48,57
211,2,2:23.0,,Turnover by B. Griffin (bad pass),48,57
212,2,2:09.0,D. Smith makes 2-pt jump shot from 10 ft,,50,57
213,2,1:53.0,,R. Jackson misses 2-pt jump shot from 7 ft,50,57
214,2,1:50.0,,Offensive rebound by A. Drummond,50,57
215,2,1:50.0,,A. Drummond makes 2-pt layup from 1 ft,50,59
216,2,1:41.0,Personal foul by R. Jackson (drawn by D. Dotson),,50,59
217,2,1:41.0,D. Dotson makes free throw 1 of 2,,51,59
218,2,1:41.0,D. Dotson misses free throw 2 of 2,,51,59
219,2,1:39.0,,Defensive rebound by B. Griffin,51,59
220,2,1:30.0,,A. Drummond makes 2-pt layup from 1 ft (assist by B. Griffin),51,61
221,2,1:09.0,M. Hezonja misses 2-pt jump shot from 7 ft,,51,61
222,2,1:06.0,Offensive rebound by D. Jordan,,51,61
223,2,1:05.0,D. Smith makes 3-pt jump shot from 26 ft (assist by D. Dotson),,54,61
224,2,0:54.0,,Shooting foul by D. Dotson (drawn by B. Griffin),54,61
225,2,0:54.0,,B. Griffin makes free throw 1 of 2,54,62
226,2,0:54.0,,B. Griffin makes free throw 2 of 2,54,63
227,2,0:30.0,D. Smith misses 3-pt jump shot from 26 ft,,54,63
228,2,0:27.0,,Defensive rebound by L. Kennard,54,63
229,2,0:04.0,,R. Jackson misses 2-pt jump shot from 23 ft,54,63
230,2,0:03.0,,Offensive rebound by Team,54,63
231,2,0:03.0,,Turnover by Team (shot clock),54,63
232,2,0:02.0,Turnover by D. Dotson (bad pass; steal by A. Drummond),,54,63
233,2,0:00.0,,L. Kennard misses 3-pt jump shot from 62 ft,54,63
234,2,0:00.0,,Offensive rebound by Team,54,63
235,3,11:49.0,Shooting foul by B. Brown (drawn by D. Smith),,54,63
236,3,11:49.0,D. Smith makes free throw 1 of 2,,55,63
237,3,11:49.0,D. Smith makes free throw 2 of 2,,56,63
238,3,11:33.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),56,65
239,3,11:20.0,D. Dotson misses 2-pt jump shot from 17 ft,,56,65
240,3,11:18.0,,Defensive rebound by B. Griffin,56,65
241,3,11:13.0,,B. Griffin makes 3-pt jump shot from 25 ft,56,68
242,3,10:57.0,Turnover by K. Knox (step out of bounds),,56,68
243,3,10:47.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by B. Griffin),56,71
244,3,10:46.0,New York full timeout,,56,71
245,3,10:33.0,M. Hezonja misses 3-pt jump shot from 24 ft,,56,71
246,3,10:29.0,,Defensive rebound by B. Brown,56,71
247,3,10:15.0,,R. Jackson misses 2-pt jump shot from 14 ft,56,71
248,3,10:13.0,Defensive rebound by M. Hezonja,,56,71
249,3,10:05.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by D. Smith),,59,71
250,3,9:46.0,,B. Brown misses 2-pt jump shot from 6 ft,59,71
251,3,9:45.0,Defensive rebound by D. Jordan,,59,71
252,3,9:39.0,Shooting foul by A. Drummond (drawn by M. Hezonja),,59,71
253,3,9:39.0,M. Hezonja makes free throw 1 of 2,,60,71
254,3,9:39.0,M. Hezonja makes free throw 2 of 2,,61,71
255,3,9:22.0,,Shooting foul by D. Jordan (drawn by B. Brown),61,71
256,3,9:22.0,,B. Brown misses free throw 1 of 2,61,71
257,3,9:22.0,,Offensive rebound by Team,61,71
258,3,9:22.0,,B. Brown misses free throw 2 of 2,61,71
259,3,9:21.0,Defensive rebound by D. Jordan,,61,71
260,3,9:10.0,Turnover by D. Smith (bad pass; steal by L. Galloway),,61,71
261,3,9:07.0,,L. Galloway makes 2-pt layup from 5 ft,61,73
262,3,8:53.0,D. Jordan makes 2-pt dunk from 1 ft (assist by M. Hezonja),,63,73
263,3,8:28.0,,B. Griffin misses 2-pt layup from 6 ft,63,73
264,3,8:25.0,,Offensive rebound by B. Griffin,63,73
265,3,8:22.0,,Shooting foul by K. Knox (drawn by B. Griffin),63,73
266,3,8:22.0,,B. Griffin makes free throw 1 of 2,63,74
267,3,8:22.0,,B. Griffin makes free throw 2 of 2,63,75
268,3,8:09.0,K. Knox misses 3-pt jump shot from 27 ft,,63,75
269,3,8:06.0,,Defensive rebound by A. Drummond,63,75
270,3,7:58.0,,Personal foul by D. Dotson (drawn by B. Brown),63,75
271,3,7:45.0,,B. Griffin misses 3-pt jump shot from 30 ft,63,75
272,3,7:39.0,,Offensive rebound by R. Jackson,63,75
273,3,7:28.0,,A. Drummond misses 2-pt hook shot from 9 ft (block by D. Jordan),63,75
274,3,7:26.0,Defensive rebound by M. Hezonja,,63,75
275,3,7:24.0,Shooting foul by L. Galloway (drawn by K. Knox),,63,75
276,3,7:24.0,K. Knox makes free throw 1 of 2,,64,75
277,3,7:24.0,A. Trier enters the game for D. Dotson,,64,75
278,3,7:24.0,K. Knox makes free throw 2 of 2,,65,75
279,3,7:16.0,,Turnover by B. Griffin (bad pass; steal by D. Smith),65,75
280,3,7:13.0,D. Smith makes 2-pt dunk at rim,,67,75
281,3,6:44.0,,A. Drummond misses 2-pt layup from 7 ft,67,75
282,3,6:42.0,Defensive rebound by D. Jordan,,67,75
283,3,6:41.0,Offensive foul by D. Jordan (drawn by B. Griffin),,67,75
284,3,6:41.0,Turnover by D. Jordan (offensive foul),,67,75
285,3,6:32.0,,B. Griffin makes 2-pt layup from 1 ft (assist by A. Drummond),67,77
286,3,6:14.0,Personal foul by A. Drummond (drawn by D. Jordan),,67,77
287,3,6:14.0,,Z. Pachulia enters the game for A. Drummond,67,77
288,3,6:05.0,D. Smith makes 2-pt layup from 3 ft,,69,77
289,3,6:05.0,,Flagrant foul type 1 by D. Smith (drawn by B. Griffin),69,77
290,3,6:05.0,,L. Kennard enters the game for L. Galloway,69,77
291,3,6:05.0,,B. Griffin misses flagrant free throw 1 of 2,69,77
292,3,6:05.0,,Offensive rebound by Team,69,77
293,3,6:05.0,,B. Griffin makes flagrant free throw 2 of 2,69,78
294,3,5:50.0,,L. Kennard misses 2-pt jump shot from 20 ft,69,78
295,3,5:46.0,Defensive rebound by M. Hezonja,,69,78
296,3,5:41.0,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),,71,78
297,3,5:23.0,,B. Brown misses 2-pt layup from 4 ft,71,78
298,3,5:23.0,Defensive rebound by D. Jordan,,71,78
299,3,5:11.0,Personal foul by Z. Pachulia (drawn by D. Smith),,71,78
300,3,5:11.0,D. Smith misses free throw 1 of 2,,71,78
301,3,5:11.0,Offensive rebound by Team,,71,78
302,3,5:11.0,D. Smith makes free throw 2 of 2,,72,78
303,3,4:54.0,,B. Griffin misses 2-pt jump shot from 11 ft,72,78
304,3,4:51.0,Defensive rebound by D. Jordan,,72,78
305,3,4:44.0,M. Hezonja makes 2-pt jump shot from 19 ft,,74,78
306,3,4:37.0,,Detroit full timeout,74,78
307,3,4:37.0,,I. Smith enters the game for B. Brown,74,78
308,3,4:37.0,,K. Thomas enters the game for R. Jackson,74,78
309,3,4:21.0,,I. Smith makes 2-pt jump shot from 18 ft,74,80
310,3,4:03.0,Shooting foul by I. Smith (drawn by D. Jordan),,74,80
311,3,4:03.0,D. Jordan makes free throw 1 of 2,,75,80
312,3,4:03.0,D. Jordan makes free throw 2 of 2,,76,80
313,3,3:46.0,,B. Griffin misses 3-pt jump shot from 25 ft,76,80
314,3,3:43.0,Defensive rebound by Team,,76,80
315,3,3:43.0,L. Thomas enters the game for K. Knox,,76,80
316,3,3:33.0,D. Smith makes 2-pt jump shot from 17 ft,,78,80
317,3,3:17.0,,I. Smith misses 2-pt jump shot from 9 ft,78,80
318,3,3:17.0,Defensive rebound by Team,,78,80
319,3,3:17.0,,Loose ball foul by Z. Pachulia (drawn by D. Smith),78,80
320,3,3:17.0,D. Smith makes free throw 1 of 2,,79,80
321,3,3:17.0,D. Smith makes free throw 2 of 2,,80,80
322,3,3:06.0,,L. Kennard misses 3-pt jump shot from 25 ft,80,80
323,3,3:04.0,Defensive rebound by L. Thomas,,80,80
324,3,2:56.0,Turnover by D. Smith (bad pass),,80,80
325,3,2:34.0,,L. Kennard misses 2-pt layup from 5 ft,80,80
326,3,2:33.0,,Offensive rebound by L. Kennard,80,80
327,3,2:33.0,,Personal foul by D. Jordan (drawn by L. Kennard),80,80
328,3,2:33.0,,L. Kennard makes free throw 1 of 2,80,81
329,3,2:33.0,,L. Kennard makes free throw 2 of 2,80,82
330,3,2:20.0,A. Trier makes 2-pt jump shot from 14 ft,,82,82
331,3,2:03.0,,Personal foul by L. Thomas (drawn by B. Griffin),82,82
332,3,2:03.0,,B. Griffin misses free throw 1 of 2,82,82
333,3,2:03.0,,Offensive rebound by Team,82,82
334,3,2:03.0,,B. Griffin misses free throw 2 of 2,82,82
335,3,2:01.0,Defensive rebound by M. Hezonja,,82,82
336,3,1:41.0,A. Trier misses 2-pt layup from 4 ft,,82,82
337,3,1:37.0,,Defensive rebound by I. Smith,82,82
338,3,1:25.0,,Shooting foul by A. Trier (drawn by B. Griffin),82,82
339,3,1:25.0,,B. Griffin makes free throw 1 of 2,82,83
340,3,1:25.0,,B. Griffin makes free throw 2 of 2,82,84
341,3,1:07.0,L. Thomas misses 3-pt jump shot from 23 ft,,82,84
342,3,1:03.0,,Defensive rebound by I. Smith,82,84
343,3,0:58.0,,I. Smith misses 2-pt layup from 3 ft,82,84
344,3,0:57.0,,Offensive rebound by Z. Pachulia,82,84
345,3,0:57.0,,Z. Pachulia makes 2-pt layup from 2 ft,82,86
346,3,0:47.0,Offensive foul by D. Smith (drawn by B. Griffin),,82,86
347,3,0:47.0,Turnover by D. Smith (offensive foul),,82,86
348,3,0:39.0,,B. Griffin makes 3-pt jump shot from 26 ft,82,89
349,3,0:17.0,L. Thomas makes 2-pt jump shot from 6 ft (assist by D. Smith),,84,89
350,3,0:03.0,,B. Griffin misses 3-pt jump shot from 25 ft,84,89
351,3,0:00.0,Defensive rebound by A. Trier,,84,89
352,4,11:44.0,,Shooting foul by K. Allen (drawn by A. Drummond),84,89
353,4,11:44.0,,A. Drummond misses free throw 1 of 2,84,89
354,4,11:44.0,,Offensive rebound by Team,84,89
355,4,11:44.0,,A. Drummond makes free throw 2 of 2,84,90
356,4,11:31.0,K. Allen misses 2-pt jump shot from 8 ft,,84,90
357,4,11:27.0,,Defensive rebound by G. Robinson,84,90
358,4,11:14.0,,L. Kennard makes 2-pt jump shot from 16 ft,84,92
359,4,10:49.0,K. Allen misses 2-pt jump shot from 14 ft,,84,92
360,4,10:47.0,Offensive rebound by K. Allen,,84,92
361,4,10:46.0,M. Robinson misses 2-pt dunk from 1 ft,,84,92
362,4,10:42.0,,Defensive rebound by A. Drummond,84,92
363,4,10:41.0,,Turnover by A. Drummond (lost ball; steal by L. Thomas),84,92
364,4,10:35.0,A. Trier misses 3-pt jump shot from 22 ft,,84,92
365,4,10:33.0,,Defensive rebound by A. Drummond,84,92
366,4,10:25.0,,Shooting foul by M. Robinson (drawn by I. Smith),84,92
367,4,10:25.0,,I. Smith makes free throw 1 of 2,84,93
368,4,10:25.0,,I. Smith makes free throw 2 of 2,84,94
369,4,10:10.0,Turnover by K. Knox (traveling),,84,94
370,4,10:10.0,D. Smith enters the game for L. Thomas,,84,94
371,4,9:56.0,,Offensive foul by L. Kennard (drawn by A. Trier),84,94
372,4,9:56.0,,Turnover by L. Kennard (offensive foul),84,94
373,4,9:46.0,Shooting foul by K. Thomas (drawn by D. Smith),,84,94
374,4,9:46.0,D. Smith misses free throw 1 of 2,,84,94
375,4,9:46.0,Offensive rebound by Team,,84,94
376,4,9:46.0,D. Smith misses free throw 2 of 2,,84,94
377,4,9:44.0,,Defensive rebound by A. Drummond,84,94
378,4,9:30.0,,K. Thomas misses 3-pt jump shot from 26 ft,84,94
379,4,9:26.0,Defensive rebound by K. Allen,,84,94
380,4,9:10.0,M. Robinson makes 2-pt layup from 4 ft (assist by D. Smith),,86,94
381,4,9:10.0,Shooting foul by L. Kennard (drawn by M. Robinson),,86,94
382,4,9:10.0,M. Robinson misses free throw 1 of 1,,86,94
383,4,9:08.0,,Defensive rebound by A. Drummond,86,94
384,4,8:55.0,,K. Thomas makes 3-pt jump shot from 23 ft (assist by A. Drummond),86,97
385,4,8:32.0,A. Trier misses 2-pt jump shot from 15 ft,,86,97
386,4,8:30.0,,Defensive rebound by A. Drummond,86,97
