,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DENVER_ACTION,HOUSTON_SCORE,DENVER_SCORE
0,1,11:37.0,J. Ennis makes 3-pt jump shot from 25 ft (assist by J. Harden),,3,0
1,1,11:13.0,,J. Murray makes 2-pt jump shot from 7 ft (assist by N. Jokić),3,2
2,1,10:48.0,J. Ennis misses 3-pt jump shot from 22 ft,,3,2
3,1,10:46.0,,Defensive rebound by G. Harris,3,2
4,1,10:27.0,,N. Jokić makes 2-pt jump shot from 7 ft (assist by J. Murray),3,4
5,1,10:19.0,P. Tucker misses 3-pt jump shot from 22 ft,,3,4
6,1,10:16.0,,Defensive rebound by N. Jokić,3,4
7,1,10:08.0,,J. Murray misses 2-pt layup from 3 ft,3,4
8,1,10:04.0,Defensive rebound by P. Tucker,,3,4
9,1,9:53.0,Turnover by J. Harden (lost ball; steal by J. Murray),,3,4
10,1,9:51.0,,Turnover by J. Murray (lost ball; steal by J. Harden),3,4
11,1,9:51.0,,Loose ball foul by J. Hernangómez (drawn by P. Tucker),3,4
12,1,9:44.0,C. Capela makes 2-pt layup at rim (assist by J. Harden),,5,4
13,1,9:24.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by N. Jokić),5,7
14,1,9:07.0,Offensive foul by J. Harden (drawn by N. Jokić),,5,7
15,1,9:07.0,Turnover by J. Harden (offensive foul),,5,7
16,1,8:54.0,,Personal foul by J. Ennis (drawn by N. Jokić),5,7
17,1,8:41.0,,N. Jokić misses 2-pt jump shot from 12 ft,5,7
18,1,8:38.0,Defensive rebound by J. Ennis,,5,7
19,1,8:29.0,Turnover by C. Capela (off goaltending),,5,7
20,1,8:09.0,,J. Murray misses 2-pt jump shot from 16 ft,5,7
21,1,8:06.0,Defensive rebound by C. Capela,,5,7
22,1,7:44.0,C. Paul makes 2-pt jump shot from 11 ft,,7,7
23,1,7:20.0,,N. Jokić misses 2-pt jump shot from 7 ft,7,7
24,1,7:17.0,Defensive rebound by P. Tucker,,7,7
25,1,7:01.0,J. Ennis makes 3-pt jump shot from 24 ft (assist by P. Tucker),,10,7
26,1,6:36.0,,Turnover by P. Millsap (traveling),10,7
27,1,6:36.0,,Denver full timeout,10,7
28,1,6:22.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by C. Capela),,13,7
29,1,6:09.0,,Personal foul by P. Tucker (drawn by P. Millsap),13,7
30,1,6:09.0,G. Clark enters the game for C. Paul,,13,7
31,1,6:09.0,E. Gordon enters the game for P. Tucker,,13,7
32,1,6:03.0,,N. Jokić makes 2-pt layup from 2 ft,13,9
33,1,5:54.0,Turnover by E. Gordon (lost ball; steal by G. Harris),,13,9
34,1,5:47.0,,G. Harris makes 3-pt jump shot from 26 ft,13,12
35,1,5:39.0,Turnover by J. Harden (bad pass; steal by N. Jokić),,13,12
36,1,5:30.0,,Shooting foul by G. Clark (drawn by P. Millsap),13,12
37,1,5:30.0,,P. Millsap makes free throw 1 of 2,13,13
38,1,5:30.0,I. Hartenstein enters the game for C. Capela,,13,13
39,1,5:30.0,,M. Morris enters the game for J. Murray,13,13
40,1,5:30.0,,P. Millsap makes free throw 2 of 2,13,14
41,1,5:13.0,G. Clark misses 3-pt jump shot from 25 ft,,13,14
42,1,5:08.0,Offensive rebound by I. Hartenstein,,13,14
43,1,5:08.0,I. Hartenstein makes 2-pt dunk at rim,,15,14
44,1,5:01.0,,Turnover by N. Jokić (bad pass; steal by J. Harden),15,14
45,1,4:53.0,J. Harden misses 3-pt jump shot from 25 ft,,15,14
46,1,4:50.0,Offensive rebound by Team,,15,14
47,1,4:42.0,Turnover by I. Hartenstein (lost ball; steal by G. Harris),,15,14
48,1,4:38.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by N. Jokić),15,17
49,1,4:19.0,Shooting foul by M. Morris (drawn by E. Gordon),,15,17
50,1,4:19.0,E. Gordon misses free throw 1 of 3,,15,17
51,1,4:19.0,Offensive rebound by Team,,15,17
52,1,4:19.0,E. Gordon makes free throw 2 of 3,,16,17
53,1,4:19.0,E. Gordon makes free throw 3 of 3,,17,17
54,1,4:04.0,,G. Harris makes 3-pt jump shot from 26 ft (assist by M. Morris),17,20
55,1,3:44.0,E. Gordon misses 3-pt jump shot from 27 ft,,17,20
56,1,3:42.0,,Defensive rebound by N. Jokić,17,20
57,1,3:31.0,,Personal foul by I. Hartenstein (drawn by N. Jokić),17,20
58,1,3:31.0,P. Tucker enters the game for J. Ennis,,17,20
59,1,3:31.0,,T. Lyles enters the game for P. Millsap,17,20
60,1,3:28.0,,G. Harris misses 3-pt jump shot from 25 ft,17,20
61,1,3:25.0,Defensive rebound by J. Harden,,17,20
62,1,3:04.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by G. Clark),,20,20
63,1,2:45.0,,N. Jokić makes 2-pt jump shot from 13 ft (assist by M. Morris),20,22
64,1,2:29.0,,Violation by Team (kicked ball),20,22
65,1,2:29.0,Houston full timeout,,20,22
66,1,2:29.0,C. Paul enters the game for J. Harden,,20,22
67,1,2:29.0,,M. Plumlee enters the game for N. Jokić,20,22
