,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:34.0,D. Ayton misses 2-pt hook shot from 6 ft (block by G. Harris),,0,0
1,1,11:31.0,,Defensive rebound by J. Murray,0,0
2,1,11:31.0,,J. Murray misses 3-pt jump shot from 26 ft,0,0
3,1,11:31.0,Defensive rebound by Team,,0,0
4,1,11:15.0,T. Ariza misses 3-pt jump shot from 22 ft,,0,0
5,1,11:12.0,,Defensive rebound by N. Jokić,0,0
6,1,11:00.0,,G. Harris misses 2-pt layup from 3 ft,0,0
7,1,10:57.0,Defensive rebound by D. Booker,,0,0
8,1,10:54.0,Turnover by D. Booker (bad pass),,0,0
9,1,10:43.0,,Turnover by P. Millsap (out of bounds lost ball),0,0
10,1,10:29.0,R. Anderson misses 3-pt jump shot from 27 ft,,0,0
11,1,10:27.0,,Defensive rebound by P. Millsap,0,0
12,1,10:14.0,,N. Jokić makes 2-pt layup from 2 ft,0,2
13,1,9:51.0,T. Ariza makes 2-pt layup from 2 ft,,2,2
14,1,9:41.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),2,5
15,1,9:23.0,D. Ayton misses 2-pt jump shot from 9 ft,,2,5
16,1,9:21.0,,Defensive rebound by N. Jokić,2,5
17,1,9:14.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,5
18,1,9:11.0,Defensive rebound by D. Booker,,2,5
19,1,9:07.0,R. Anderson misses 3-pt jump shot from 25 ft,,2,5
20,1,9:04.0,,Defensive rebound by W. Barton,2,5
21,1,8:45.0,,N. Jokić makes 2-pt hook shot from 4 ft,2,7
22,1,8:29.0,Personal foul by N. Jokić (drawn by D. Ayton),,2,7
23,1,8:22.0,I. Canaan makes 3-pt jump shot from 23 ft (assist by D. Booker),,5,7
24,1,8:04.0,,G. Harris misses 3-pt jump shot from 25 ft,5,7
25,1,8:00.0,Defensive rebound by T. Ariza,,5,7
26,1,7:57.0,Personal foul by W. Barton (drawn by T. Ariza),,5,7
27,1,7:57.0,T. Warren enters the game for R. Anderson,,5,7
28,1,7:52.0,Turnover by D. Booker (lost ball; steal by N. Jokić),,5,7
29,1,7:47.0,,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),5,9
30,1,7:19.0,D. Ayton misses 2-pt hook shot from 3 ft,,5,9
31,1,7:16.0,,Defensive rebound by N. Jokić,5,9
32,1,7:10.0,Loose ball foul by T. Warren (drawn by P. Millsap),,5,9
33,1,7:07.0,,Shooting foul by D. Ayton (drawn by N. Jokić),5,9
34,1,7:07.0,,N. Jokić makes free throw 1 of 2,5,10
35,1,7:07.0,,N. Jokić makes free throw 2 of 2,5,11
36,1,6:47.0,D. Booker makes 2-pt layup from 3 ft (assist by T. Warren),,7,11
37,1,6:43.0,,Denver full timeout,7,11
38,1,6:43.0,T. Chandler enters the game for D. Ayton,,7,11
39,1,6:36.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),7,13
40,1,6:20.0,D. Booker misses 3-pt jump shot from 24 ft,,7,13
41,1,6:18.0,Offensive rebound by T. Ariza,,7,13
42,1,6:08.0,D. Booker misses 2-pt layup from 4 ft (block by P. Millsap),,7,13
43,1,6:05.0,,Defensive rebound by G. Harris,7,13
44,1,6:04.0,,Turnover by G. Harris (bad pass),7,13
45,1,5:53.0,T. Warren misses 3-pt jump shot from 23 ft,,7,13
46,1,5:49.0,,Defensive rebound by W. Barton,7,13
47,1,5:44.0,,W. Barton misses 2-pt layup from 2 ft,7,13
48,1,5:42.0,Defensive rebound by T. Chandler,,7,13
49,1,5:34.0,I. Canaan misses 3-pt jump shot from 25 ft,,7,13
50,1,5:31.0,,Defensive rebound by P. Millsap,7,13
51,1,5:23.0,,N. Jokić makes 2-pt hook shot from 5 ft (assist by W. Barton),7,15
52,1,5:23.0,,Shooting foul by T. Chandler (drawn by N. Jokić),7,15
53,1,5:23.0,,N. Jokić misses free throw 1 of 1,7,15
54,1,5:23.0,Defensive rebound by T. Warren,,7,15
55,1,5:09.0,Turnover by D. Booker (bad pass; steal by N. Jokić),,7,15
56,1,5:05.0,,W. Barton makes 3-pt jump shot from 23 ft (assist by N. Jokić),7,18
57,1,5:02.0,Phoenix full timeout,,7,18
58,1,5:02.0,J. Crawford enters the game for D. Booker,,7,18
59,1,5:02.0,J. Jackson enters the game for I. Canaan,,7,18
60,1,4:45.0,J. Jackson misses 2-pt layup from 4 ft,,7,18
61,1,4:42.0,,Defensive rebound by W. Barton,7,18
62,1,4:38.0,,P. Millsap makes 2-pt dunk at rim (assist by W. Barton),7,20
63,1,4:21.0,T. Warren makes 3-pt jump shot from 22 ft (assist by T. Chandler),,10,20
64,1,4:06.0,,Turnover by W. Barton (bad pass),10,20
65,1,4:06.0,,T. Lyles enters the game for P. Millsap,10,20
66,1,3:47.0,T. Warren makes 2-pt jump shot from 6 ft,,12,20
67,1,3:40.0,,N. Jokić makes 2-pt layup from 2 ft (assist by W. Barton),12,22
68,1,3:40.0,,Shooting foul by T. Warren (drawn by N. Jokić),12,22
69,1,3:40.0,,N. Jokić makes free throw 1 of 1,12,23
70,1,3:27.0,Shooting foul by N. Jokić (drawn by T. Chandler),,12,23
71,1,3:27.0,T. Chandler makes free throw 1 of 2,,13,23
72,1,3:27.0,,M. Plumlee enters the game for N. Jokić,13,23
73,1,3:27.0,T. Chandler misses free throw 2 of 2,,13,23
74,1,3:18.0,,Defensive rebound by W. Barton,13,23
75,1,3:17.0,,G. Harris makes 2-pt jump shot from 7 ft,13,25
76,1,2:58.0,Turnover by J. Jackson (bad pass; steal by W. Barton),,13,25
77,1,2:53.0,,W. Barton makes 2-pt layup from 2 ft (assist by J. Murray),13,27
78,1,2:35.0,J. Jackson misses 2-pt jump shot from 10 ft,,13,27
79,1,2:34.0,,Defensive rebound by T. Lyles,13,27
80,1,2:29.0,,W. Barton makes 3-pt jump shot from 25 ft,13,30
81,1,2:13.0,Personal foul by W. Barton (drawn by T. Chandler),,13,30
82,1,2:13.0,,M. Beasley enters the game for W. Barton,13,30
83,1,2:12.0,Away from play foul by M. Beasley (drawn by J. Crawford),,13,30
84,1,2:12.0,J. Crawford makes free throw 1 of 1,,14,30
85,1,2:04.0,J. Jackson misses 3-pt jump shot from 25 ft,,14,30
86,1,2:01.0,,Defensive rebound by G. Harris,14,30
87,1,1:49.0,,M. Plumlee misses 2-pt hook shot from 8 ft,14,30
88,1,1:48.0,Defensive rebound by T. Chandler,,14,30
89,1,1:48.0,Personal foul by M. Plumlee (drawn by T. Chandler),,14,30
90,1,1:48.0,D. Booker enters the game for T. Ariza,,14,30
91,1,1:48.0,,J. Hernangómez enters the game for G. Harris,14,30
92,1,1:48.0,T. Chandler misses free throw 1 of 2,,14,30
93,1,1:48.0,Offensive rebound by Team,,14,30
94,1,1:48.0,T. Chandler misses free throw 2 of 2,,14,30
95,1,1:44.0,,Defensive rebound by J. Hernangómez,14,30
96,1,1:31.0,,T. Lyles misses 2-pt jump shot from 12 ft (block by T. Warren),14,30
97,1,1:27.0,Defensive rebound by J. Crawford,,14,30
98,1,1:20.0,Turnover by J. Crawford (bad pass),,14,30
99,1,1:20.0,,M. Morris enters the game for J. Murray,14,30
100,1,1:08.0,,J. Hernangómez misses 2-pt layup from 3 ft (block by J. Jackson),14,30
101,1,1:05.0,Defensive rebound by T. Chandler,,14,30
102,1,0:44.0,J. Crawford misses 3-pt jump shot from 26 ft,,14,30
103,1,0:42.0,,Defensive rebound by M. Plumlee,14,30
