,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
49,1,6:51.0,A. Wiggins misses 3-pt jump shot from 23 ft,,11,8
50,1,6:47.0,,Defensive rebound by C. Diallo,11,8
51,1,6:40.0,,Turnover by J. Holiday (traveling),11,8
52,1,6:40.0,,New Orleans full timeout,11,8
53,1,6:40.0,,T. Frazier enters the game for E. Payton,11,8
54,1,6:26.0,A. Wiggins makes 2-pt dunk at rim (assist by T. Jones),,13,8
55,1,6:00.0,,Turnover by J. Holiday (bad pass; steal by A. Wiggins),13,8
56,1,5:59.0,Personal foul by E. Moore (drawn by A. Wiggins),,13,8
57,1,5:46.0,T. Gibson makes 2-pt layup from 3 ft,,15,8
58,1,5:31.0,,J. Randle misses 2-pt layup from 2 ft,15,8
59,1,5:29.0,Defensive rebound by K. Towns,,15,8
60,1,5:22.0,R. Covington misses 2-pt jump shot from 13 ft,,15,8
61,1,5:17.0,,Defensive rebound by J. Randle,15,8
62,1,5:12.0,,E. Moore makes 3-pt jump shot from 27 ft (assist by J. Holiday),15,11
63,1,4:53.0,A. Wiggins misses 2-pt jump shot from 13 ft,,15,11
64,1,4:50.0,,Defensive rebound by T. Frazier,15,11
65,1,4:46.0,,J. Randle makes 2-pt layup from 2 ft (assist by J. Holiday),15,13
66,1,4:36.0,Minnesota full timeout,,15,13
67,1,4:36.0,J. Okogie enters the game for R. Covington,,15,13
68,1,4:36.0,D. Šarić enters the game for T. Gibson,,15,13
69,1,4:36.0,,D. Miller enters the game for E. Moore,15,13
70,1,4:28.0,A. Wiggins makes 3-pt jump shot from 26 ft (assist by K. Towns),,18,13
71,1,4:10.0,,Turnover by J. Holiday (bad pass; steal by J. Okogie),18,13
72,1,4:02.0,A. Wiggins misses 3-pt jump shot from 26 ft,,18,13
73,1,3:58.0,,Defensive rebound by J. Randle,18,13
74,1,3:52.0,,J. Randle makes 2-pt layup from 2 ft,18,15
75,1,3:28.0,J. Okogie misses 2-pt jump shot from 6 ft,,18,15
76,1,3:28.0,,Defensive rebound by C. Diallo,18,15
77,1,3:15.0,,J. Randle makes 2-pt jump shot from 3 ft (assist by D. Miller),18,17
78,1,3:01.0,K. Towns misses 2-pt jump shot from 10 ft,,18,17
79,1,2:55.0,Offensive rebound by D. Šarić,,18,17
80,1,2:55.0,D. Šarić misses 2-pt layup at rim,,18,17
81,1,2:55.0,Offensive rebound by T. Jones,,18,17
82,1,2:50.0,A. Wiggins misses 3-pt jump shot from 28 ft,,18,17
83,1,2:49.0,,Defensive rebound by C. Diallo,18,17
84,1,2:49.0,,Shooting foul by A. Wiggins (drawn by C. Diallo),18,17
85,1,2:49.0,,C. Diallo makes free throw 1 of 2,18,18
86,1,2:49.0,G. Dieng enters the game for K. Towns,,18,18
87,1,2:49.0,,S. Hill enters the game for J. Holiday,18,18
88,1,2:49.0,,E. Moore enters the game for J. Randle,18,18
89,1,2:49.0,,C. Diallo misses free throw 2 of 2,18,18
90,1,2:47.0,Defensive rebound by G. Dieng,,18,18
91,1,2:34.0,J. Okogie misses 3-pt jump shot from 26 ft,,18,18
92,1,2:31.0,,Defensive rebound by D. Miller,18,18
93,1,2:24.0,,D. Miller misses 3-pt jump shot from 26 ft,18,18
94,1,2:20.0,Defensive rebound by D. Šarić,,18,18
95,1,2:14.0,T. Jones misses 2-pt layup from 1 ft,,18,18
96,1,2:11.0,,Defensive rebound by C. Diallo,18,18
97,1,1:52.0,,T. Frazier makes 3-pt jump shot from 26 ft (assist by D. Miller),18,21
98,1,1:29.0,A. Wiggins misses 2-pt layup from 2 ft (block by D. Miller),,18,21
99,1,1:25.0,,Defensive rebound by D. Miller,18,21
100,1,1:24.0,,E. Moore makes 2-pt layup from 2 ft (assist by T. Frazier),18,23
101,1,1:24.0,Violation by Team (def goaltending),,18,23
102,1,1:08.0,D. Šarić misses 2-pt jump shot from 22 ft,,18,23
103,1,1:05.0,,Defensive rebound by C. Diallo,18,23
104,1,0:59.0,,E. Moore makes 2-pt jump shot from 5 ft,18,25
105,1,0:50.0,G. Dieng makes 2-pt layup from 2 ft (assist by T. Jones),,20,25
106,1,0:42.0,,E. Moore misses 2-pt layup from 2 ft (block by G. Dieng),20,25
107,1,0:39.0,Defensive rebound by J. Okogie,,20,25
108,1,0:33.0,A. Wiggins makes 2-pt hook shot from 4 ft,,22,25
109,1,0:16.0,,Personal foul by J. Okogie (drawn by E. Moore),22,25
110,1,0:01.0,,E. Moore makes 2-pt jump shot from 20 ft (assist by T. Frazier),22,27
111,2,11:48.0,Personal foul by S. Hill (drawn by R. Covington),,22,27
112,2,11:35.0,D. Šarić misses 2-pt layup from 2 ft,,22,27
113,2,11:27.0,Offensive rebound by G. Dieng,,22,27
114,2,11:27.0,G. Dieng makes 2-pt dunk at rim,,24,27
115,2,11:17.0,,Turnover by C. Diallo (lost ball; steal by R. Covington),24,27
116,2,11:11.0,J. Bayless misses 3-pt jump shot from 25 ft,,24,27
117,2,11:08.0,,Defensive rebound by C. Diallo,24,27
118,2,10:54.0,,D. Miller makes 3-pt jump shot from 25 ft (assist by S. Hill),24,30
119,2,10:36.0,J. Bayless misses 3-pt jump shot from 25 ft,,24,30
120,2,10:33.0,Offensive rebound by G. Dieng,,24,30
121,2,10:32.0,G. Dieng misses 2-pt layup from 1 ft,,24,30
122,2,10:32.0,Offensive rebound by R. Covington,,24,30
123,2,10:27.0,R. Covington misses 2-pt layup at rim,,24,30
124,2,10:27.0,,Defensive rebound by C. Diallo,24,30
125,2,10:16.0,,T. Frazier makes 2-pt layup from 2 ft (assist by E. Moore),24,32
126,2,10:03.0,R. Covington misses 2-pt layup from 2 ft,,24,32
127,2,10:01.0,,Defensive rebound by S. Hill,24,32
128,2,9:54.0,,S. Hill misses 3-pt jump shot from 26 ft,24,32
129,2,9:51.0,Defensive rebound by G. Dieng,,24,32
130,2,9:38.0,J. Okogie makes 2-pt dunk from 2 ft (assist by D. Šarić),,26,32
131,2,9:21.0,,D. Miller makes 3-pt jump shot from 25 ft,26,35
132,2,9:02.0,R. Covington misses 3-pt jump shot from 26 ft,,26,35
133,2,8:57.0,,Defensive rebound by C. Diallo,26,35
134,2,8:55.0,,E. Moore makes 3-pt jump shot from 25 ft (assist by T. Frazier),26,38
135,2,8:45.0,Minnesota full timeout,,26,38
136,2,8:45.0,K. Towns enters the game for G. Dieng,,26,38
137,2,8:45.0,,J. Randle enters the game for C. Diallo,26,38
138,2,8:38.0,,Violation by Team (kicked ball),26,38
139,2,8:26.0,Shooting foul by D. Miller (drawn by J. Okogie),,26,38
140,2,8:26.0,J. Okogie makes free throw 1 of 2,,27,38
141,2,8:26.0,J. Okogie makes free throw 2 of 2,,28,38
142,2,8:15.0,,E. Moore misses 2-pt jump shot from 9 ft,28,38
143,2,8:12.0,Defensive rebound by K. Towns,,28,38
144,2,8:07.0,K. Towns misses 3-pt jump shot from 25 ft,,28,38
145,2,8:05.0,,Defensive rebound by Team,28,38
146,2,7:53.0,,Turnover by E. Moore (bad pass; steal by J. Okogie),28,38
147,2,7:33.0,Turnover by K. Towns (bad pass; steal by T. Frazier),,28,38
148,2,7:25.0,,Turnover by S. Hill (bad pass; steal by J. Bayless),28,38
149,2,7:20.0,Turnover by J. Okogie (lost ball; steal by S. Hill),,28,38
150,2,7:14.0,,S. Hill makes 2-pt layup from 2 ft (assist by E. Moore),28,40
151,2,6:55.0,D. Šarić makes 2-pt layup from 2 ft (assist by K. Towns),,30,40
152,2,6:43.0,,Personal foul by D. Šarić (drawn by D. Miller),30,40
153,2,6:43.0,A. Wiggins enters the game for J. Okogie,,30,40
154,2,6:43.0,,J. Holiday enters the game for T. Frazier,30,40
155,2,6:43.0,,E. Payton enters the game for E. Moore,30,40
156,2,6:32.0,,D. Miller misses 3-pt jump shot from 27 ft,30,40
157,2,6:29.0,Defensive rebound by A. Wiggins,,30,40
158,2,6:18.0,A. Wiggins misses 3-pt jump shot from 27 ft,,30,40
159,2,6:15.0,,Defensive rebound by J. Randle,30,40
160,2,6:11.0,,J. Randle makes 2-pt dunk from 1 ft,30,42
161,2,6:11.0,,Shooting foul by R. Covington (drawn by J. Randle),30,42
162,2,6:11.0,T. Gibson enters the game for J. Bayless,,30,42
163,2,6:11.0,T. Jones enters the game for D. Šarić,,30,42
164,2,6:11.0,,J. Randle makes free throw 1 of 1,30,43
165,2,5:50.0,T. Jones makes 3-pt jump shot from 23 ft (assist by K. Towns),,33,43
166,2,5:36.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by E. Payton),33,46
167,2,5:23.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Jones),,35,46
168,2,5:14.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by J. Holiday),35,49
169,2,4:53.0,R. Covington makes 2-pt layup from 2 ft (assist by K. Towns),,37,49
170,2,4:39.0,,J. Randle makes 2-pt layup from 6 ft (assist by S. Hill),37,51
171,2,4:32.0,Personal foul by E. Payton (drawn by K. Towns),,37,51
172,2,4:18.0,A. Wiggins makes 2-pt jump shot from 20 ft,,39,51
173,2,4:11.0,,Turnover by E. Payton (offensive foul),39,51
174,2,4:11.0,,Offensive foul by E. Payton (drawn by A. Wiggins),39,51
175,2,4:11.0,,J. Okafor enters the game for J. Randle,39,51
176,2,4:00.0,Shooting foul by D. Miller (drawn by T. Jones),,39,51
177,2,4:00.0,T. Jones makes free throw 1 of 2,,40,51
178,2,4:00.0,T. Jones makes free throw 2 of 2,,41,51
179,2,3:55.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by E. Payton),41,54
180,2,3:46.0,Personal foul by S. Hill (drawn by K. Towns),,41,54
181,2,3:46.0,Turnover by R. Covington (lane violation),,41,54
182,2,3:46.0,K. Towns makes free throw 2 of 2,,42,54
183,2,3:46.0,,E. Moore enters the game for D. Miller,42,54
184,2,3:33.0,,Turnover by E. Payton (bad pass),42,54
185,2,3:21.0,K. Towns misses 2-pt layup from 6 ft,,42,54
186,2,3:21.0,,Defensive rebound by Team,42,54
187,2,3:10.0,,J. Holiday makes 2-pt layup from 3 ft (assist by E. Payton),42,56
188,2,2:58.0,Turnover by A. Wiggins (bad pass; steal by E. Payton),,42,56
189,2,2:39.0,,E. Payton misses 2-pt layup from 1 ft (block by T. Gibson),42,56
190,2,2:38.0,Defensive rebound by Team,,42,56
191,2,2:38.0,,New Orleans full timeout,42,56
192,2,2:38.0,,J. Randle enters the game for J. Okafor,42,56
193,2,2:25.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),,44,56
194,2,2:09.0,,Turnover by S. Hill (lost ball; steal by T. Jones),44,56
195,2,2:03.0,T. Jones misses 3-pt jump shot from 25 ft,,44,56
196,2,1:58.0,Offensive rebound by T. Gibson,,44,56
197,2,1:57.0,R. Covington misses 3-pt jump shot from 25 ft,,44,56
198,2,1:52.0,Offensive rebound by T. Gibson,,44,56
199,2,1:52.0,T. Gibson makes 2-pt layup from 4 ft,,46,56
200,2,1:35.0,,Turnover by E. Moore (lost ball; steal by R. Covington),46,56
201,2,1:30.0,R. Covington makes 3-pt jump shot from 23 ft (assist by T. Jones),,49,56
202,2,1:12.0,,E. Moore makes 3-pt jump shot from 27 ft (assist by E. Payton),49,59
203,2,0:52.0,A. Wiggins misses 2-pt jump shot from 19 ft,,49,59
204,2,0:52.0,,Defensive rebound by J. Holiday,49,59
205,2,0:43.0,,Personal foul by R. Covington (drawn by J. Holiday),49,59
206,2,0:33.0,,Shooting foul by K. Towns (drawn by J. Randle),49,59
207,2,0:33.0,,J. Randle makes free throw 1 of 2,49,60
208,2,0:33.0,,J. Randle makes free throw 2 of 2,49,61
209,2,0:27.0,T. Jones makes 2-pt layup from 2 ft,,51,61
210,2,0:08.0,,E. Moore makes 2-pt jump shot from 6 ft (assist by E. Payton),51,63
211,2,0:00.0,R. Covington misses 3-pt jump shot from 25 ft,,51,63
212,2,0:00.0,Offensive rebound by Team,,51,63
213,3,11:39.0,A. Wiggins misses 2-pt jump shot from 13 ft,,51,63
214,3,11:34.0,,Defensive rebound by J. Okafor,51,63
215,3,11:17.0,,J. Randle makes 3-pt jump shot from 23 ft (assist by E. Payton),51,66
216,3,10:59.0,K. Towns makes 2-pt jump shot from 20 ft (assist by T. Gibson),,53,66
217,3,10:44.0,,J. Holiday misses 3-pt jump shot from 25 ft,53,66
218,3,10:41.0,Defensive rebound by K. Towns,,53,66
219,3,10:27.0,Shooting foul by J. Randle (drawn by T. Gibson),,53,66
220,3,10:27.0,T. Gibson makes free throw 1 of 2,,54,66
221,3,10:27.0,T. Gibson makes free throw 2 of 2,,55,66
222,3,10:03.0,,J. Randle makes 2-pt jump shot from 15 ft,55,68
223,3,9:48.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Jones),,57,68
224,3,9:39.0,,E. Payton misses 2-pt layup from 3 ft (block by A. Wiggins),57,68
225,3,9:39.0,,Offensive rebound by Team,57,68
226,3,9:34.0,,J. Randle makes 2-pt layup from 1 ft,57,70
227,3,9:21.0,K. Towns misses 2-pt jump shot from 2 ft,,57,70
228,3,9:21.0,Offensive rebound by Team,,57,70
229,3,9:16.0,T. Jones misses 2-pt jump shot from 8 ft,,57,70
230,3,9:14.0,,Defensive rebound by J. Holiday,57,70
231,3,9:08.0,,E. Moore misses 3-pt jump shot from 24 ft,57,70
232,3,9:05.0,,Offensive rebound by J. Okafor,57,70
233,3,9:03.0,,E. Payton misses 3-pt jump shot from 26 ft,57,70
234,3,8:59.0,Defensive rebound by K. Towns,,57,70
235,3,8:48.0,K. Towns misses 2-pt dunk from 1 ft,,57,70
236,3,8:48.0,,Defensive rebound by Team,57,70
237,3,8:38.0,,E. Payton misses 2-pt layup from 2 ft,57,70
238,3,8:34.0,Defensive rebound by K. Towns,,57,70
239,3,8:25.0,R. Covington makes 3-pt jump shot from 23 ft (assist by A. Wiggins),,60,70
240,3,8:07.0,,J. Randle misses 3-pt jump shot from 24 ft,60,70
241,3,8:05.0,Defensive rebound by K. Towns,,60,70
242,3,8:00.0,R. Covington makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,63,70
243,3,7:58.0,,New Orleans full timeout,63,70
244,3,7:43.0,,E. Moore misses 2-pt layup from 2 ft,63,70
245,3,7:42.0,,Offensive rebound by E. Moore,63,70
246,3,7:39.0,,J. Holiday makes 2-pt jump shot from 19 ft (assist by J. Randle),63,72
247,3,7:20.0,T. Jones makes 2-pt jump shot from 5 ft,,65,72
248,3,7:04.0,Violation by Team (kicked ball),,65,72
249,3,6:54.0,,J. Randle misses 2-pt layup from 6 ft (block by K. Towns),65,72
250,3,6:48.0,Defensive rebound by K. Towns,,65,72
251,3,6:44.0,A. Wiggins makes 3-pt jump shot from 23 ft (assist by R. Covington),,68,72
252,3,6:36.0,,Turnover by E. Payton (out of bounds lost ball),68,72
253,3,6:36.0,,C. Diallo enters the game for J. Okafor,68,72
254,3,6:18.0,K. Towns makes 2-pt jump shot from 9 ft (assist by T. Jones),,70,72
255,3,6:07.0,,E. Payton makes 3-pt jump shot from 25 ft (assist by E. Moore),70,75
256,3,5:48.0,Turnover by A. Wiggins (traveling),,70,75
257,3,5:41.0,,Turnover by J. Holiday (bad pass; steal by R. Covington),70,75
258,3,5:37.0,T. Jones makes 2-pt layup from 2 ft (assist by R. Covington),,72,75
259,3,5:22.0,,E. Payton misses 3-pt jump shot from 27 ft,72,75
260,3,5:18.0,Defensive rebound by K. Towns,,72,75
261,3,5:05.0,Shooting foul by C. Diallo (drawn by T. Gibson),,72,75
262,3,5:05.0,,T. Frazier enters the game for E. Payton,72,75
263,3,5:05.0,T. Gibson makes free throw 1 of 2,,73,75
264,3,5:05.0,T. Gibson makes free throw 2 of 2,,74,75
265,3,4:50.0,,Shooting foul by R. Covington (drawn by J. Holiday),74,75
266,3,4:50.0,,J. Holiday makes free throw 1 of 2,74,76
267,3,4:50.0,,J. Holiday makes free throw 2 of 2,74,77
268,3,4:39.0,K. Towns makes 2-pt jump shot from 9 ft (assist by T. Jones),,76,77
269,3,4:22.0,,J. Holiday makes 2-pt layup from 1 ft,76,79
270,3,4:12.0,K. Towns makes 3-pt jump shot from 27 ft (assist by T. Jones),,79,79
271,3,3:49.0,,J. Randle misses 2-pt layup from 3 ft (block by K. Towns),79,79
272,3,3:46.0,Defensive rebound by K. Towns,,79,79
273,3,3:42.0,T. Gibson makes 2-pt jump shot from 15 ft (assist by T. Jones),,81,79
274,3,3:21.0,,J. Holiday makes 2-pt layup from 2 ft,81,81
275,3,3:07.0,K. Towns makes 2-pt layup from 2 ft (assist by T. Jones),,83,81
276,3,2:43.0,,Turnover by J. Holiday (bad pass; steal by R. Covington),83,81
277,3,2:30.0,Shooting foul by J. Randle (drawn by K. Towns),,83,81
278,3,2:30.0,Minnesota full timeout,,83,81
279,3,2:30.0,J. Okogie enters the game for R. Covington,,83,81
280,3,2:30.0,,S. Hill enters the game for C. Diallo,83,81
281,3,2:30.0,,D. Miller enters the game for E. Moore,83,81
282,3,2:30.0,,J. Okafor enters the game for J. Randle,83,81
283,3,2:30.0,K. Towns misses free throw 1 of 2,,83,81
284,3,2:30.0,Offensive rebound by Team,,83,81
285,3,2:30.0,K. Towns misses free throw 2 of 2,,83,81
286,3,2:27.0,,Defensive rebound by J. Okafor,83,81
287,3,2:14.0,,D. Miller makes 2-pt jump shot from 18 ft,83,83
288,3,1:54.0,K. Towns misses 2-pt jump shot from 19 ft,,83,83
289,3,1:51.0,,Defensive rebound by T. Frazier,83,83
290,3,1:42.0,,J. Holiday makes 2-pt dunk at rim,83,85
291,3,1:37.0,Minnesota full timeout,,83,85
292,3,1:37.0,D. Šarić enters the game for T. Gibson,,83,85
293,3,1:37.0,,E. Moore enters the game for J. Holiday,83,85
294,3,1:28.0,Shooting foul by S. Hill (drawn by A. Wiggins),,83,85
295,3,1:28.0,A. Wiggins makes free throw 1 of 2,,84,85
296,3,1:28.0,A. Wiggins makes free throw 2 of 2,,85,85
297,3,1:17.0,,E. Moore misses 2-pt jump shot from 16 ft,85,85
298,3,1:17.0,,Offensive rebound by Team,85,85
299,3,1:17.0,Loose ball foul by K. Towns (drawn by J. Okafor),,85,85
300,3,1:17.0,G. Dieng enters the game for K. Towns,,85,85
301,3,1:07.0,,J. Okafor makes 2-pt layup from 2 ft (assist by D. Miller),85,87
302,3,1:07.0,,Shooting foul by D. Šarić (drawn by J. Okafor),85,87
303,3,1:07.0,,J. Okafor makes free throw 1 of 1,85,88
304,3,0:53.0,A. Wiggins makes 2-pt layup from 2 ft,,87,88
305,3,0:36.0,,T. Frazier misses 3-pt jump shot from 26 ft,87,88
306,3,0:33.0,Defensive rebound by D. Šarić,,87,88
307,3,0:21.0,G. Dieng makes 2-pt jump shot from 8 ft (assist by T. Jones),,89,88
308,3,0:01.0,,E. Moore misses 2-pt jump shot from 22 ft,89,88
309,3,0:01.0,,Offensive rebound by T. Frazier,89,88
310,3,0:00.0,,T. Frazier misses 2-pt layup at rim,89,88
311,3,0:00.0,,Offensive rebound by Team,89,88
312,4,11:47.0,,J. Holiday misses 2-pt layup from 3 ft,89,88
313,4,11:45.0,,Offensive rebound by J. Randle,89,88
314,4,11:42.0,,J. Randle makes 2-pt layup from 3 ft,89,90
315,4,11:26.0,A. Wiggins misses 2-pt jump shot from 16 ft,,89,90
316,4,11:23.0,,Defensive rebound by D. Miller,89,90
317,4,11:16.0,,D. Miller makes 3-pt jump shot from 26 ft (assist by J. Randle),89,93
318,4,10:48.0,G. Dieng makes 2-pt dunk at rim (assist by J. Okogie),,91,93
319,4,10:40.0,,J. Holiday misses 2-pt jump shot from 13 ft,91,93
320,4,10:37.0,Defensive rebound by G. Dieng,,91,93
321,4,10:21.0,A. Wiggins makes 2-pt layup from 1 ft,,93,93
322,4,10:07.0,,J. Holiday misses 2-pt jump shot from 17 ft,93,93
323,4,10:04.0,Defensive rebound by G. Dieng,,93,93
324,4,9:57.0,D. Šarić misses 3-pt jump shot from 26 ft,,93,93
325,4,9:53.0,,Defensive rebound by E. Moore,93,93
326,4,9:48.0,,Turnover by E. Moore (traveling),93,93
327,4,9:48.0,R. Covington enters the game for A. Wiggins,,93,93
328,4,9:34.0,Shooting foul by J. Randle (drawn by G. Dieng),,93,93
329,4,9:34.0,G. Dieng makes free throw 1 of 2,,94,93
330,4,9:34.0,,T. Frazier enters the game for E. Moore,94,93
331,4,9:34.0,G. Dieng makes free throw 2 of 2,,95,93
332,4,9:10.0,,J. Randle misses 2-pt jump shot from 9 ft,95,93
333,4,9:08.0,Defensive rebound by R. Covington,,95,93
334,4,8:55.0,Turnover by R. Covington (out of bounds lost ball),,95,93
335,4,8:33.0,,J. Holiday makes 2-pt jump shot from 12 ft,95,95
336,4,8:33.0,,Shooting foul by J. Bayless (drawn by J. Holiday),95,95
337,4,8:33.0,,J. Holiday makes free throw 1 of 1,95,96
338,4,8:18.0,J. Okogie misses 2-pt layup from 2 ft,,95,96
339,4,8:18.0,,Defensive rebound by J. Randle,95,96
340,4,8:09.0,,D. Miller makes 2-pt jump shot from 18 ft (assist by J. Randle),95,98
341,4,8:07.0,Minnesota full timeout,,95,98
342,4,8:07.0,T. Jones enters the game for J. Bayless,,95,98
343,4,8:07.0,K. Towns enters the game for G. Dieng,,95,98
344,4,7:55.0,D. Šarić misses 2-pt jump shot from 14 ft,,95,98
345,4,7:51.0,,Defensive rebound by J. Randle,95,98
346,4,7:40.0,,J. Randle makes 2-pt layup from 3 ft (assist by J. Holiday),95,100
347,4,7:40.0,,Shooting foul by D. Šarić (drawn by J. Randle),95,100
348,4,7:40.0,T. Gibson enters the game for D. Šarić,,95,100
349,4,7:40.0,,J. Randle makes free throw 1 of 1,95,101
350,4,7:28.0,Shooting foul by J. Randle (drawn by K. Towns),,95,101
351,4,7:28.0,K. Towns makes free throw 1 of 2,,96,101
352,4,7:28.0,K. Towns makes free throw 2 of 2,,97,101
353,4,7:12.0,,J. Holiday misses 2-pt layup from 2 ft (block by K. Towns),97,101
354,4,7:12.0,,Offensive rebound by J. Randle,97,101
355,4,7:08.0,,J. Randle misses 2-pt layup from 5 ft (block by K. Towns),97,101
356,4,7:05.0,Defensive rebound by K. Towns,,97,101
357,4,6:58.0,Personal foul by T. Frazier (drawn by J. Okogie),,97,101
358,4,6:48.0,K. Towns misses 2-pt jump shot from 20 ft,,97,101
359,4,6:42.0,Offensive rebound by J. Okogie,,97,101
360,4,6:42.0,J. Okogie makes 2-pt dunk from 1 ft,,99,101
361,4,6:29.0,,D. Miller makes 3-pt jump shot from 23 ft (assist by J. Holiday),99,104
362,4,6:07.0,K. Towns misses 2-pt layup from 3 ft,,99,104
363,4,6:06.0,Offensive rebound by K. Towns,,99,104
364,4,6:00.0,Turnover by K. Towns (traveling),,99,104
365,4,5:52.0,,S. Hill makes 2-pt layup from 2 ft (assist by J. Holiday),99,106
366,4,5:38.0,T. Jones makes 2-pt jump shot from 7 ft,,101,106
367,4,5:34.0,,Shooting foul by R. Covington (drawn by J. Holiday),101,106
368,4,5:34.0,,J. Holiday makes free throw 1 of 2,101,107
369,4,5:34.0,A. Wiggins enters the game for J. Okogie,,101,107
370,4,5:34.0,,E. Payton enters the game for T. Frazier,101,107
371,4,5:34.0,,J. Holiday makes free throw 2 of 2,101,108
372,4,5:16.0,K. Towns makes 2-pt layup from 4 ft (assist by R. Covington),,103,108
373,4,4:54.0,,D. Miller misses 2-pt jump shot from 20 ft (block by K. Towns),103,108
374,4,4:53.0,Defensive rebound by Team,,103,108
375,4,4:53.0,,Loose ball foul by D. Miller (drawn by K. Towns),103,108
376,4,4:53.0,,New Orleans full timeout,103,108
377,4,4:34.0,A. Wiggins misses 3-pt jump shot from 24 ft,,103,108
378,4,4:28.0,,Defensive rebound by S. Hill,103,108
379,4,4:08.0,,J. Randle misses 2-pt jump shot from 19 ft,103,108
380,4,4:06.0,Defensive rebound by T. Jones,,103,108
381,4,3:46.0,K. Towns misses 3-pt jump shot from 23 ft,,103,108
382,4,3:44.0,,Defensive rebound by J. Randle,103,108
383,4,3:38.0,,New Orleans full timeout,103,108
