,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DALLAS_ACTION,SAN ANTONIO_SCORE,DALLAS_SCORE
0,1,11:42.0,,W. Matthews makes 2-pt jump shot from 14 ft,0,2
1,1,11:29.0,Turnover by D. DeRozan (dbl dribble),,0,2
2,1,11:09.0,,Shooting foul by L. Aldridge (drawn by L. Dončić),0,2
3,1,11:09.0,,L. Dončić makes free throw 1 of 2,0,3
4,1,11:09.0,,L. Dončić makes free throw 2 of 2,0,4
5,1,10:56.0,Turnover by R. Gay (lost ball; steal by M. Kleber),,0,4
6,1,10:45.0,,Turnover by M. Kleber (bad pass; steal by D. White),0,4
7,1,10:37.0,D. White makes 2-pt jump shot from 10 ft (assist by B. Forbes),,2,4
8,1,10:21.0,,Shooting foul by D. White (drawn by H. Barnes),2,4
9,1,10:21.0,,H. Barnes makes free throw 1 of 2,2,5
10,1,10:21.0,,H. Barnes misses free throw 2 of 2,2,5
11,1,10:17.0,Defensive rebound by D. DeRozan,,2,5
12,1,10:00.0,B. Forbes misses 2-pt jump shot from 17 ft (block by D. Jordan),,2,5
13,1,9:56.0,,Defensive rebound by L. Dončić,2,5
14,1,9:43.0,,H. Barnes misses 3-pt jump shot from 26 ft,2,5
15,1,9:39.0,Defensive rebound by R. Gay,,2,5
16,1,9:22.0,L. Aldridge misses 2-pt jump shot from 12 ft,,2,5
17,1,9:20.0,,Defensive rebound by L. Dončić,2,5
18,1,9:06.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by D. Jordan),2,8
19,1,9:05.0,San Antonio full timeout,,2,8
20,1,8:42.0,L. Aldridge misses 2-pt jump shot from 13 ft,,2,8
21,1,8:40.0,,Defensive rebound by D. Jordan,2,8
22,1,8:26.0,,M. Kleber makes 3-pt jump shot from 23 ft (assist by L. Dončić),2,11
23,1,8:14.0,R. Gay makes 2-pt jump shot from 17 ft (assist by L. Aldridge),,4,11
24,1,8:00.0,,D. Jordan misses 2-pt dunk from 2 ft (block by L. Aldridge),4,11
25,1,7:58.0,,Offensive rebound by Team,4,11
26,1,7:49.0,,H. Barnes misses 2-pt jump shot from 13 ft,4,11
27,1,7:49.0,,Offensive rebound by H. Barnes,4,11
28,1,7:45.0,,M. Kleber makes 3-pt jump shot from 26 ft (assist by H. Barnes),4,14
29,1,7:22.0,Turnover by L. Aldridge (bad pass; steal by M. Kleber),,4,14
30,1,7:11.0,,L. Dončić makes 3-pt jump shot from 30 ft (assist by H. Barnes),4,17
31,1,6:59.0,Turnover by D. DeRozan (lost ball; steal by M. Kleber),,4,17
32,1,6:57.0,Clear path foul by M. Kleber,,4,17
33,1,6:57.0,,M. Kleber misses clear path free throw 1 of 2,4,17
34,1,6:57.0,,Offensive rebound by Team,4,17
35,1,6:57.0,M. Belinelli enters the game for B. Forbes,,4,17
36,1,6:57.0,P. Mills enters the game for D. White,,4,17
37,1,6:57.0,,J. Brunson enters the game for L. Dončić,4,17
38,1,6:57.0,,M. Kleber makes clear path free throw 2 of 2,4,18
39,1,6:41.0,,W. Matthews makes 2-pt jump shot from 6 ft,4,20
40,1,6:26.0,P. Mills misses 3-pt jump shot from 26 ft,,4,20
41,1,6:23.0,,Defensive rebound by D. Jordan,4,20
42,1,6:13.0,,Turnover by J. Brunson (bad pass; steal by L. Aldridge),4,20
43,1,6:05.0,M. Belinelli misses 3-pt jump shot from 26 ft,,4,20
44,1,6:01.0,Offensive rebound by L. Aldridge,,4,20
45,1,6:00.0,L. Aldridge misses 2-pt jump shot from 14 ft,,4,20
46,1,5:58.0,,Defensive rebound by W. Matthews,4,20
47,1,5:49.0,,J. Brunson misses 3-pt jump shot from 25 ft,4,20
48,1,5:44.0,Defensive rebound by R. Gay,,4,20
49,1,5:36.0,R. Gay misses 2-pt jump shot from 9 ft,,4,20
50,1,5:34.0,,Defensive rebound by H. Barnes,4,20
51,1,5:20.0,,W. Matthews misses 3-pt jump shot from 25 ft,4,20
52,1,5:16.0,Defensive rebound by D. DeRozan,,4,20
53,1,5:06.0,R. Gay misses 2-pt jump shot from 11 ft,,4,20
54,1,5:03.0,,Defensive rebound by W. Matthews,4,20
55,1,4:42.0,,H. Barnes misses 2-pt jump shot from 18 ft,4,20
56,1,4:39.0,,Offensive rebound by D. Jordan,4,20
57,1,4:39.0,D. Bertāns enters the game for R. Gay,,4,20
58,1,4:39.0,,D. Finney-Smith enters the game for M. Kleber,4,20
59,1,4:33.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by J. Brunson),4,23
60,1,4:08.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by P. Mills),,7,23
61,1,3:52.0,,Turnover by D. Jordan (bad pass; steal by M. Belinelli),7,23
62,1,3:46.0,P. Mills makes 3-pt jump shot from 24 ft (assist by D. DeRozan),,10,23
63,1,3:44.0,,Dallas full timeout,10,23
64,1,3:44.0,B. Forbes enters the game for L. Aldridge,,10,23
65,1,3:44.0,J. Poeltl enters the game for D. DeRozan,,10,23
66,1,3:32.0,,D. Finney-Smith misses 2-pt layup from 5 ft (block by J. Poeltl),10,23
67,1,3:26.0,,Offensive rebound by D. Finney-Smith,10,23
68,1,3:26.0,,D. Finney-Smith makes 2-pt layup at rim,10,25
69,1,3:15.0,D. Bertāns misses 2-pt jump shot from 4 ft,,10,25
70,1,3:11.0,Offensive rebound by J. Poeltl,,10,25
71,1,3:11.0,J. Poeltl makes 2-pt layup from 1 ft,,12,25
72,1,2:58.0,,Shooting foul by J. Poeltl (drawn by D. Jordan),12,25
73,1,2:58.0,,D. Jordan makes free throw 1 of 2,12,26
74,1,2:58.0,,L. Dončić enters the game for H. Barnes,12,26
75,1,2:58.0,,D. Powell enters the game for W. Matthews,12,26
76,1,2:58.0,,D. Jordan misses free throw 2 of 2,12,26
77,1,2:56.0,Defensive rebound by B. Forbes,,12,26
78,1,2:51.0,B. Forbes makes 3-pt jump shot from 25 ft,,15,26
79,1,2:34.0,,L. Dončić misses 2-pt hook shot from 3 ft,15,26
80,1,2:31.0,,Offensive rebound by L. Dončić,15,26
