,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,MIAMI_ACTION,NEW ORLEANS_SCORE,MIAMI_SCORE
386,4,7:41.0,,K. Olynyk misses 3-pt jump shot from 27 ft,81,89
387,4,7:38.0,Defensive rebound by A. Davis,,81,89
388,4,7:29.0,A. Davis makes 2-pt jump shot from 12 ft (assist by J. Holiday),,83,89
389,4,7:29.0,,Miami full timeout,83,89
390,4,7:29.0,T. Frazier enters the game for E. Moore,,83,89
391,4,7:29.0,,W. Ellington enters the game for D. Wade,83,89
392,4,7:12.0,,K. Olynyk makes 3-pt jump shot from 27 ft (assist by B. Adebayo),83,92
393,4,6:55.0,Personal foul by W. Ellington (drawn by A. Davis),,83,92
394,4,6:49.0,N. Mirotić makes 3-pt jump shot from 26 ft (assist by T. Frazier),,86,92
395,4,6:35.0,,J. Richardson misses 3-pt jump shot from 28 ft,86,92
396,4,6:32.0,,Offensive rebound by Team,86,92
397,4,6:32.0,,Personal foul by A. Davis (drawn by K. Olynyk),86,92
398,4,6:23.0,,B. Adebayo makes 2-pt layup from 4 ft (assist by K. Olynyk),86,94
399,4,6:10.0,N. Mirotić misses 3-pt jump shot from 27 ft,,86,94
400,4,6:07.0,,Defensive rebound by W. Ellington,86,94
401,4,5:54.0,,K. Olynyk misses 3-pt jump shot from 27 ft,86,94
402,4,5:52.0,Defensive rebound by A. Davis,,86,94
403,4,5:43.0,Turnover by J. Holiday (traveling),,86,94
404,4,5:43.0,J. Randle enters the game for S. Hill,,86,94
405,4,5:22.0,,J. Winslow misses 2-pt layup from 7 ft,86,94
406,4,5:21.0,Defensive rebound by Team,,86,94
407,4,5:16.0,Shooting foul by J. Winslow (drawn by N. Mirotić),,86,94
408,4,5:16.0,N. Mirotić makes free throw 1 of 2,,87,94
409,4,5:16.0,N. Mirotić makes free throw 2 of 2,,88,94
410,4,5:11.0,,Miami full timeout,88,94
411,4,5:05.0,,B. Adebayo makes 2-pt layup from 4 ft (assist by J. Richardson),88,96
412,4,4:45.0,A. Davis misses 3-pt jump shot from 25 ft,,88,96
413,4,4:44.0,,Defensive rebound by Team,88,96
414,4,4:30.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Adebayo),88,99
415,4,4:06.0,J. Randle misses 2-pt jump shot from 8 ft,,88,99
416,4,4:06.0,Offensive rebound by A. Davis,,88,99
417,4,4:06.0,Shooting foul by K. Olynyk (drawn by A. Davis),,88,99
418,4,4:06.0,A. Davis makes free throw 1 of 2,,89,99
419,4,4:06.0,E. Moore enters the game for T. Frazier,,89,99
420,4,4:06.0,A. Davis makes free throw 2 of 2,,90,99
421,4,3:57.0,,Personal foul by E. Moore (drawn by W. Ellington),90,99
422,4,3:51.0,,J. Richardson misses 3-pt jump shot from 27 ft,90,99
423,4,3:50.0,,Offensive rebound by Team,90,99
424,4,3:50.0,,Technical foul by A. Gentry,90,99
425,4,3:50.0,,W. Ellington misses technical free throw,90,99
426,4,3:50.0,,Offensive rebound by Team,90,99
427,4,3:38.0,,J. Richardson misses 2-pt jump shot from 10 ft,90,99
428,4,3:36.0,Defensive rebound by A. Davis,,90,99
429,4,3:29.0,Shooting foul by W. Ellington (drawn by A. Davis),,90,99
430,4,3:29.0,A. Davis makes free throw 1 of 2,,91,99
431,4,3:29.0,,D. Wade enters the game for K. Olynyk,91,99
432,4,3:29.0,A. Davis misses free throw 2 of 2,,91,99
433,4,3:27.0,,Defensive rebound by B. Adebayo,91,99
434,4,3:18.0,,J. Richardson misses 3-pt jump shot from 27 ft,91,99
435,4,3:14.0,Defensive rebound by A. Davis,,91,99
436,4,3:11.0,Personal foul by W. Ellington (drawn by E. Moore),,91,99
437,4,3:11.0,E. Moore makes free throw 1 of 2,,92,99
438,4,3:11.0,E. Moore makes free throw 2 of 2,,93,99
439,4,2:50.0,,W. Ellington makes 2-pt layup from 4 ft (assist by B. Adebayo),93,101
440,4,2:34.0,A. Davis makes 2-pt layup from 3 ft (assist by J. Holiday),,95,101
441,4,2:16.0,,D. Wade misses 2-pt jump shot from 18 ft,95,101
442,4,2:13.0,Defensive rebound by N. Mirotić,,95,101
443,4,2:10.0,J. Holiday misses 3-pt jump shot from 26 ft,,95,101
444,4,2:06.0,,Defensive rebound by D. Wade,95,101
445,4,1:52.0,,J. Winslow misses 2-pt hook shot from 6 ft,95,101
446,4,1:48.0,Defensive rebound by J. Holiday,,95,101
447,4,1:40.0,N. Mirotić makes 2-pt hook shot from 8 ft (assist by J. Holiday),,97,101
448,4,1:34.0,,Personal take foul by J. Holiday (drawn by J. Richardson),97,101
449,4,1:34.0,New Orleans full timeout,,97,101
450,4,1:34.0,T. Frazier enters the game for E. Moore,,97,101
451,4,1:34.0,,R. McGruder enters the game for W. Ellington,97,101
452,4,1:34.0,,K. Olynyk enters the game for J. Winslow,97,101
453,4,1:23.0,,D. Wade makes 2-pt layup from 3 ft,97,103
454,4,1:12.0,J. Holiday makes 2-pt jump shot from 3 ft,,99,103
455,4,1:12.0,Shooting foul by K. Olynyk (drawn by J. Holiday),,99,103
456,4,1:12.0,J. Holiday makes free throw 1 of 1,,100,103
457,4,0:59.0,,D. Wade misses 3-pt jump shot from 28 ft,100,103
458,4,0:57.0,Defensive rebound by N. Mirotić,,100,103
459,4,0:47.0,N. Mirotić misses 3-pt jump shot from 27 ft,,100,103
460,4,0:43.0,,Defensive rebound by J. Richardson,100,103
461,4,0:26.0,,J. Richardson makes 2-pt hook shot from 8 ft,100,105
462,4,0:26.0,New Orleans full timeout,,100,105
463,4,0:26.0,,J. Winslow enters the game for K. Olynyk,100,105
464,4,0:19.0,J. Holiday misses 2-pt jump shot from 7 ft,,100,105
465,4,0:17.0,,Defensive rebound by J. Winslow,100,105
466,4,0:17.0,,Personal foul by J. Randle (drawn by J. Winslow),100,105
467,4,0:17.0,,J. Winslow misses free throw 1 of 2,100,105
468,4,0:17.0,,Offensive rebound by Team,100,105
469,4,0:17.0,,J. Winslow makes free throw 2 of 2,100,106
470,4,0:06.0,A. Davis misses 3-pt jump shot from 26 ft,,100,106
471,4,0:06.0,Offensive rebound by T. Frazier,,100,106
472,4,0:06.0,Personal foul by B. Adebayo (drawn by J. Randle),,100,106
473,4,0:06.0,J. Randle misses free throw 1 of 2,,100,106
474,4,0:06.0,Offensive rebound by Team,,100,106
475,4,0:06.0,J. Randle makes free throw 2 of 2,,101,106
