,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
0,1,11:45.0,R. Westbrook makes 2-pt jump shot from 13 ft (assist by S. Adams),,2,0
1,1,11:28.0,,D. Gallinari makes 2-pt layup from 3 ft,2,2
2,1,11:28.0,,Shooting foul by S. Adams (drawn by D. Gallinari),2,2
3,1,11:28.0,,D. Gallinari makes free throw 1 of 1,2,3
4,1,11:19.0,Personal foul by P. Beverley (drawn by P. George),,2,3
5,1,11:07.0,T. Ferguson makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,5,3
6,1,10:48.0,,Personal foul by J. Grant (drawn by P. Beverley),5,3
7,1,10:34.0,,D. Gallinari makes 3-pt jump shot from 29 ft (assist by P. Beverley),5,6
8,1,10:13.0,S. Adams makes 2-pt layup from 2 ft,,7,6
9,1,10:01.0,,Personal foul by P. George (drawn by D. Gallinari),7,6
10,1,9:56.0,,D. Gallinari makes 3-pt jump shot from 26 ft (assist by P. Beverley),7,9
11,1,9:38.0,P. George misses 2-pt jump shot from 15 ft,,7,9
12,1,9:35.0,,Defensive rebound by S. Gilgeous-Alexander,7,9
13,1,9:27.0,,Shooting foul by S. Adams (drawn by I. Zubac),7,9
14,1,9:27.0,,I. Zubac makes free throw 1 of 2,7,10
15,1,9:27.0,Oklahoma City full timeout,,7,10
16,1,9:27.0,,I. Zubac misses free throw 2 of 2,7,10
17,1,9:24.0,,Offensive rebound by P. Beverley,7,10
18,1,9:22.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by P. Beverley),7,12
19,1,9:09.0,R. Westbrook misses 2-pt layup from 4 ft (block by I. Zubac),,7,12
20,1,9:08.0,,Defensive rebound by I. Zubac,7,12
21,1,9:08.0,,Personal foul by R. Westbrook (drawn by I. Zubac),7,12
22,1,9:08.0,,I. Zubac misses free throw 1 of 2,7,12
23,1,9:08.0,,Offensive rebound by Team,7,12
24,1,9:08.0,,I. Zubac makes free throw 2 of 2,7,13
25,1,9:00.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,10,13
26,1,8:35.0,,I. Zubac misses 2-pt hook shot from 4 ft,10,13
27,1,8:33.0,Defensive rebound by R. Westbrook,,10,13
28,1,8:25.0,J. Grant makes 2-pt jump shot from 11 ft,,12,13
29,1,8:25.0,Shooting foul by L. Shamet (drawn by J. Grant),,12,13
30,1,8:25.0,J. Grant makes free throw 1 of 1,,13,13
31,1,8:11.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,13,15
32,1,7:59.0,P. George misses 2-pt jump shot from 10 ft,,13,15
33,1,7:58.0,,Defensive rebound by I. Zubac,13,15
34,1,7:40.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by P. Beverley),13,17
35,1,7:30.0,R. Westbrook misses 2-pt layup from 2 ft,,13,17
36,1,7:27.0,,Defensive rebound by D. Gallinari,13,17
37,1,7:21.0,,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft (assist by P. Beverley),13,20
38,1,7:09.0,Turnover by P. George (out of bounds lost ball),,13,20
39,1,7:09.0,D. Schröder enters the game for J. Grant,,13,20
40,1,6:48.0,,I. Zubac misses 2-pt layup from 2 ft,13,20
41,1,6:48.0,Defensive rebound by Team,,13,20
42,1,6:48.0,,Loose ball foul by I. Zubac (drawn by T. Ferguson),13,20
43,1,6:45.0,R. Westbrook makes 2-pt layup from 2 ft,,15,20
44,1,6:45.0,Shooting foul by S. Gilgeous-Alexander (drawn by R. Westbrook),,15,20
45,1,6:45.0,R. Westbrook makes free throw 1 of 1,,16,20
46,1,6:32.0,,L. Shamet misses 3-pt jump shot from 26 ft,16,20
47,1,6:30.0,,Offensive rebound by P. Beverley,16,20
48,1,6:17.0,,Shooting foul by P. George (drawn by D. Gallinari),16,20
