,QUARTER,TIME_REMAINING,UTAH_ACTION,GOLDEN STATE_ACTION,UTAH_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,Turnover by J. Ingles (bad pass; steal by D. Cousins),,0,0
1,1,11:25.0,,D. Green misses 3-pt jump shot from 25 ft,0,0
2,1,11:23.0,Defensive rebound by R. Gobert,,0,0
3,1,11:14.0,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,0
4,1,10:49.0,,K. Thompson misses 3-pt jump shot from 25 ft,2,0
5,1,10:47.0,Defensive rebound by R. Gobert,,2,0
6,1,10:37.0,Turnover by R. Rubio (bad pass; steal by D. Green),,2,0
7,1,10:32.0,,D. Green makes 2-pt dunk from 1 ft (assist by S. Curry),2,2
8,1,10:26.0,Turnover by R. Rubio (bad pass; steal by S. Curry),,2,2
9,1,10:15.0,,S. Curry misses 3-pt jump shot from 27 ft,2,2
10,1,10:13.0,Defensive rebound by J. Ingles,,2,2
11,1,10:09.0,D. Mitchell misses 2-pt layup from 3 ft (block by K. Thompson),,2,2
12,1,10:07.0,Offensive rebound by Team,,2,2
13,1,10:05.0,D. Favors misses 2-pt layup from 3 ft (block by S. Curry),,2,2
14,1,10:04.0,Offensive rebound by Team,,2,2
15,1,9:56.0,Turnover by D. Mitchell (lost ball; steal by S. Curry),,2,2
16,1,9:52.0,,K. Durant makes 2-pt dunk from 1 ft (assist by S. Curry),2,4
17,1,9:30.0,R. Rubio misses 2-pt layup from 1 ft,,2,4
18,1,9:29.0,,Defensive rebound by K. Thompson,2,4
19,1,9:24.0,,K. Durant makes 2-pt jump shot from 17 ft (assist by K. Thompson),2,6
20,1,9:22.0,Utah full timeout,,2,6
21,1,9:08.0,D. Mitchell misses 2-pt hook shot from 11 ft,,2,6
22,1,9:07.0,,Defensive rebound by D. Cousins,2,6
23,1,8:50.0,,D. Cousins misses 2-pt jump shot from 8 ft (block by D. Favors),2,6
24,1,8:48.0,Defensive rebound by R. Rubio,,2,6
25,1,8:43.0,R. Rubio misses 3-pt jump shot from 27 ft,,2,6
26,1,8:41.0,Offensive rebound by R. Gobert,,2,6
27,1,8:36.0,R. Rubio misses 3-pt jump shot from 27 ft,,2,6
28,1,8:34.0,,Defensive rebound by K. Thompson,2,6
