,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,SACRAMENTO_ACTION,MEMPHIS_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,,D. Fox makes 2-pt jump shot from 7 ft (assist by W. Cauley-Stein),0,2
1,1,11:13.0,M. Conley misses 2-pt jump shot from 19 ft,,0,2
2,1,11:11.0,,Defensive rebound by J. Jackson,0,2
3,1,11:06.0,,B. Hield misses 2-pt layup from 5 ft (block by G. Temple),0,2
4,1,11:00.0,Defensive rebound by M. Conley,,0,2
5,1,10:57.0,G. Temple misses 2-pt layup from 3 ft (block by N. Bjelica),,0,2
6,1,10:53.0,,Defensive rebound by J. Jackson,0,2
7,1,10:52.0,,W. Cauley-Stein misses 2-pt layup from 4 ft (block by M. Gasol),0,2
8,1,10:52.0,Defensive rebound by Team,,0,2
9,1,10:42.0,Turnover by M. Conley (lost ball; steal by W. Cauley-Stein),,0,2
10,1,10:36.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft,0,4
11,1,10:16.0,K. Anderson misses 2-pt layup from 3 ft,,0,4
12,1,10:14.0,,Defensive rebound by N. Bjelica,0,4
13,1,10:10.0,,J. Jackson misses 3-pt jump shot from 26 ft,0,4
14,1,10:06.0,Defensive rebound by M. Conley,,0,4
15,1,9:54.0,J. Jackson makes 2-pt hook shot from 9 ft,,2,4
16,1,9:42.0,,Offensive foul by D. Fox (drawn by M. Conley),2,4
17,1,9:42.0,,Turnover by D. Fox (offensive foul),2,4
18,1,9:28.0,M. Conley makes 3-pt jump shot from 26 ft (assist by J. Jackson),,5,4
19,1,9:19.0,,Turnover by D. Fox (bad pass; steal by K. Anderson),5,4
20,1,9:02.0,Turnover by M. Gasol (lost ball; steal by N. Bjelica),,5,4
21,1,8:57.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),5,6
22,1,8:42.0,Turnover by G. Temple (offensive foul),,5,6
23,1,8:42.0,Offensive foul by G. Temple (drawn by B. Hield),,5,6
24,1,8:21.0,,D. Fox misses 3-pt jump shot from 26 ft,5,6
25,1,8:18.0,Defensive rebound by G. Temple,,5,6
26,1,8:10.0,M. Conley misses 2-pt layup from 1 ft,,5,6
27,1,8:07.0,Offensive rebound by J. Jackson,,5,6
28,1,8:05.0,J. Jackson makes 2-pt layup from 1 ft,,7,6
29,1,7:55.0,,Shooting foul by J. Jackson (drawn by N. Bjelica),7,6
30,1,7:55.0,,N. Bjelica makes free throw 1 of 2,7,7
31,1,7:55.0,,N. Bjelica makes free throw 2 of 2,7,8
32,1,7:41.0,J. Jackson misses 2-pt dunk from 2 ft,,7,8
33,1,7:38.0,,Defensive rebound by N. Bjelica,7,8
34,1,7:34.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by N. Bjelica),7,11
35,1,7:33.0,Memphis full timeout,,7,11
36,1,7:33.0,,M. Bagley enters the game for N. Bjelica,7,11
37,1,7:17.0,J. Jackson misses 2-pt layup from 2 ft,,7,11
38,1,7:13.0,M. Gasol makes 2-pt layup from 1 ft,,9,11
39,1,7:13.0,Offensive rebound by M. Gasol,,9,11
40,1,7:01.0,,W. Cauley-Stein misses 2-pt dunk from 3 ft,9,11
41,1,6:59.0,Defensive rebound by K. Anderson,,9,11
42,1,6:54.0,G. Temple misses 3-pt jump shot from 22 ft,,9,11
43,1,6:52.0,Offensive rebound by K. Anderson,,9,11
44,1,6:39.0,J. Jackson misses 3-pt jump shot from 27 ft,,9,11
45,1,6:36.0,,Defensive rebound by D. Fox,9,11
46,1,6:33.0,,Offensive foul by M. Bagley (drawn by J. Jackson),9,11
47,1,6:33.0,,Turnover by M. Bagley (offensive foul),9,11
48,1,6:33.0,W. Selden enters the game for G. Temple,,9,11
49,1,6:11.0,W. Selden makes 2-pt layup from 3 ft (assist by M. Conley),,11,11
50,1,5:56.0,,M. Bagley makes 2-pt hook shot from 5 ft,11,13
51,1,5:40.0,J. Jackson makes 2-pt hook shot from 7 ft,,13,13
52,1,5:28.0,,W. Cauley-Stein misses 2-pt layup from 5 ft,13,13
53,1,5:28.0,,Offensive rebound by M. Bagley,13,13
54,1,5:28.0,,Shooting foul by K. Anderson (drawn by M. Bagley),13,13
55,1,5:28.0,,M. Bagley misses free throw 1 of 2,13,13
56,1,5:28.0,,Offensive rebound by Team,13,13
57,1,5:28.0,D. Brooks enters the game for K. Anderson,,13,13
58,1,5:28.0,,Y. Ferrell enters the game for J. Jackson,13,13
59,1,5:28.0,,M. Bagley makes free throw 2 of 2,13,14
60,1,5:09.0,J. Jackson makes 2-pt hook shot from 4 ft,,15,14
61,1,5:09.0,,Violation by Team (def goaltending),15,14
62,1,4:51.0,,Y. Ferrell misses 2-pt layup from 3 ft,15,14
63,1,4:46.0,Defensive rebound by M. Gasol,,15,14
64,1,4:36.0,M. Conley misses 3-pt jump shot from 25 ft (block by D. Fox),,15,14
65,1,4:33.0,Offensive rebound by M. Conley,,15,14
66,1,4:30.0,M. Conley makes 2-pt jump shot from 12 ft,,17,14
67,1,4:25.0,,D. Fox misses 2-pt jump shot from 17 ft,17,14
68,1,4:25.0,Defensive rebound by M. Conley,,17,14
69,1,4:18.0,M. Conley misses 3-pt jump shot from 26 ft,,17,14
70,1,4:14.0,,Defensive rebound by D. Fox,17,14
71,1,4:11.0,,B. Hield misses 3-pt jump shot from 25 ft,17,14
72,1,4:08.0,,Offensive rebound by W. Cauley-Stein,17,14
73,1,4:08.0,,W. Cauley-Stein makes 2-pt jump shot from 4 ft,17,16
74,1,4:08.0,,Shooting foul by W. Selden (drawn by W. Cauley-Stein),17,16
75,1,4:08.0,O. Casspi enters the game for M. Conley,,17,16
76,1,4:08.0,S. Mack enters the game for J. Jackson,,17,16
77,1,4:08.0,,F. Mason enters the game for D. Fox,17,16
78,1,4:08.0,,W. Cauley-Stein makes free throw 1 of 1,17,17
79,1,3:49.0,M. Gasol makes 2-pt hook shot from 6 ft,,19,17
80,1,3:33.0,,Personal foul by D. Brooks (drawn by W. Cauley-Stein),19,17
81,1,3:33.0,,H. Giles enters the game for W. Cauley-Stein,19,17
82,1,3:31.0,,Offensive foul by B. Hield (drawn by D. Brooks),19,17
83,1,3:31.0,,Turnover by B. Hield (offensive foul),19,17
84,1,3:08.0,W. Selden misses 2-pt jump shot from 14 ft,,19,17
