,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DALLAS_ACTION,PHOENIX_SCORE,DALLAS_SCORE
114,1,0:01.0,,Turnover by D. Nowitzki (lost ball; steal by R. Spalding),18,33
115,2,11:49.0,,D. Harris misses 2-pt layup from 6 ft (block by R. Spalding),18,33
116,2,11:46.0,,Offensive rebound by D. Harris,18,33
117,2,11:44.0,,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by D. Harris),18,36
118,2,11:25.0,J. Crawford makes 3-pt jump shot from 24 ft,,21,36
119,2,11:02.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,21,36
120,2,10:59.0,Defensive rebound by J. Crawford,,21,36
121,2,10:56.0,J. Crawford misses 3-pt jump shot from 25 ft,,21,36
122,2,10:56.0,Offensive rebound by M. Bridges,,21,36
123,2,10:44.0,Turnover by D. Melton (bad pass),,21,36
124,2,10:35.0,,Offensive foul by D. Powell (drawn by D. Melton),21,36
125,2,10:35.0,,Turnover by D. Powell (offensive foul),21,36
126,2,10:26.0,J. Crawford makes 2-pt jump shot from 16 ft,,23,36
127,2,10:06.0,,Turnover by D. Nowitzki (lost ball; steal by R. Spalding),23,36
128,2,10:03.0,Turnover by R. Spalding (out of bounds lost ball),,23,36
129,2,9:43.0,,D. Harris makes 3-pt jump shot from 26 ft (assist by J. Brunson),23,39
130,2,9:24.0,Offensive foul by J. Crawford (drawn by R. Broekhoff),,23,39
131,2,9:24.0,Turnover by J. Crawford (offensive foul),,23,39
132,2,9:24.0,J. Jackson enters the game for T. Daniels,,23,39
133,2,9:15.0,,Personal foul by J. Crawford (drawn by J. Brunson),23,39
134,2,9:15.0,Technical foul by J. Crawford,,23,39
135,2,9:15.0,,D. Nowitzki makes technical free throw,23,40
136,2,9:05.0,,D. Harris misses 3-pt jump shot from 24 ft,23,40
137,2,9:03.0,,Offensive rebound by D. Powell,23,40
138,2,9:03.0,,Shooting foul by R. Spalding (drawn by D. Powell),23,40
139,2,9:03.0,,D. Powell makes free throw 1 of 2,23,41
140,2,9:03.0,D. Bender enters the game for R. Spalding,,23,41
141,2,9:03.0,,D. Powell misses free throw 2 of 2,23,41
142,2,9:00.0,Defensive rebound by D. Bender,,23,41
143,2,8:53.0,Personal foul by J. Brunson (drawn by D. Melton),,23,41
144,2,8:46.0,J. Jackson misses 3-pt jump shot from 26 ft,,23,41
145,2,8:43.0,Offensive rebound by D. Bender,,23,41
146,2,8:42.0,Shooting foul by D. Powell (drawn by J. Jackson),,23,41
147,2,8:42.0,J. Jackson makes free throw 1 of 2,,24,41
148,2,8:42.0,,M. Kleber enters the game for D. Powell,24,41
149,2,8:42.0,J. Jackson makes free throw 2 of 2,,25,41
150,2,8:27.0,,J. Brunson makes 2-pt layup from 1 ft,25,43
151,2,8:20.0,D. Melton misses 2-pt layup from 1 ft,,25,43
152,2,8:18.0,,Defensive rebound by M. Kleber,25,43
153,2,8:08.0,,D. Harris makes 2-pt layup from 1 ft,25,45
154,2,8:07.0,Phoenix full timeout,,25,45
155,2,8:07.0,,T. Burke enters the game for D. Harris,25,45
156,2,8:07.0,,D. Finney-Smith enters the game for D. Nowitzki,25,45
157,2,7:53.0,Personal foul by D. Finney-Smith (drawn by D. Bender),,25,45
158,2,7:43.0,Turnover by J. Crawford (bad pass; steal by D. Finney-Smith),,25,45
159,2,7:23.0,,R. Broekhoff misses 3-pt jump shot from 26 ft,25,45
160,2,7:22.0,,Offensive rebound by Team,25,45
161,2,7:22.0,E. Okobo enters the game for J. Crawford,,25,45
162,2,7:18.0,,T. Burke makes 3-pt jump shot from 23 ft (assist by M. Kleber),25,48
163,2,7:02.0,J. Jackson misses 2-pt jump shot from 7 ft,,25,48
164,2,7:01.0,Offensive rebound by J. Jackson,,25,48
165,2,7:01.0,J. Jackson misses 2-pt layup at rim,,25,48
166,2,7:00.0,Offensive rebound by Team,,25,48
167,2,7:00.0,,L. Dončić enters the game for J. Brunson,25,48
168,2,6:58.0,Shooting foul by M. Kleber (drawn by D. Bender),,25,48
169,2,6:58.0,D. Bender makes free throw 1 of 2,,26,48
170,2,6:58.0,,D. Nowitzki enters the game for M. Kleber,26,48
171,2,6:58.0,D. Bender makes free throw 2 of 2,,27,48
172,2,6:46.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,27,48
173,2,6:43.0,Defensive rebound by D. Melton,,27,48
174,2,6:37.0,Turnover by J. Jackson (bad pass; steal by R. Broekhoff),,27,48
175,2,6:32.0,,Turnover by R. Broekhoff (bad pass; steal by D. Melton),27,48
176,2,6:29.0,D. Melton makes 2-pt layup from 1 ft,,29,48
177,2,6:15.0,,Turnover by R. Broekhoff (step out of bounds),29,48
178,2,6:06.0,Offensive foul by D. Bender (drawn by R. Broekhoff),,29,48
179,2,6:06.0,Turnover by D. Bender (offensive foul),,29,48
180,2,5:53.0,,Turnover by R. Broekhoff (lost ball; steal by D. Melton),29,48
181,2,5:49.0,Turnover by D. Melton (bad pass; steal by L. Dončić),,29,48
182,2,5:46.0,,L. Dončić makes 2-pt layup from 1 ft,29,50
183,2,5:38.0,D. Bender misses 3-pt jump shot from 25 ft,,29,50
184,2,5:35.0,,Defensive rebound by D. Finney-Smith,29,50
185,2,5:29.0,,Turnover by D. Finney-Smith (palming),29,50
186,2,5:29.0,J. Crawford enters the game for D. Melton,,29,50
187,2,5:29.0,,J. Jackson enters the game for R. Broekhoff,29,50
188,2,5:17.0,M. Bridges misses 3-pt jump shot from 24 ft,,29,50
189,2,5:14.0,,Defensive rebound by T. Burke,29,50
190,2,5:01.0,,D. Nowitzki makes 2-pt jump shot from 11 ft (assist by D. Finney-Smith),29,52
191,2,4:53.0,J. Crawford makes 2-pt layup from 2 ft,,31,52
192,2,4:46.0,,D. Finney-Smith misses 2-pt layup from 4 ft (block by J. Jackson),31,52
193,2,4:43.0,,Offensive rebound by D. Finney-Smith,31,52
194,2,4:41.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Finney-Smith),31,55
195,2,4:25.0,J. Jackson misses 3-pt jump shot from 23 ft,,31,55
196,2,4:24.0,Offensive rebound by D. Bender,,31,55
197,2,4:24.0,Shooting foul by D. Nowitzki (drawn by D. Bender),,31,55
198,2,4:24.0,D. Bender makes free throw 1 of 2,,32,55
199,2,4:24.0,D. Bender misses free throw 2 of 2,,32,55
200,2,4:23.0,,Defensive rebound by D. Nowitzki,32,55
201,2,4:23.0,,Dallas full timeout,32,55
202,2,4:07.0,,D. Nowitzki misses 2-pt jump shot from 17 ft,32,55
203,2,4:05.0,,Offensive rebound by D. Finney-Smith,32,55
204,2,4:01.0,,T. Burke makes 3-pt jump shot from 25 ft,32,58
205,2,3:43.0,J. Jackson makes 2-pt jump shot from 7 ft (assist by D. Bender),,34,58
206,2,3:34.0,,Turnover by L. Dončić (bad pass; steal by M. Bridges),34,58
207,2,3:33.0,Personal take foul by D. Nowitzki (drawn by M. Bridges),,34,58
208,2,3:33.0,M. Bridges makes free throw 1 of 2,,35,58
209,2,3:33.0,,M. Kleber enters the game for D. Nowitzki,35,58
210,2,3:33.0,M. Bridges makes free throw 2 of 2,,36,58
211,2,3:16.0,,L. Dončić misses 3-pt jump shot from 26 ft,36,58
212,2,3:13.0,,Offensive rebound by D. Finney-Smith,36,58
213,2,3:11.0,,D. Finney-Smith makes 2-pt dunk from 1 ft,36,60
214,2,3:02.0,J. Crawford misses 2-pt jump shot from 20 ft,,36,60
215,2,2:59.0,,Defensive rebound by L. Dončić,36,60
216,2,2:55.0,,L. Dončić misses 2-pt layup from 10 ft (block by J. Crawford),36,60
217,2,2:52.0,Defensive rebound by J. Crawford,,36,60
218,2,2:44.0,D. Bender misses 2-pt layup from 1 ft,,36,60
219,2,2:41.0,,Defensive rebound by M. Kleber,36,60
220,2,2:32.0,,M. Kleber makes 3-pt jump shot from 25 ft (assist by L. Dončić),36,63
221,2,2:13.0,J. Crawford misses 3-pt jump shot from 25 ft,,36,63
222,2,2:10.0,,Defensive rebound by L. Dončić,36,63
223,2,2:04.0,,J. Jackson makes 2-pt layup from 2 ft (assist by L. Dončić),36,65
224,2,2:04.0,Phoenix full timeout,,36,65
225,2,2:04.0,R. Spalding enters the game for D. Bender,,36,65
226,2,2:04.0,,D. Nowitzki enters the game for D. Finney-Smith,36,65
227,2,1:54.0,J. Crawford misses 2-pt layup from 3 ft,,36,65
228,2,1:52.0,Offensive rebound by R. Spalding,,36,65
229,2,1:51.0,R. Spalding misses 2-pt dunk at rim,,36,65
230,2,1:50.0,Offensive rebound by Team,,36,65
231,2,1:42.0,J. Crawford misses 2-pt jump shot from 18 ft,,36,65
232,2,1:39.0,,Defensive rebound by L. Dončić,36,65
233,2,1:17.0,,L. Dončić makes 2-pt jump shot from 20 ft (assist by D. Nowitzki),36,67
234,2,1:17.0,,Shooting foul by J. Jackson (drawn by L. Dončić),36,67
235,2,1:17.0,,L. Dončić makes free throw 1 of 1,36,68
236,2,1:04.0,J. Jackson makes 2-pt jump shot from 5 ft (assist by J. Crawford),,38,68
237,2,0:44.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,38,68
238,2,0:42.0,Defensive rebound by E. Okobo,,38,68
239,2,0:35.0,R. Spalding misses 2-pt layup from 4 ft (block by D. Nowitzki),,38,68
240,2,0:34.0,,Defensive rebound by Team,38,68
241,2,0:31.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,38,68
242,2,0:28.0,Defensive rebound by J. Crawford,,38,68
243,2,0:08.0,Personal foul by T. Burke (drawn by R. Spalding),,38,68
244,2,0:08.0,R. Spalding misses free throw 1 of 2,,38,68
245,2,0:08.0,Offensive rebound by Team,,38,68
246,2,0:08.0,D. Melton enters the game for J. Crawford,,38,68
247,2,0:08.0,R. Spalding misses free throw 2 of 2,,38,68
248,2,0:06.0,,Defensive rebound by L. Dončić,38,68
249,2,0:01.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,38,68
250,2,0:00.0,,Offensive rebound by M. Kleber,38,68
251,3,11:49.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,38,68
252,3,11:47.0,Defensive rebound by Team,,38,68
253,3,11:32.0,E. Okobo makes 3-pt jump shot from 25 ft,,41,68
254,3,11:15.0,,Turnover by J. Jackson (bad pass; steal by D. Bender),41,68
255,3,11:12.0,E. Okobo makes 3-pt jump shot from 25 ft (assist by D. Bender),,44,68
256,3,10:57.0,,D. Powell misses 3-pt jump shot from 25 ft,44,68
257,3,10:55.0,,Offensive rebound by D. Powell,44,68
258,3,10:53.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Powell),44,71
259,3,10:36.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by R. Spalding),,47,71
260,3,10:19.0,,Shooting foul by E. Okobo (drawn by D. Harris),47,71
261,3,10:19.0,,D. Harris makes free throw 1 of 3,47,72
262,3,10:19.0,,D. Harris makes free throw 2 of 3,47,73
263,3,10:19.0,J. Crawford enters the game for R. Spalding,,47,73
264,3,10:19.0,,D. Harris makes free throw 3 of 3,47,74
265,3,10:01.0,E. Okobo misses 2-pt jump shot from 16 ft,,47,74
266,3,9:58.0,,Defensive rebound by L. Dončić,47,74
267,3,9:38.0,,D. Nowitzki misses 2-pt jump shot from 9 ft,47,74
268,3,9:35.0,,Offensive rebound by L. Dončić,47,74
269,3,9:33.0,,L. Dončić misses 2-pt layup at rim,47,74
270,3,9:31.0,,Offensive rebound by L. Dončić,47,74
271,3,9:31.0,,L. Dončić makes 2-pt layup at rim,47,76
272,3,9:28.0,J. Jackson misses 2-pt layup from 5 ft (block by D. Powell),,47,76
273,3,9:25.0,,Defensive rebound by L. Dončić,47,76
274,3,9:15.0,,D. Nowitzki makes 2-pt dunk at rim (assist by D. Powell),47,78
275,3,8:55.0,J. Crawford makes 2-pt jump shot from 11 ft,,49,78
276,3,8:39.0,,D. Nowitzki makes 2-pt jump shot from 13 ft (assist by L. Dončić),49,80
277,3,8:27.0,D. Bender misses 3-pt jump shot from 26 ft,,49,80
278,3,8:22.0,,Defensive rebound by L. Dončić,49,80
279,3,8:17.0,,D. Nowitzki misses 3-pt jump shot from 26 ft,49,80
280,3,8:13.0,,Offensive rebound by D. Powell,49,80
281,3,8:06.0,,Turnover by L. Dončić (bad pass; steal by E. Okobo),49,80
282,3,8:06.0,Personal take foul by D. Nowitzki (drawn by E. Okobo),,49,80
283,3,7:51.0,J. Crawford makes 2-pt jump shot from 13 ft,,51,80
284,3,7:34.0,,Turnover by D. Harris (traveling),51,80
285,3,7:24.0,J. Jackson misses 3-pt jump shot from 25 ft,,51,80
286,3,7:20.0,,Defensive rebound by D. Harris,51,80
287,3,7:10.0,,Personal foul by D. Bender (drawn by D. Nowitzki),51,80
288,3,6:57.0,,L. Dončić misses 2-pt jump shot from 8 ft,51,80
289,3,6:55.0,Defensive rebound by D. Bender,,51,80
290,3,6:47.0,J. Jackson misses 3-pt jump shot from 25 ft,,51,80
291,3,6:45.0,,Defensive rebound by D. Powell,51,80
292,3,6:45.0,,Dallas full timeout,51,80
293,3,6:45.0,,J. Brunson enters the game for D. Harris,51,80
294,3,6:45.0,,D. Finney-Smith enters the game for D. Nowitzki,51,80
295,3,6:45.0,,M. Kleber enters the game for D. Powell,51,80
296,3,6:33.0,,Turnover by M. Kleber (bad pass; steal by J. Crawford),51,80
297,3,6:29.0,D. Bender makes 2-pt dunk at rim (assist by J. Crawford),,53,80
298,3,6:14.0,,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Dončić),53,83
299,3,5:54.0,Shooting foul by L. Dončić (drawn by J. Crawford),,53,83
300,3,5:54.0,Technical foul by J. Jackson,,53,83
301,3,5:54.0,,L. Dončić makes technical free throw,53,84
302,3,5:54.0,J. Crawford makes free throw 1 of 3,,54,84
303,3,5:54.0,J. Crawford makes free throw 2 of 3,,55,84
304,3,5:54.0,J. Crawford makes free throw 3 of 3,,56,84
305,3,5:47.0,,Offensive foul by M. Kleber (drawn by J. Jackson),56,84
306,3,5:47.0,,Turnover by M. Kleber (offensive foul),56,84
307,3,5:34.0,M. Bridges makes 2-pt layup at rim (assist by D. Bender),,58,84
308,3,5:21.0,,D. Finney-Smith makes 2-pt jump shot from 21 ft,58,86
309,3,5:08.0,J. Jackson makes 3-pt jump shot from 25 ft (assist by D. Bender),,61,86
310,3,4:53.0,,Turnover by L. Dončić (bad pass; steal by E. Okobo),61,86
311,3,4:47.0,Turnover by E. Okobo (bad pass; steal by J. Jackson),,61,86
312,3,4:47.0,,Personal take foul by E. Okobo (drawn by J. Jackson),61,86
313,3,4:47.0,,D. Harris enters the game for L. Dončić,61,86
314,3,4:47.0,,D. Nowitzki enters the game for J. Jackson,61,86
315,3,4:35.0,,Turnover by D. Harris (lost ball; steal by M. Bridges),61,86
316,3,4:33.0,M. Bridges makes 2-pt layup from 1 ft,,63,86
317,3,4:33.0,Shooting foul by D. Harris (drawn by M. Bridges),,63,86
318,3,4:33.0,M. Bridges misses free throw 1 of 1,,63,86
319,3,4:30.0,,Defensive rebound by M. Kleber,63,86
320,3,4:09.0,,D. Finney-Smith makes 2-pt layup from 1 ft (assist by D. Nowitzki),63,88
321,3,4:01.0,J. Crawford makes 3-pt jump shot from 25 ft (assist by E. Okobo),,66,88
322,3,3:42.0,,D. Finney-Smith makes 2-pt dunk at rim (assist by J. Brunson),66,90
323,3,3:24.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Bender),,68,90
324,3,3:07.0,,J. Brunson misses 2-pt layup from 4 ft (block by D. Bender),68,90
325,3,3:07.0,,Offensive rebound by Team,68,90
326,3,3:07.0,D. Melton enters the game for J. Jackson,,68,90
327,3,3:00.0,,D. Harris misses 2-pt hook shot from 11 ft,68,90
328,3,2:59.0,,Offensive rebound by D. Finney-Smith,68,90
329,3,2:58.0,,Turnover by Team (shot clock),68,90
330,3,2:58.0,Phoenix full timeout,,68,90
331,3,2:37.0,M. Bridges makes 2-pt layup from 1 ft,,70,90
332,3,2:20.0,,J. Brunson makes 2-pt dunk from 1 ft,70,92
333,3,2:08.0,J. Crawford makes 2-pt jump shot from 15 ft,,72,92
334,3,2:08.0,Shooting foul by J. Brunson (drawn by J. Crawford),,72,92
335,3,2:08.0,,D. Powell enters the game for M. Kleber,72,92
336,3,2:08.0,J. Crawford makes free throw 1 of 1,,73,92
337,3,1:56.0,,D. Harris misses 2-pt layup from 1 ft,73,92
338,3,1:53.0,Defensive rebound by D. Bender,,73,92
339,3,1:49.0,D. Melton makes 2-pt layup from 4 ft (assist by J. Crawford),,75,92
340,3,1:49.0,Shooting foul by D. Powell (drawn by D. Melton),,75,92
341,3,1:49.0,D. Melton misses free throw 1 of 1,,75,92
342,3,1:45.0,,Defensive rebound by D. Finney-Smith,75,92
343,3,1:39.0,,D. Powell makes 2-pt dunk from 1 ft (assist by D. Harris),75,94
344,3,1:39.0,,Shooting foul by D. Bender (drawn by D. Powell),75,94
345,3,1:39.0,R. Spalding enters the game for D. Bender,,75,94
346,3,1:39.0,,D. Powell makes free throw 1 of 1,75,95
347,3,1:22.0,D. Melton misses 2-pt hook shot from 7 ft,,75,95
348,3,1:20.0,,Defensive rebound by D. Harris,75,95
349,3,1:19.0,,Turnover by D. Harris (lost ball; steal by D. Melton),75,95
350,3,1:19.0,Personal foul by D. Harris (drawn by D. Melton),,75,95
351,3,1:19.0,D. Melton makes free throw 1 of 2,,76,95
352,3,1:19.0,J. Fredette enters the game for M. Bridges,,76,95
353,3,1:19.0,J. Jackson enters the game for E. Okobo,,76,95
354,3,1:19.0,D. Melton makes free throw 2 of 2,,77,95
355,3,1:04.0,,D. Harris misses 2-pt layup from 6 ft,77,95
356,3,1:01.0,Defensive rebound by R. Spalding,,77,95
357,3,0:57.0,J. Jackson misses 3-pt jump shot from 26 ft,,77,95
358,3,0:55.0,,Defensive rebound by J. Brunson,77,95
359,3,0:37.0,,D. Nowitzki misses 2-pt jump shot from 6 ft (block by R. Spalding),77,95
360,3,0:35.0,,Offensive rebound by D. Nowitzki,77,95
361,3,0:35.0,,Personal foul by D. Melton (drawn by D. Powell),77,95
362,3,0:35.0,,D. Powell makes free throw 1 of 2,77,96
363,3,0:35.0,,R. Broekhoff enters the game for D. Nowitzki,77,96
364,3,0:35.0,,D. Powell misses free throw 2 of 2,77,96
365,3,0:33.0,Defensive rebound by D. Melton,,77,96
366,3,0:14.0,R. Spalding makes 2-pt dunk at rim (assist by J. Fredette),,79,96
367,3,0:02.0,,D. Powell makes 2-pt hook shot from 5 ft,79,98
368,3,0:01.0,J. Fredette misses 3-pt jump shot from 56 ft,,79,98
369,3,0:01.0,Offensive rebound by Team,,79,98
370,4,11:49.0,R. Spalding misses 2-pt hook shot from 4 ft,,79,98
371,4,11:47.0,,Defensive rebound by D. Powell,79,98
372,4,11:32.0,,R. Broekhoff misses 2-pt jump shot from 11 ft,79,98
373,4,11:29.0,,Offensive rebound by D. Finney-Smith,79,98
374,4,11:26.0,,Shooting foul by R. Spalding (drawn by J. Brunson),79,98
375,4,11:26.0,,J. Brunson makes free throw 1 of 2,79,99
376,4,11:26.0,,J. Brunson misses free throw 2 of 2,79,99
377,4,11:23.0,Defensive rebound by R. Spalding,,79,99
378,4,11:04.0,J. Crawford makes 2-pt layup from 1 ft (assist by J. Fredette),,81,99
379,4,10:49.0,,D. Powell makes 2-pt layup from 1 ft (assist by T. Burke),81,101
