,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
388,4,5:14.0,,Defensive rebound by M. Conley,95,89
389,4,5:08.0,,M. Gasol misses 3-pt jump shot from 26 ft,95,89
390,4,5:04.0,Defensive rebound by S. Dinwiddie,,95,89
391,4,4:59.0,S. Dinwiddie misses 2-pt layup from 2 ft,,95,89
392,4,4:54.0,Offensive rebound by J. Allen,,95,89
393,4,4:54.0,J. Allen makes 2-pt layup from 1 ft,,97,89
394,4,4:44.0,,M. Conley misses 2-pt layup from 1 ft,97,89
395,4,4:41.0,Defensive rebound by S. Dinwiddie,,97,89
396,4,4:38.0,J. Allen misses 2-pt layup from 3 ft,,97,89
397,4,4:34.0,,Defensive rebound by G. Temple,97,89
398,4,4:28.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),97,91
399,4,4:28.0,,Shooting foul by J. Allen (drawn by K. Anderson),97,91
400,4,4:28.0,D. Russell enters the game for D. Carroll,,97,91
401,4,4:28.0,Brooklyn full timeout,,97,91
402,4,4:28.0,,Memphis full timeout,97,91
403,4,4:28.0,,K. Anderson makes free throw 1 of 1,97,92
404,4,4:20.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,99,92
405,4,4:20.0,Shooting foul by J. Jackson (drawn by J. Harris),,99,92
406,4,4:20.0,J. Harris makes free throw 1 of 1,,100,92
407,4,4:08.0,,Personal foul by S. Dinwiddie (drawn by M. Conley),100,92
408,4,4:08.0,,M. Conley makes free throw 1 of 2,100,93
409,4,4:08.0,,M. Conley makes free throw 2 of 2,100,94
410,4,3:56.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,102,94
411,4,3:41.0,,K. Anderson misses 3-pt jump shot from 23 ft,102,94
412,4,3:38.0,Defensive rebound by J. Allen,,102,94
413,4,3:20.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,104,94
414,4,3:20.0,,Memphis full timeout,104,94
415,4,3:09.0,,M. Conley misses 3-pt jump shot from 26 ft,104,94
416,4,3:06.0,Defensive rebound by J. Allen,,104,94
417,4,2:51.0,Personal foul by M. Gasol (drawn by D. Russell),,104,94
418,4,2:51.0,D. Russell makes free throw 1 of 2,,105,94
419,4,2:51.0,D. Russell makes free throw 2 of 2,,106,94
420,4,2:44.0,,M. Conley misses 2-pt layup from 2 ft,106,94
421,4,2:42.0,Defensive rebound by J. Harris,,106,94
422,4,2:40.0,Turnover by J. Harris (lost ball; steal by M. Conley),,106,94
423,4,2:37.0,,G. Temple misses 3-pt jump shot from 25 ft,106,94
424,4,2:34.0,Defensive rebound by J. Allen,,106,94
425,4,2:15.0,D. Russell misses 3-pt jump shot from 27 ft,,106,94
426,4,2:13.0,,Defensive rebound by M. Gasol,106,94
427,4,2:07.0,,M. Gasol makes 2-pt layup from 1 ft,106,96
428,4,2:07.0,,Shooting foul by J. Harris (drawn by M. Gasol),106,96
429,4,2:07.0,,M. Gasol misses free throw 1 of 1,106,96
430,4,2:05.0,Defensive rebound by J. Allen,,106,96
431,4,1:44.0,J. Harris misses 3-pt jump shot from 23 ft,,106,96
432,4,1:42.0,Offensive rebound by J. Allen,,106,96
433,4,1:30.0,J. Allen misses 2-pt hook shot from 6 ft,,106,96
434,4,1:26.0,,Defensive rebound by K. Anderson,106,96
435,4,1:23.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by K. Anderson),106,98
436,4,1:01.0,Turnover by J. Harris (bad pass; steal by G. Temple),,106,98
437,4,0:53.0,,K. Anderson makes 2-pt layup from 1 ft (assist by J. Jackson),106,100
438,4,0:46.0,Brooklyn full timeout,,106,100
439,4,0:46.0,S. Napier enters the game for J. Allen,,106,100
440,4,0:44.0,S. Dinwiddie makes 2-pt layup from 2 ft (assist by J. Harris),,108,100
441,4,0:37.0,,G. Temple misses 3-pt jump shot from 24 ft,108,100
442,4,0:37.0,Defensive rebound by Team,,108,100
443,4,0:35.0,Brooklyn full timeout,,108,100
444,4,0:22.0,Personal take foul by J. Jackson (drawn by S. Dinwiddie),,108,100
445,4,0:22.0,S. Dinwiddie misses free throw 1 of 2,,108,100
446,4,0:22.0,Offensive rebound by Team,,108,100
447,4,0:22.0,S. Dinwiddie makes free throw 2 of 2,,109,100
448,4,0:22.0,,Memphis full timeout,109,100
449,4,0:22.0,D. Carroll enters the game for D. Russell,,109,100
450,4,0:20.0,,M. Conley misses 3-pt jump shot from 26 ft,109,100
451,4,0:16.0,Defensive rebound by S. Napier,,109,100
