,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,WASHINGTON_ACTION,PHILADELPHIA_SCORE,WASHINGTON_SCORE
387,4,10:10.0,Defensive rebound by J. Embiid,,81,96
388,4,10:04.0,F. Korkmaz misses 3-pt jump shot from 26 ft,,81,96
389,4,10:01.0,,Defensive rebound by I. Mahinmi,81,96
390,4,9:55.0,,O. Porter misses 2-pt jump shot from 3 ft (block by J. Embiid),81,96
391,4,9:55.0,,Offensive rebound by Team,81,96
392,4,9:55.0,J. Butler enters the game for L. Shamet,,81,96
393,4,9:52.0,,O. Porter makes 2-pt jump shot from 21 ft (assist by J. Green),81,98
394,4,9:41.0,Turnover by J. Butler (lost ball; steal by O. Porter),,81,98
395,4,9:31.0,,O. Porter makes 2-pt jump shot from 6 ft,81,100
396,4,9:30.0,Philadelphia full timeout,,81,100
397,4,9:18.0,Turnover by J. Embiid (lost ball; steal by I. Mahinmi),,81,100
398,4,9:01.0,,Turnover by J. Green (lost ball; steal by J. Embiid),81,100
399,4,8:56.0,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by J. Butler),,84,100
400,4,8:31.0,,J. Green misses 2-pt jump shot from 16 ft,84,100
401,4,8:31.0,Defensive rebound by J. Embiid,,84,100
402,4,8:21.0,J. Butler misses 2-pt jump shot from 4 ft,,84,100
403,4,8:20.0,Offensive rebound by J. Butler,,84,100
404,4,8:17.0,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),,86,100
405,4,8:17.0,,Washington full timeout,86,100
406,4,8:17.0,,B. Beal enters the game for S. Dekker,86,100
407,4,8:17.0,,T. Satoranský enters the game for C. Randle,86,100
408,4,8:05.0,,Personal foul by F. Korkmaz (drawn by T. Satoranský),86,100
409,4,8:00.0,,O. Porter misses 2-pt layup from 4 ft (block by J. Embiid),86,100
410,4,7:56.0,,Offensive rebound by I. Mahinmi,86,100
411,4,7:56.0,,I. Mahinmi makes 2-pt layup from 2 ft,86,102
412,4,7:43.0,J. Butler makes 2-pt jump shot from 2 ft,,88,102
413,4,7:19.0,,T. Satoranský misses 2-pt jump shot from 13 ft,88,102
414,4,7:16.0,Defensive rebound by J. Butler,,88,102
415,4,7:11.0,F. Korkmaz misses 2-pt jump shot from 16 ft,,88,102
416,4,7:06.0,Offensive rebound by J. Butler,,88,102
417,4,7:06.0,J. Butler misses 2-pt layup at rim,,88,102
418,4,7:05.0,Offensive rebound by J. Butler,,88,102
419,4,7:04.0,Offensive foul by J. Embiid (drawn by B. Beal),,88,102
420,4,7:04.0,Turnover by J. Embiid (offensive foul),,88,102
421,4,6:50.0,,B. Beal misses 2-pt jump shot from 18 ft,88,102
422,4,6:47.0,Defensive rebound by J. Embiid,,88,102
423,4,6:42.0,Shooting foul by B. Beal (drawn by J. Butler),,88,102
424,4,6:42.0,W. Chandler enters the game for F. Korkmaz,,88,102
425,4,6:42.0,L. Shamet enters the game for T. McConnell,,88,102
426,4,6:42.0,J. Butler makes free throw 1 of 2,,89,102
427,4,6:42.0,J. Butler makes free throw 2 of 2,,90,102
428,4,6:29.0,,B. Beal makes 2-pt layup from 4 ft,90,104
429,4,6:24.0,L. Shamet misses 3-pt jump shot from 23 ft,,90,104
430,4,6:20.0,,Defensive rebound by I. Mahinmi,90,104
431,4,6:19.0,,B. Beal makes 2-pt dunk from 2 ft (assist by T. Satoranský),90,106
432,4,6:17.0,Philadelphia full timeout,,90,106
433,4,6:17.0,,T. Ariza enters the game for J. Green,90,106
434,4,6:01.0,Turnover by L. Shamet (bad pass; steal by I. Mahinmi),,90,106
435,4,5:56.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Satoranský),90,108
436,4,5:48.0,Shooting foul by T. Satoranský (drawn by J. Butler),,90,108
437,4,5:48.0,J. Butler makes free throw 1 of 2,,91,108
438,4,5:48.0,J. Butler makes free throw 2 of 2,,92,108
439,4,5:28.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by T. Satoranský),92,111
440,4,5:10.0,Turnover by J. Embiid (lost ball; steal by O. Porter),,92,111
441,4,4:45.0,,O. Porter misses 2-pt layup from 3 ft,92,111
442,4,4:42.0,Defensive rebound by B. Simmons,,92,111
443,4,4:38.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by B. Simmons),,95,111
444,4,4:36.0,,Washington full timeout,95,111
445,4,4:22.0,,B. Beal makes 2-pt jump shot from 17 ft (assist by T. Satoranský),95,113
446,4,3:58.0,W. Chandler misses 2-pt jump shot from 5 ft,,95,113
447,4,3:55.0,,Defensive rebound by T. Satoranský,95,113
448,4,3:37.0,,B. Beal makes 3-pt jump shot from 27 ft (assist by T. Satoranský),95,116
449,4,3:29.0,Philadelphia full timeout,,95,116
450,4,3:29.0,J. Bolden enters the game for J. Butler,,95,116
451,4,3:29.0,F. Korkmaz enters the game for W. Chandler,,95,116
452,4,3:29.0,T. McConnell enters the game for J. Embiid,,95,116
453,4,3:29.0,S. Milton enters the game for L. Shamet,,95,116
454,4,3:29.0,M. Muscala enters the game for B. Simmons,,95,116
455,4,3:14.0,Turnover by M. Muscala (lost ball; steal by T. Satoranský),,95,116
456,4,2:56.0,,Turnover by O. Porter (bad pass; steal by J. Bolden),95,116
457,4,2:35.0,Turnover by S. Milton (bad pass),,95,116
458,4,2:35.0,,Washington full timeout,95,116
459,4,2:35.0,,T. Brown enters the game for T. Ariza,95,116
460,4,2:35.0,,S. Dekker enters the game for B. Beal,95,116
461,4,2:35.0,,J. McRae enters the game for I. Mahinmi,95,116
462,4,2:35.0,,C. Randle enters the game for O. Porter,95,116
463,4,2:35.0,,D. Robinson enters the game for T. Satoranský,95,116
464,4,2:21.0,,D. Robinson misses 2-pt jump shot from 20 ft,95,116
465,4,2:19.0,Defensive rebound by J. Bolden,,95,116
466,4,2:11.0,S. Milton makes 2-pt jump shot from 13 ft (assist by T. McConnell),,97,116
467,4,1:52.0,,T. Brown makes 2-pt jump shot from 20 ft,97,118
468,4,1:31.0,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by T. McConnell),,100,118
469,4,1:20.0,,S. Dekker makes 3-pt jump shot from 26 ft (assist by D. Robinson),100,121
470,4,1:08.0,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by T. McConnell),,103,121
471,4,0:54.0,,D. Robinson makes 2-pt dunk from 1 ft (assist by T. Brown),103,123
472,4,0:41.0,F. Korkmaz makes 3-pt jump shot from 25 ft (assist by T. McConnell),,106,123
473,4,0:31.0,,Turnover by T. Brown (lost ball; steal by T. McConnell),106,123
474,4,0:26.0,Turnover by J. Bolden (bad pass),,106,123
475,4,0:02.0,,Turnover by Team (shot clock),106,123
