,QUARTER,TIME_REMAINING,BOSTON_ACTION,WASHINGTON_ACTION,BOSTON_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,T. Bryant makes 2-pt jump shot from 16 ft (assist by T. Brown),0,2
1,1,11:19.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by S. Ojeleye),,3,2
2,1,10:59.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by T. Satoranský),3,4
3,1,10:45.0,S. Ojeleye misses 2-pt jump shot from 2 ft,,3,4
4,1,10:43.0,,Defensive rebound by B. Portis,3,4
5,1,10:36.0,,B. Beal makes 2-pt layup from 2 ft (assist by T. Brown),3,6
6,1,10:23.0,J. Brown makes 2-pt layup at rim (assist by T. Rozier),,5,6
7,1,10:04.0,,B. Beal misses 2-pt jump shot from 23 ft,5,6
8,1,10:01.0,Defensive rebound by R. Williams,,5,6
9,1,9:56.0,G. Yabusele misses 3-pt jump shot from 25 ft,,5,6
10,1,9:53.0,Offensive rebound by R. Williams,,5,6
11,1,9:52.0,J. Brown misses 3-pt jump shot from 26 ft,,5,6
12,1,9:47.0,,Defensive rebound by B. Portis,5,6
13,1,9:41.0,,T. Satoranský misses 2-pt jump shot from 9 ft,5,6
14,1,9:39.0,Defensive rebound by G. Yabusele,,5,6
15,1,9:31.0,T. Rozier makes 2-pt jump shot from 9 ft,,7,6
16,1,9:15.0,,T. Brown misses 2-pt jump shot from 16 ft,7,6
17,1,9:12.0,Defensive rebound by T. Rozier,,7,6
18,1,9:07.0,T. Rozier misses 3-pt jump shot from 25 ft,,7,6
19,1,9:03.0,,Defensive rebound by T. Brown,7,6
20,1,8:58.0,,T. Bryant makes 2-pt dunk from 2 ft (assist by B. Beal),7,8
21,1,8:37.0,J. Brown misses 2-pt layup from 1 ft,,7,8
22,1,8:35.0,,Defensive rebound by T. Bryant,7,8
23,1,8:28.0,,B. Portis misses 2-pt jump shot from 18 ft,7,8
24,1,8:26.0,,Offensive rebound by B. Beal,7,8
25,1,8:25.0,,B. Beal makes 2-pt layup from 4 ft,7,10
26,1,8:25.0,Violation by Team (def goaltending),,7,10
27,1,8:10.0,J. Brown makes 2-pt layup from 3 ft (assist by T. Rozier),,9,10
28,1,7:55.0,,Shooting foul by R. Williams (drawn by T. Satoranský),9,10
29,1,7:55.0,,T. Satoranský misses free throw 1 of 2,9,10
30,1,7:55.0,,Offensive rebound by Team,9,10
31,1,7:55.0,,T. Satoranský makes free throw 2 of 2,9,11
32,1,7:41.0,J. Brown misses 3-pt jump shot from 26 ft,,9,11
33,1,7:38.0,,Defensive rebound by T. Satoranský,9,11
34,1,7:26.0,,T. Satoranský makes 3-pt jump shot from 24 ft (assist by B. Beal),9,14
35,1,7:14.0,J. Brown makes 3-pt jump shot from 26 ft (assist by T. Rozier),,12,14
36,1,7:05.0,,T. Brown misses 3-pt jump shot from 24 ft,12,14
37,1,7:03.0,Defensive rebound by G. Yabusele,,12,14
38,1,6:55.0,J. Brown misses 2-pt layup from 1 ft,,12,14
39,1,6:52.0,,Defensive rebound by B. Beal,12,14
40,1,6:50.0,,Personal foul by R. Williams (drawn by T. Bryant),12,14
41,1,6:50.0,,Washington full timeout,12,14
42,1,6:38.0,,Shooting foul by G. Yabusele (drawn by B. Beal),12,14
43,1,6:38.0,,B. Beal makes free throw 1 of 2,12,15
44,1,6:38.0,,B. Beal makes free throw 2 of 2,12,16
45,1,6:28.0,,Violation by Team (kicked ball),12,16
46,1,6:17.0,G. Yabusele misses 2-pt hook shot from 8 ft,,12,16
47,1,6:15.0,,Defensive rebound by B. Portis,12,16
48,1,6:07.0,,T. Brown misses 3-pt jump shot from 24 ft,12,16
49,1,6:04.0,Defensive rebound by R. Williams,,12,16
50,1,5:59.0,G. Yabusele misses 3-pt jump shot from 26 ft,,12,16
51,1,5:56.0,,Defensive rebound by B. Portis,12,16
