,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
383,4,7:57.0,,Shooting foul by M. Bamba (drawn by K. Knox),98,65
384,4,7:57.0,,K. Knox makes free throw 1 of 2,98,66
385,4,7:57.0,,K. Knox makes free throw 2 of 2,98,67
386,4,7:42.0,J. Simmons misses 2-pt layup from 3 ft (block by A. Trier),,98,67
387,4,7:41.0,,Defensive rebound by Team,98,67
388,4,7:33.0,,T. Burke misses 2-pt layup from 4 ft (block by M. Bamba),98,67
389,4,7:32.0,,Offensive rebound by Team,98,67
390,4,7:24.0,,T. Burke misses 2-pt jump shot from 18 ft,98,67
391,4,7:22.0,,Offensive rebound by K. Knox,98,67
392,4,7:22.0,,K. Knox makes 2-pt dunk at rim,98,69
393,4,6:58.0,M. Bamba misses 2-pt jump shot from 12 ft,,98,69
394,4,6:56.0,,Defensive rebound by E. Freedom,98,69
395,4,6:50.0,,E. Freedom makes 2-pt layup from 2 ft (assist by T. Burke),98,71
396,4,6:50.0,Orlando full timeout,,98,71
397,4,6:35.0,M. Bamba makes 2-pt jump shot from 9 ft (assist by T. Ross),,100,71
398,4,6:35.0,Shooting foul by M. Hezonja (drawn by M. Bamba),,100,71
399,4,6:35.0,M. Bamba makes free throw 1 of 1,,101,71
400,4,6:18.0,,E. Freedom misses 2-pt layup from 2 ft,101,71
401,4,6:16.0,Defensive rebound by M. Bamba,,101,71
402,4,6:10.0,Shooting foul by M. Hezonja (drawn by M. Bamba),,101,71
403,4,6:10.0,M. Bamba misses free throw 1 of 2,,101,71
404,4,6:10.0,Offensive rebound by Team,,101,71
405,4,6:10.0,,M. Robinson enters the game for E. Freedom,101,71
406,4,6:10.0,M. Bamba makes free throw 2 of 2,,102,71
407,4,5:56.0,,T. Burke misses 2-pt jump shot from 9 ft,102,71
408,4,5:54.0,Defensive rebound by M. Bamba,,102,71
409,4,5:48.0,M. Bamba makes 3-pt jump shot from 25 ft (assist by T. Ross),,105,71
410,4,5:32.0,,K. Knox makes 3-pt jump shot from 25 ft (assist by T. Burke),105,74
411,4,5:14.0,Shooting foul by K. Knox (drawn by M. Bamba),,105,74
412,4,5:14.0,M. Bamba makes free throw 1 of 2,,106,74
413,4,5:14.0,K. Birch enters the game for W. Iwundu,,106,74
414,4,5:14.0,I. Briscoe enters the game for T. Ross,,106,74
415,4,5:14.0,M. Frazier enters the game for J. Simmons,,106,74
416,4,5:14.0,,R. Baker enters the game for T. Burke,106,74
417,4,5:14.0,M. Bamba makes free throw 2 of 2,,107,74
418,4,5:02.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by A. Trier),107,77
419,4,4:49.0,M. Bamba makes 2-pt hook shot from 9 ft (assist by K. Birch),,109,77
420,4,4:32.0,,A. Trier makes 2-pt jump shot from 19 ft,109,79
421,4,4:18.0,M. Bamba misses 3-pt jump shot from 26 ft,,109,79
422,4,4:16.0,,Defensive rebound by M. Hezonja,109,79
423,4,4:09.0,,M. Hezonja misses 2-pt layup from 1 ft,109,79
424,4,4:07.0,Defensive rebound by K. Birch,,109,79
425,4,4:03.0,Turnover by K. Birch (bad pass; steal by A. Trier),,109,79
426,4,4:00.0,,Personal foul by J. Grant (drawn by A. Trier),109,79
427,4,4:00.0,W. Iwundu enters the game for M. Bamba,,109,79
428,4,3:53.0,,K. Knox misses 2-pt jump shot from 9 ft,109,79
429,4,3:51.0,Defensive rebound by I. Briscoe,,109,79
430,4,3:40.0,M. Frazier misses 3-pt jump shot from 23 ft,,109,79
431,4,3:39.0,Offensive rebound by K. Birch,,109,79
432,4,3:37.0,Turnover by K. Birch (bad pass; steal by R. Baker),,109,79
433,4,3:27.0,,K. Knox misses 3-pt jump shot from 25 ft,109,79
434,4,3:25.0,Defensive rebound by K. Birch,,109,79
435,4,3:16.0,W. Iwundu makes 2-pt layup from 1 ft,,111,79
436,4,3:06.0,,Personal foul by I. Briscoe (drawn by R. Baker),111,79
437,4,3:06.0,,R. Baker makes free throw 1 of 2,111,80
438,4,3:06.0,,R. Baker makes free throw 2 of 2,111,81
439,4,2:54.0,J. Grant misses 3-pt jump shot from 22 ft (block by M. Robinson),,111,81
440,4,2:52.0,Offensive rebound by Team,,111,81
441,4,2:52.0,,New York full timeout,111,81
442,4,2:47.0,I. Briscoe misses 2-pt jump shot from 20 ft,,111,81
443,4,2:45.0,Offensive rebound by K. Birch,,111,81
444,4,2:35.0,K. Birch makes 2-pt hook shot from 5 ft (assist by J. Grant),,113,81
445,4,2:20.0,,Shooting foul by K. Birch (drawn by A. Trier),113,81
446,4,2:20.0,,A. Trier makes free throw 1 of 2,113,82
447,4,2:20.0,,A. Trier makes free throw 2 of 2,113,83
448,4,2:08.0,Offensive foul by W. Iwundu (drawn by R. Baker),,113,83
449,4,2:08.0,Turnover by W. Iwundu (offensive foul),,113,83
450,4,1:55.0,,Turnover by A. Trier (bad pass; steal by K. Birch),113,83
451,4,1:40.0,K. Birch misses 2-pt hook shot from 7 ft (block by M. Robinson),,113,83
452,4,1:38.0,,Defensive rebound by R. Baker,113,83
453,4,1:29.0,,Turnover by A. Trier (bad pass; steal by K. Birch),113,83
454,4,1:25.0,W. Iwundu misses 2-pt layup from 1 ft (block by A. Trier),,113,83
455,4,1:24.0,Offensive rebound by K. Birch,,113,83
456,4,1:24.0,K. Birch makes 2-pt layup from 1 ft,,115,83
457,4,1:14.0,,Offensive foul by K. Knox (drawn by M. Frazier),115,83
458,4,1:14.0,,Turnover by K. Knox (offensive foul),115,83
459,4,0:55.0,Turnover by M. Frazier (traveling),,115,83
460,4,0:45.0,,Shooting foul by W. Iwundu (drawn by M. Hezonja),115,83
461,4,0:45.0,,M. Hezonja makes free throw 1 of 2,115,84
462,4,0:45.0,,M. Hezonja misses free throw 2 of 2,115,84
463,4,0:43.0,,Offensive rebound by R. Baker,115,84
464,4,0:41.0,,M. Hezonja makes 3-pt jump shot from 25 ft (assist by R. Baker),115,87
465,4,0:25.0,J. Grant misses 3-pt jump shot from 28 ft,,115,87
466,4,0:23.0,,Defensive rebound by M. Robinson,115,87
467,4,0:18.0,,K. Knox makes 2-pt layup from 1 ft (assist by A. Trier),115,89
