,QUARTER,TIME_REMAINING,TORONTO_ACTION,WASHINGTON_ACTION,TORONTO_SCORE,WASHINGTON_SCORE
0,1,11:43.0,D. Green misses 3-pt jump shot from 30 ft,,0,0
1,1,11:39.0,,Defensive rebound by T. Ariza,0,0
2,1,11:27.0,,T. Bryant misses 2-pt jump shot from 20 ft,0,0
3,1,11:24.0,Defensive rebound by D. Green,,0,0
4,1,11:10.0,K. Lowry misses 3-pt jump shot from 30 ft,,0,0
5,1,11:06.0,,Defensive rebound by T. Satoranský,0,0
6,1,10:54.0,,T. Satoranský misses 2-pt jump shot from 14 ft,0,0
7,1,10:51.0,Defensive rebound by D. Green,,0,0
8,1,10:48.0,K. Leonard makes 3-pt jump shot from 26 ft (assist by K. Lowry),,3,0
9,1,10:36.0,,T. Ariza misses 3-pt jump shot from 25 ft,3,0
10,1,10:33.0,Defensive rebound by P. Siakam,,3,0
11,1,10:28.0,P. Siakam misses 2-pt layup from 2 ft,,3,0
12,1,10:25.0,Offensive rebound by K. Lowry,,3,0
13,1,10:25.0,K. Lowry makes 2-pt layup from 1 ft,,5,0
14,1,10:16.0,,Turnover by T. Bryant (bad pass; steal by K. Leonard),5,0
15,1,10:13.0,P. Siakam makes 2-pt dunk from 3 ft (assist by K. Leonard),,7,0
16,1,10:11.0,,Washington full timeout,7,0
17,1,9:56.0,,B. Beal misses 2-pt layup from 1 ft (block by D. Green),7,0
18,1,9:56.0,,Offensive rebound by Team,7,0
19,1,9:52.0,,B. Beal misses 2-pt jump shot from 17 ft,7,0
20,1,9:49.0,Defensive rebound by D. Green,,7,0
21,1,9:41.0,S. Ibaka makes 2-pt jump shot from 16 ft (assist by K. Lowry),,9,0
22,1,9:23.0,,T. Bryant makes 2-pt layup from 1 ft (assist by T. Ariza),9,2
23,1,9:00.0,P. Siakam makes 2-pt hook shot from 7 ft,,11,2
24,1,8:51.0,,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Ariza),11,4
25,1,8:51.0,,Shooting foul by K. Lowry (drawn by T. Bryant),11,4
26,1,8:51.0,,T. Bryant makes free throw 1 of 1,11,5
27,1,8:30.0,K. Leonard makes 2-pt layup from 2 ft,,13,5
28,1,8:18.0,,Turnover by T. Ariza (lost ball; steal by P. Siakam),13,5
29,1,8:17.0,P. Siakam makes 2-pt dunk from 2 ft,,15,5
30,1,8:15.0,,Washington full timeout,15,5
