,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA CLIPPERS_ACTION,SACRAMENTO_SCORE,LA CLIPPERS_SCORE
74,1,4:23.0,W. Cauley-Stein makes 2-pt hook shot from 3 ft,,17,24
75,1,4:09.0,,S. Gilgeous-Alexander makes 2-pt layup from 2 ft (assist by A. Bradley),17,26
76,1,3:58.0,W. Cauley-Stein misses 2-pt jump shot from 7 ft,,17,26
77,1,3:54.0,,Defensive rebound by T. Harris,17,26
78,1,3:48.0,,T. Harris misses 2-pt layup from 2 ft,17,26
79,1,3:46.0,Defensive rebound by J. Jackson,,17,26
80,1,3:42.0,Y. Ferrell misses 3-pt jump shot from 26 ft,,17,26
81,1,3:38.0,Offensive rebound by J. Jackson,,17,26
82,1,3:37.0,J. Jackson misses 3-pt jump shot from 27 ft,,17,26
83,1,3:37.0,Offensive rebound by B. Hield,,17,26
84,1,3:37.0,Shooting foul by S. Gilgeous-Alexander (drawn by B. Hield),,17,26
85,1,3:37.0,B. Hield makes free throw 1 of 2,,18,26
86,1,3:37.0,K. Koufos enters the game for W. Cauley-Stein,,18,26
87,1,3:37.0,,L. Williams enters the game for S. Gilgeous-Alexander,18,26
88,1,3:37.0,B. Hield makes free throw 2 of 2,,19,26
89,1,3:30.0,,L. Williams misses 2-pt jump shot from 17 ft,19,26
90,1,3:24.0,,Offensive rebound by A. Bradley,19,26
91,1,3:24.0,,A. Bradley makes 2-pt layup from 1 ft,19,28
92,1,3:14.0,Y. Ferrell misses 2-pt layup from 4 ft (block by M. Harrell),,19,28
93,1,3:10.0,,Defensive rebound by P. Beverley,19,28
94,1,3:02.0,,P. Beverley misses 3-pt jump shot from 26 ft,19,28
95,1,2:58.0,Defensive rebound by B. Hield,,19,28
96,1,2:51.0,B. Hield misses 3-pt jump shot from 25 ft,,19,28
97,1,2:48.0,,Defensive rebound by P. Beverley,19,28
98,1,2:35.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),19,31
99,1,2:26.0,Sacramento full timeout,,19,31
100,1,2:21.0,K. Koufos makes 2-pt hook shot from 10 ft (assist by Y. Ferrell),,21,31
101,1,1:58.0,,M. Harrell makes 2-pt hook shot from 6 ft,21,33
102,1,1:49.0,B. Hield misses 3-pt jump shot from 26 ft,,21,33
103,1,1:44.0,Offensive rebound by J. Jackson,,21,33
104,1,1:42.0,J. Jackson makes 2-pt jump shot from 9 ft,,23,33
105,1,1:33.0,,T. Harris makes 2-pt jump shot from 16 ft,23,35
106,1,1:30.0,Turnover by K. Koufos (bad pass; steal by M. Harrell),,23,35
107,1,1:30.0,,Shooting foul by K. Koufos (drawn by M. Harrell),23,35
108,1,1:30.0,,M. Harrell makes free throw 1 of 2,23,36
109,1,1:30.0,,M. Scott enters the game for A. Bradley,23,36
110,1,1:30.0,,T. Wallace enters the game for T. Harris,23,36
111,1,1:30.0,,M. Harrell makes free throw 2 of 2,23,37
112,1,1:12.0,K. Koufos makes 2-pt layup from 1 ft (assist by B. Bogdanović),,25,37
113,1,0:50.0,,T. Wallace misses 2-pt layup from 4 ft (block by Y. Ferrell),25,37
114,1,0:46.0,,Offensive rebound by T. Wallace,25,37
115,1,0:46.0,,M. Harrell makes 2-pt layup from 1 ft,25,39
116,1,0:43.0,Y. Ferrell misses 2-pt layup from 2 ft (block by M. Harrell),,25,39
117,1,0:43.0,Offensive rebound by B. Hield,,25,39
118,1,0:41.0,B. Hield makes 2-pt layup from 1 ft,,27,39
119,1,0:35.0,,L. Williams misses 2-pt jump shot from 11 ft,27,39
120,1,0:35.0,Defensive rebound by B. Bogdanović,,27,39
121,1,0:28.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,27,39
122,1,0:23.0,,Defensive rebound by M. Scott,27,39
123,1,0:07.0,,L. Williams misses 3-pt jump shot from 26 ft,27,39
124,1,0:03.0,,Offensive rebound by L. Williams,27,39
125,1,0:00.0,,Turnover by L. Williams (bad pass; steal by K. Koufos),27,39
126,1,0:00.0,B. Bogdanović misses 3-pt jump shot from 44 ft,,27,39
127,1,0:00.0,Offensive rebound by Team,,27,39
128,2,11:46.0,D. Fox misses 3-pt jump shot from 25 ft,,27,39
129,2,11:40.0,Offensive rebound by B. Bogdanović,,27,39
130,2,11:32.0,Turnover by B. Hield (bad pass; steal by T. Wallace),,27,39
131,2,11:29.0,,T. Wallace makes 2-pt layup from 1 ft (assist by L. Williams),27,41
132,2,11:21.0,K. Koufos makes 2-pt layup from 1 ft (assist by B. Bogdanović),,29,41
133,2,11:06.0,,M. Scott misses 2-pt jump shot from 8 ft,29,41
134,2,11:03.0,Defensive rebound by J. Jackson,,29,41
135,2,10:57.0,Personal foul by M. Scott (drawn by B. Bogdanović),,29,41
136,2,10:57.0,I. Shumpert enters the game for B. Hield,,29,41
137,2,10:49.0,K. Koufos misses 2-pt jump shot from 9 ft,,29,41
138,2,10:45.0,,Defensive rebound by L. Williams,29,41
139,2,10:36.0,,M. Harrell makes 2-pt layup from 2 ft,29,43
140,2,10:31.0,Offensive foul by I. Shumpert (drawn by M. Scott),,29,43
141,2,10:31.0,Turnover by I. Shumpert (offensive foul),,29,43
142,2,10:25.0,,L. Williams makes 2-pt jump shot from 9 ft,29,45
143,2,10:25.0,,Shooting foul by D. Fox (drawn by L. Williams),29,45
144,2,10:25.0,W. Cauley-Stein enters the game for K. Koufos,,29,45
145,2,10:25.0,,L. Williams makes free throw 1 of 1,29,46
146,2,10:13.0,I. Shumpert misses 2-pt layup from 5 ft (block by L. Williams),,29,46
147,2,10:11.0,,Defensive rebound by L. Williams,29,46
148,2,10:07.0,,T. Wallace makes 2-pt layup from 2 ft (assist by P. Beverley),29,48
149,2,10:04.0,Sacramento full timeout,,29,48
150,2,9:54.0,B. Bogdanović misses 2-pt layup from 2 ft,,29,48
151,2,9:51.0,,Defensive rebound by M. Harrell,29,48
152,2,9:44.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),29,50
153,2,9:31.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by D. Fox),,32,50
154,2,9:17.0,,Turnover by L. Williams (bad pass; steal by D. Fox),32,50
155,2,9:17.0,Personal foul by P. Beverley (drawn by D. Fox),,32,50
156,2,9:06.0,Turnover by W. Cauley-Stein (lost ball; steal by P. Beverley),,32,50
157,2,8:57.0,,M. Harrell makes 2-pt dunk from 1 ft,32,52
158,2,8:41.0,D. Fox misses 2-pt jump shot from 14 ft,,32,52
159,2,8:38.0,,Defensive rebound by T. Wallace,32,52
160,2,8:32.0,,L. Williams misses 2-pt jump shot from 19 ft,32,52
161,2,8:30.0,Defensive rebound by W. Cauley-Stein,,32,52
162,2,8:20.0,Turnover by B. Bogdanović (bad pass; steal by M. Harrell),,32,52
163,2,8:07.0,,P. Beverley misses 2-pt layup from 6 ft (block by W. Cauley-Stein),32,52
164,2,8:04.0,Defensive rebound by I. Shumpert,,32,52
165,2,8:02.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Jackson),,34,52
166,2,7:54.0,,Personal foul by B. Bogdanović (drawn by L. Williams),34,52
167,2,7:54.0,N. Bjelica enters the game for B. Bogdanović,,34,52
168,2,7:46.0,,P. Beverley makes 3-pt jump shot from 24 ft (assist by L. Williams),34,55
169,2,7:33.0,Shooting foul by T. Wallace (drawn by D. Fox),,34,55
170,2,7:33.0,D. Fox makes free throw 1 of 2,,35,55
171,2,7:33.0,D. Fox makes free throw 2 of 2,,36,55
172,2,7:22.0,,T. Wallace misses 2-pt jump shot from 8 ft,36,55
173,2,7:20.0,,Offensive rebound by T. Wallace,36,55
174,2,7:19.0,,T. Wallace misses 2-pt layup from 3 ft (block by N. Bjelica),36,55
175,2,7:19.0,Defensive rebound by D. Fox,,36,55
176,2,7:19.0,Personal take foul by M. Harrell (drawn by D. Fox),,36,55
177,2,7:19.0,B. Hield enters the game for J. Jackson,,36,55
178,2,7:19.0,,D. Gallinari enters the game for M. Scott,36,55
179,2,7:19.0,,S. Gilgeous-Alexander enters the game for T. Wallace,36,55
180,2,7:09.0,D. Fox makes 2-pt layup from 2 ft,,38,55
181,2,7:05.0,,Personal foul by N. Bjelica (drawn by L. Williams),38,55
182,2,6:56.0,,L. Williams makes 2-pt jump shot from 21 ft,38,57
183,2,6:45.0,D. Fox makes 2-pt jump shot from 12 ft,,40,57
184,2,6:32.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 7 ft,40,57
185,2,6:32.0,,Offensive rebound by M. Harrell,40,57
186,2,6:32.0,,M. Harrell makes 2-pt dunk from 1 ft,40,59
187,2,6:32.0,,Shooting foul by W. Cauley-Stein (drawn by M. Harrell),40,59
188,2,6:32.0,,M. Harrell makes free throw 1 of 1,40,60
189,2,6:12.0,B. Hield misses 3-pt jump shot from 24 ft,,40,60
190,2,6:09.0,,Defensive rebound by S. Gilgeous-Alexander,40,60
191,2,6:05.0,,S. Gilgeous-Alexander misses 2-pt layup from 3 ft (block by W. Cauley-Stein),40,60
192,2,6:03.0,,Offensive rebound by M. Harrell,40,60
193,2,6:03.0,,T. Harris enters the game for P. Beverley,40,60
194,2,5:48.0,,Turnover by Team (shot clock),40,60
195,2,5:39.0,D. Fox makes 2-pt layup from 2 ft,,42,60
196,2,5:25.0,,D. Gallinari misses 2-pt layup from 4 ft,42,60
197,2,5:25.0,Defensive rebound by W. Cauley-Stein,,42,60
198,2,5:25.0,,A. Bradley enters the game for L. Williams,42,60
199,2,5:15.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by D. Fox),,44,60
200,2,5:15.0,,LA Clippers full timeout,44,60
201,2,4:51.0,,D. Gallinari makes 2-pt jump shot from 7 ft,44,62
202,2,4:37.0,B. Hield makes 2-pt jump shot from 21 ft (assist by N. Bjelica),,46,62
203,2,4:23.0,,A. Bradley misses 3-pt jump shot from 26 ft (block by B. Hield),46,62
204,2,4:20.0,Defensive rebound by D. Fox,,46,62
205,2,4:10.0,B. Hield misses 2-pt jump shot from 14 ft,,46,62
206,2,4:10.0,,Defensive rebound by M. Harrell,46,62
207,2,4:01.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 23 ft,46,62
208,2,3:57.0,Defensive rebound by I. Shumpert,,46,62
209,2,3:54.0,D. Fox misses 2-pt layup from 3 ft,,46,62
210,2,3:54.0,,Defensive rebound by Team,46,62
211,2,3:54.0,B. Bogdanović enters the game for B. Hield,,46,62
212,2,3:54.0,,B. Marjanović enters the game for M. Harrell,46,62
213,2,3:43.0,,Turnover by A. Bradley (bad pass; steal by D. Fox),46,62
214,2,3:37.0,N. Bjelica misses 3-pt jump shot from 25 ft,,46,62
215,2,3:33.0,,Defensive rebound by A. Bradley,46,62
216,2,3:27.0,,Shooting foul by W. Cauley-Stein (drawn by B. Marjanović),46,62
217,2,3:27.0,,B. Marjanović misses free throw 1 of 2,46,62
218,2,3:27.0,,Offensive rebound by Team,46,62
219,2,3:27.0,,B. Marjanović makes free throw 2 of 2,46,63
220,2,3:18.0,D. Fox makes 2-pt layup from 1 ft,,48,63
221,2,2:59.0,,B. Marjanović makes 2-pt jump shot from 5 ft (assist by D. Gallinari),48,65
222,2,2:50.0,Turnover by N. Bjelica (offensive foul),,48,65
223,2,2:50.0,Offensive foul by N. Bjelica (drawn by D. Gallinari),,48,65
224,2,2:44.0,,Personal foul by W. Cauley-Stein (drawn by B. Marjanović),48,65
225,2,2:44.0,,B. Marjanović makes free throw 1 of 2,48,66
226,2,2:44.0,K. Koufos enters the game for W. Cauley-Stein,,48,66
227,2,2:44.0,,B. Marjanović makes free throw 2 of 2,48,67
228,2,2:35.0,D. Fox misses 2-pt jump shot from 23 ft,,48,67
229,2,2:33.0,,Defensive rebound by T. Harris,48,67
230,2,2:19.0,,Turnover by T. Harris (out of bounds lost ball),48,67
231,2,2:14.0,Personal foul by A. Bradley (drawn by B. Bogdanović),,48,67
232,2,2:14.0,B. Bogdanović misses free throw 1 of 2,,48,67
233,2,2:14.0,Offensive rebound by Team,,48,67
234,2,2:14.0,B. Bogdanović makes free throw 2 of 2,,49,67
235,2,1:58.0,,A. Bradley makes 2-pt layup from 2 ft (assist by B. Marjanović),49,69
236,2,1:49.0,I. Shumpert makes 2-pt layup from 1 ft,,51,69
237,2,1:33.0,,D. Gallinari makes 2-pt jump shot from 22 ft (assist by A. Bradley),51,71
238,2,1:22.0,D. Fox makes 2-pt jump shot from 3 ft (assist by B. Bogdanović),,53,71
239,2,1:07.0,,D. Gallinari misses 3-pt jump shot from 25 ft,53,71
240,2,1:04.0,Defensive rebound by D. Fox,,53,71
241,2,1:01.0,Turnover by D. Fox (bad pass),,53,71
242,2,1:01.0,B. Hield enters the game for D. Fox,,53,71
243,2,0:51.0,,A. Bradley misses 2-pt jump shot from 19 ft,53,71
244,2,0:47.0,Defensive rebound by K. Koufos,,53,71
245,2,0:39.0,Shooting foul by A. Bradley (drawn by B. Bogdanović),,53,71
246,2,0:39.0,B. Bogdanović misses free throw 1 of 2,,53,71
247,2,0:39.0,Offensive rebound by Team,,53,71
248,2,0:39.0,,P. Beverley enters the game for D. Gallinari,53,71
249,2,0:39.0,B. Bogdanović makes free throw 2 of 2,,54,71
250,2,0:26.0,,Turnover by T. Harris (bad pass; steal by N. Bjelica),54,71
251,2,0:10.0,B. Bogdanović makes 2-pt layup from 1 ft,,56,71
252,2,0:02.0,,P. Beverley misses 3-pt jump shot from 25 ft,56,71
253,2,0:02.0,Defensive rebound by B. Hield,,56,71
254,2,0:00.0,B. Hield misses 3-pt jump shot from 79 ft,,56,71
255,2,0:00.0,Offensive rebound by Team,,56,71
256,3,11:44.0,D. Fox makes 2-pt jump shot from 18 ft,,58,71
257,3,11:22.0,,Turnover by Team (shot clock),58,71
258,3,11:09.0,I. Shumpert misses 2-pt jump shot from 15 ft,,58,71
259,3,11:05.0,,Defensive rebound by D. Gallinari,58,71
260,3,10:52.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by T. Harris),58,74
261,3,10:42.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by D. Fox),,61,74
262,3,10:27.0,,T. Harris makes 3-pt jump shot from 25 ft (assist by B. Marjanović),61,77
263,3,10:13.0,Turnover by D. Fox (bad pass; steal by D. Gallinari),,61,77
264,3,10:04.0,,D. Gallinari misses 3-pt jump shot from 26 ft,61,77
265,3,9:59.0,,Offensive rebound by B. Marjanović,61,77
266,3,9:58.0,,B. Marjanović makes 2-pt hook shot from 4 ft,61,79
267,3,9:45.0,Turnover by B. Hield (lost ball; steal by T. Harris),,61,79
268,3,9:39.0,,A. Bradley misses 3-pt jump shot from 23 ft,61,79
269,3,9:38.0,,Offensive rebound by B. Marjanović,61,79
270,3,9:38.0,,B. Marjanović makes 2-pt dunk at rim,61,81
271,3,9:38.0,Sacramento full timeout,,61,81
272,3,9:22.0,W. Cauley-Stein misses 2-pt jump shot from 15 ft,,61,81
273,3,9:19.0,,Defensive rebound by S. Gilgeous-Alexander,61,81
274,3,9:08.0,,T. Harris misses 2-pt layup from 2 ft,61,81
275,3,9:06.0,Defensive rebound by W. Cauley-Stein,,61,81
276,3,9:02.0,B. Hield misses 3-pt jump shot from 26 ft,,61,81
277,3,8:58.0,Offensive rebound by N. Bjelica,,61,81
278,3,8:57.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,64,81
279,3,8:44.0,,S. Gilgeous-Alexander misses 2-pt layup from 1 ft (block by N. Bjelica),64,81
280,3,8:41.0,Defensive rebound by D. Fox,,64,81
281,3,8:33.0,B. Hield misses 2-pt jump shot from 4 ft,,64,81
282,3,8:31.0,,Defensive rebound by D. Gallinari,64,81
283,3,8:16.0,Violation by Team (kicked ball),,64,81
284,3,8:01.0,,T. Harris makes 2-pt jump shot from 6 ft,64,83
285,3,7:57.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,66,83
286,3,7:44.0,,D. Gallinari misses 3-pt jump shot from 25 ft,66,83
287,3,7:40.0,Defensive rebound by W. Cauley-Stein,,66,83
288,3,7:35.0,N. Bjelica misses 3-pt jump shot from 23 ft,,66,83
289,3,7:32.0,,Defensive rebound by B. Marjanović,66,83
290,3,7:24.0,,T. Harris misses 2-pt layup from 3 ft (block by N. Bjelica),66,83
291,3,7:19.0,Defensive rebound by Team,,66,83
292,3,7:15.0,D. Fox misses 3-pt jump shot from 25 ft,,66,83
293,3,7:13.0,,Defensive rebound by D. Gallinari,66,83
294,3,7:04.0,,A. Bradley makes 3-pt jump shot from 22 ft (assist by T. Harris),66,86
295,3,6:50.0,N. Bjelica makes 3-pt jump shot from 26 ft (assist by B. Hield),,69,86
296,3,6:34.0,,D. Gallinari makes 2-pt layup from 5 ft (assist by B. Marjanović),69,88
297,3,6:19.0,W. Cauley-Stein makes 2-pt hook shot from 4 ft,,71,88
298,3,5:54.0,,S. Gilgeous-Alexander makes 2-pt dunk from 1 ft (assist by A. Bradley),71,90
299,3,5:39.0,W. Cauley-Stein makes 2-pt jump shot from 10 ft (assist by D. Fox),,73,90
300,3,5:39.0,B. Bogdanović enters the game for B. Hield,,73,90
301,3,5:39.0,,P. Beverley enters the game for S. Gilgeous-Alexander,73,90
302,3,5:11.0,,D. Gallinari misses 2-pt jump shot from 19 ft,73,90
303,3,5:11.0,,Offensive rebound by Team,73,90
304,3,5:10.0,,Turnover by Team (shot clock),73,90
305,3,5:10.0,K. Koufos enters the game for W. Cauley-Stein,,73,90
306,3,5:10.0,,M. Harrell enters the game for B. Marjanović,73,90
307,3,4:59.0,I. Shumpert makes 3-pt jump shot from 26 ft (assist by D. Fox),,76,90
308,3,4:34.0,,Shooting foul by K. Koufos (drawn by M. Harrell),76,90
309,3,4:34.0,,M. Harrell misses free throw 1 of 2,76,90
310,3,4:34.0,,Offensive rebound by Team,76,90
311,3,4:34.0,,L. Williams enters the game for D. Gallinari,76,90
312,3,4:34.0,,M. Harrell makes free throw 2 of 2,76,91
313,3,4:20.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),,79,91
314,3,4:10.0,,T. Harris misses 2-pt jump shot from 13 ft (block by N. Bjelica),79,91
315,3,4:08.0,Defensive rebound by N. Bjelica,,79,91
316,3,4:04.0,N. Bjelica misses 2-pt layup from 3 ft,,79,91
317,3,4:04.0,Offensive rebound by N. Bjelica,,79,91
318,3,4:00.0,N. Bjelica misses 2-pt layup from 1 ft,,79,91
319,3,3:59.0,Offensive rebound by K. Koufos,,79,91
320,3,3:54.0,B. Bogdanović misses 2-pt jump shot from 17 ft,,79,91
321,3,3:50.0,,Defensive rebound by P. Beverley,79,91
322,3,3:48.0,,Turnover by M. Harrell (lost ball; steal by N. Bjelica),79,91
323,3,3:39.0,N. Bjelica misses 3-pt jump shot from 27 ft,,79,91
324,3,3:36.0,Offensive rebound by K. Koufos,,79,91
325,3,3:27.0,D. Fox makes 2-pt layup from 3 ft,,81,91
326,3,3:27.0,,LA Clippers full timeout,81,91
327,3,3:27.0,J. Jackson enters the game for I. Shumpert,,81,91
328,3,3:09.0,,P. Beverley makes 2-pt jump shot from 4 ft (assist by L. Williams),81,93
329,3,2:45.0,N. Bjelica makes 2-pt layup from 3 ft (assist by D. Fox),,83,93
330,3,2:25.0,,A. Bradley makes 2-pt layup from 2 ft (assist by L. Williams),83,95
331,3,2:06.0,K. Koufos misses 2-pt hook shot from 3 ft,,83,95
332,3,2:03.0,,Defensive rebound by P. Beverley,83,95
333,3,1:59.0,,T. Harris misses 3-pt jump shot from 25 ft,83,95
334,3,1:53.0,,Offensive rebound by M. Harrell,83,95
335,3,1:51.0,,M. Harrell makes 2-pt layup from 2 ft,83,97
336,3,1:42.0,D. Fox misses 2-pt jump shot from 10 ft,,83,97
337,3,1:39.0,,Defensive rebound by T. Harris,83,97
338,3,1:36.0,,L. Williams makes 3-pt jump shot from 26 ft (assist by T. Harris),83,100
339,3,1:33.0,Sacramento full timeout,,83,100
340,3,1:33.0,B. Hield enters the game for N. Bjelica,,83,100
341,3,1:33.0,,M. Scott enters the game for T. Harris,83,100
342,3,1:16.0,B. Bogdanović misses 2-pt jump shot from 4 ft,,83,100
343,3,1:10.0,Offensive rebound by B. Bogdanović,,83,100
344,3,1:09.0,B. Bogdanović makes 2-pt layup at rim,,85,100
345,3,1:01.0,,M. Harrell misses 2-pt layup from 2 ft,85,100
346,3,0:57.0,,Offensive rebound by M. Harrell,85,100
347,3,0:57.0,,M. Harrell misses 2-pt layup from 4 ft (block by K. Koufos),85,100
348,3,0:57.0,,Offensive rebound by M. Harrell,85,100
349,3,0:57.0,,Shooting foul by J. Jackson (drawn by M. Harrell),85,100
350,3,0:57.0,,M. Harrell makes free throw 1 of 2,85,101
351,3,0:57.0,,T. Wallace enters the game for A. Bradley,85,101
352,3,0:57.0,,M. Harrell makes free throw 2 of 2,85,102
353,3,0:43.0,B. Bogdanović misses 2-pt layup from 3 ft (block by M. Harrell),,85,102
354,3,0:40.0,,Defensive rebound by P. Beverley,85,102
355,3,0:36.0,,T. Wallace misses 2-pt layup from 2 ft (block by J. Jackson),85,102
356,3,0:31.0,Defensive rebound by D. Fox,,85,102
357,3,0:31.0,Personal take foul by P. Beverley (drawn by D. Fox),,85,102
358,3,0:17.0,D. Fox misses 2-pt layup from 2 ft,,85,102
359,3,0:15.0,,Defensive rebound by M. Scott,85,102
360,4,11:47.0,,L. Williams makes 3-pt jump shot from 26 ft,85,105
361,4,11:32.0,B. Bogdanović misses 2-pt layup from 4 ft (block by M. Harrell),,85,105
362,4,11:32.0,Offensive rebound by Team,,85,105
363,4,11:30.0,B. Hield misses 2-pt jump shot from 15 ft,,85,105
364,4,11:29.0,Offensive rebound by Team,,85,105
365,4,11:24.0,B. Hield misses 2-pt jump shot from 16 ft,,85,105
366,4,11:23.0,Offensive rebound by Team,,85,105
367,4,11:23.0,,Loose ball foul by M. Scott (drawn by J. Jackson),85,105
368,4,11:09.0,K. Koufos makes 2-pt layup from 2 ft (assist by B. Bogdanović),,87,105
369,4,10:49.0,,Turnover by L. Williams (bad pass; steal by K. Koufos),87,105
370,4,10:43.0,B. Hield misses 2-pt jump shot from 16 ft,,87,105
371,4,10:39.0,,Defensive rebound by M. Scott,87,105
