,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,LA LAKERS_ACTION,BROOKLYN_SCORE,LA LAKERS_SCORE
390,4,10:36.0,E. Davis misses 2-pt layup from 1 ft,,80,78
391,4,10:35.0,,Defensive rebound by R. Bullock,80,78
392,4,10:29.0,,Shooting foul by J. Dudley (drawn by L. James),80,78
393,4,10:29.0,,L. James makes free throw 1 of 2,80,79
394,4,10:29.0,,L. James makes free throw 2 of 2,80,80
395,4,10:06.0,E. Davis makes 2-pt layup from 3 ft (assist by C. LeVert),,82,80
396,4,9:47.0,,L. James misses 3-pt jump shot from 28 ft,82,80
397,4,9:44.0,Defensive rebound by D. Carroll,,82,80
398,4,9:36.0,D. Carroll makes 2-pt layup from 2 ft,,84,80
399,4,9:32.0,,Shooting foul by C. LeVert (drawn by K. Caldwell-Pope),84,80
400,4,9:32.0,,K. Caldwell-Pope makes free throw 1 of 3,84,81
401,4,9:32.0,,K. Caldwell-Pope makes free throw 2 of 3,84,82
402,4,9:32.0,,K. Caldwell-Pope makes free throw 3 of 3,84,83
403,4,9:15.0,J. Dudley misses 3-pt jump shot from 26 ft,,84,83
404,4,9:11.0,,Defensive rebound by A. Caruso,84,83
405,4,9:04.0,,J. McGee makes 2-pt hook shot from 5 ft (assist by L. James),84,85
406,4,9:04.0,Brooklyn full timeout,,84,85
407,4,9:04.0,R. Kurucs enters the game for D. Carroll,,84,85
408,4,9:04.0,D. Russell enters the game for C. LeVert,,84,85
409,4,8:52.0,Shooting foul by R. Bullock (drawn by S. Dinwiddie),,84,85
410,4,8:52.0,S. Dinwiddie makes free throw 1 of 2,,85,85
411,4,8:52.0,S. Dinwiddie makes free throw 2 of 2,,86,85
412,4,8:29.0,,Turnover by L. James (bad pass; steal by E. Davis),86,85
413,4,8:21.0,S. Dinwiddie misses 2-pt jump shot from 4 ft,,86,85
414,4,8:17.0,,Defensive rebound by J. McGee,86,85
415,4,8:05.0,,L. James misses 2-pt jump shot from 13 ft,86,85
416,4,8:03.0,,Offensive rebound by Team,86,85
417,4,8:03.0,Loose ball foul by J. Dudley (drawn by J. McGee),,86,85
418,4,8:03.0,,J. McGee misses free throw 1 of 2,86,85
419,4,8:03.0,,Offensive rebound by Team,86,85
420,4,8:03.0,D. Carroll enters the game for S. Dinwiddie,,86,85
421,4,8:03.0,,K. Kuzma enters the game for R. Bullock,86,85
422,4,8:03.0,,J. McGee misses free throw 2 of 2,86,85
423,4,8:02.0,Defensive rebound by E. Davis,,86,85
424,4,8:02.0,Personal foul by J. McGee (drawn by E. Davis),,86,85
425,4,7:54.0,Personal foul by K. Kuzma (drawn by R. Kurucs),,86,85
426,4,7:46.0,Shooting foul by A. Caruso (drawn by D. Russell),,86,85
427,4,7:46.0,D. Russell makes free throw 1 of 2,,87,85
428,4,7:46.0,D. Russell misses free throw 2 of 2,,87,85
429,4,7:44.0,,Defensive rebound by J. McGee,87,85
430,4,7:31.0,,A. Caruso makes 3-pt jump shot from 26 ft (assist by L. James),87,88
431,4,7:21.0,D. Russell makes 3-pt jump shot from 27 ft,,90,88
432,4,7:09.0,,J. McGee misses 2-pt hook shot from 4 ft (block by E. Davis),90,88
433,4,7:06.0,,Offensive rebound by J. McGee,90,88
434,4,7:04.0,,L. James makes 2-pt dunk from 1 ft (assist by A. Caruso),90,90
435,4,6:58.0,D. Russell makes 3-pt jump shot from 26 ft,,93,90
436,4,6:37.0,,L. James makes 2-pt layup from 2 ft,93,92
437,4,6:24.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by J. Dudley),,96,92
438,4,6:21.0,,LA Lakers full timeout,96,92
439,4,6:21.0,J. Allen enters the game for E. Davis,,96,92
440,4,6:21.0,J. Harris enters the game for J. Dudley,,96,92
441,4,6:10.0,,J. McGee makes 2-pt dunk from 4 ft (assist by L. James),96,94
442,4,6:00.0,D. Russell misses 3-pt jump shot from 26 ft,,96,94
443,4,5:58.0,,Defensive rebound by L. James,96,94
444,4,5:41.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),96,97
445,4,5:40.0,Brooklyn full timeout,,96,97
446,4,5:40.0,S. Dinwiddie enters the game for R. Kurucs,,96,97
447,4,5:28.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,98,97
448,4,5:15.0,,L. James misses 3-pt jump shot from 27 ft,98,97
449,4,5:09.0,Defensive rebound by S. Dinwiddie,,98,97
450,4,5:05.0,Turnover by D. Russell (bad pass),,98,97
451,4,5:01.0,,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,98,97
452,4,4:58.0,Defensive rebound by D. Carroll,,98,97
453,4,4:51.0,D. Russell misses 3-pt jump shot from 26 ft,,98,97
454,4,4:49.0,,Defensive rebound by K. Caldwell-Pope,98,97
455,4,4:44.0,,K. Kuzma misses 3-pt jump shot from 23 ft,98,97
456,4,4:40.0,Defensive rebound by D. Russell,,98,97
457,4,4:23.0,J. Harris misses 2-pt layup from 3 ft (block by J. McGee),,98,97
458,4,4:23.0,Offensive rebound by Team,,98,97
459,4,4:21.0,D. Carroll makes 3-pt jump shot from 27 ft (assist by J. Harris),,101,97
460,4,4:10.0,,Shooting foul by D. Carroll (drawn by L. James),101,97
461,4,4:10.0,,L. James misses free throw 1 of 2,101,97
462,4,4:10.0,,Offensive rebound by Team,101,97
463,4,4:10.0,,L. James misses free throw 2 of 2,101,97
464,4,4:08.0,Defensive rebound by J. Allen,,101,97
465,4,4:08.0,Personal foul by L. James (drawn by J. Allen),,101,97
466,4,4:08.0,J. Allen makes free throw 1 of 2,,102,97
467,4,4:08.0,J. Allen misses free throw 2 of 2,,102,97
468,4,4:05.0,,Defensive rebound by L. James,102,97
469,4,3:50.0,,L. James misses 2-pt layup from 1 ft,102,97
470,4,3:47.0,,Offensive rebound by J. McGee,102,97
471,4,3:47.0,,J. McGee misses 2-pt layup from 1 ft,102,97
472,4,3:46.0,,Offensive rebound by J. McGee,102,97
473,4,3:46.0,,J. McGee makes 2-pt layup from 1 ft,102,99
474,4,3:28.0,D. Russell misses 3-pt jump shot from 24 ft,,102,99
475,4,3:27.0,Offensive rebound by Team,,102,99
476,4,3:19.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Russell),,105,99
477,4,3:05.0,,Turnover by L. James (out of bounds lost ball),105,99
478,4,2:48.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,107,99
479,4,2:37.0,,K. Kuzma makes 2-pt jump shot from 2 ft,107,101
480,4,2:21.0,D. Carroll misses 3-pt jump shot from 23 ft,,107,101
481,4,2:18.0,Offensive rebound by J. Allen,,107,101
482,4,2:11.0,Brooklyn full timeout,,107,101
483,4,2:03.0,S. Dinwiddie misses 3-pt jump shot from 27 ft,,107,101
484,4,2:01.0,,Defensive rebound by L. James,107,101
485,4,1:59.0,,L. James makes 3-pt jump shot from 28 ft,107,104
486,4,1:41.0,Shooting foul by K. Caldwell-Pope (drawn by S. Dinwiddie),,107,104
487,4,1:41.0,S. Dinwiddie makes free throw 1 of 2,,108,104
488,4,1:41.0,S. Dinwiddie makes free throw 2 of 2,,109,104
489,4,1:22.0,,L. James misses 3-pt jump shot from 26 ft,109,104
490,4,1:20.0,,Offensive rebound by J. McGee,109,104
491,4,1:12.0,,K. Kuzma misses 2-pt layup from 1 ft (block by J. Allen),109,104
492,4,1:09.0,Defensive rebound by J. Harris,,109,104
493,4,0:56.0,S. Dinwiddie misses 2-pt jump shot from 5 ft (block by J. McGee),,109,104
494,4,0:55.0,Offensive rebound by Team,,109,104
495,4,0:54.0,Turnover by D. Russell (bad pass; steal by K. Caldwell-Pope),,109,104
496,4,0:53.0,,Shooting foul by D. Carroll (drawn by L. James),109,104
497,4,0:53.0,,L. James makes free throw 1 of 2,109,105
498,4,0:53.0,,L. James makes free throw 2 of 2,109,106
499,4,0:32.0,D. Russell misses 3-pt jump shot from 27 ft,,109,106
500,4,0:30.0,,Defensive rebound by K. Caldwell-Pope,109,106
501,4,0:22.0,,Turnover by L. James (step out of bounds),109,106
502,4,0:22.0,R. Kurucs enters the game for J. Allen,,109,106
503,4,0:22.0,,I. Bonga enters the game for L. James,109,106
504,4,0:22.0,,J. Williams enters the game for J. McGee,109,106
505,4,0:17.0,Personal take foul by K. Caldwell-Pope (drawn by S. Dinwiddie),,109,106
506,4,0:17.0,S. Dinwiddie makes free throw 1 of 2,,110,106
507,4,0:17.0,J. Allen enters the game for D. Russell,,110,106
508,4,0:17.0,,J. McGee enters the game for I. Bonga,110,106
509,4,0:17.0,S. Dinwiddie misses free throw 2 of 2,,110,106
510,4,0:16.0,,Defensive rebound by J. McGee,110,106
511,4,0:16.0,,LA Lakers full timeout,110,106
512,4,0:16.0,,L. James enters the game for J. Williams,110,106
513,4,0:14.0,,L. James misses 3-pt jump shot from 25 ft,110,106
514,4,0:08.0,,Offensive rebound by K. Kuzma,110,106
515,4,0:05.0,,K. Kuzma misses 3-pt jump shot from 27 ft,110,106
516,4,0:04.0,Defensive rebound by Team,,110,106
517,4,0:04.0,D. Russell enters the game for J. Allen,,110,106
518,4,0:04.0,Personal take foul by A. Caruso (drawn by S. Dinwiddie),,110,106
519,4,0:04.0,S. Dinwiddie misses free throw 1 of 2,,110,106
520,4,0:04.0,Offensive rebound by Team,,110,106
521,4,0:04.0,J. Allen enters the game for D. Russell,,110,106
522,4,0:04.0,S. Dinwiddie makes free throw 2 of 2,,111,106
