,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,HOUSTON_ACTION,MINNESOTA_SCORE,HOUSTON_SCORE
388,4,6:39.0,,C. Paul makes 2-pt jump shot from 13 ft,84,106
389,4,6:24.0,Personal foul by C. Capela (drawn by K. Towns),,84,106
390,4,6:24.0,,I. Shumpert enters the game for C. Paul,84,106
391,4,6:10.0,Turnover by K. Towns (lost ball; steal by J. Harden),,84,106
392,4,5:55.0,,I. Shumpert misses 3-pt jump shot from 26 ft,84,106
393,4,5:52.0,,Offensive rebound by C. Capela,84,106
394,4,5:40.0,,Turnover by Team (shot clock),84,106
395,4,5:24.0,Personal foul by C. Capela (drawn by K. Towns),,84,106
396,4,5:20.0,A. Wiggins misses 2-pt layup from 3 ft,,84,106
397,4,5:18.0,,Defensive rebound by E. Gordon,84,106
398,4,5:03.0,,J. Harden misses 3-pt jump shot from 28 ft,84,106
399,4,5:01.0,Defensive rebound by D. Šarić,,84,106
400,4,4:55.0,T. Jones misses 2-pt jump shot from 9 ft,,84,106
401,4,4:55.0,Offensive rebound by Team,,84,106
402,4,4:55.0,,Loose ball foul by J. Harden (drawn by K. Towns),84,106
403,4,4:46.0,K. Towns misses 2-pt jump shot from 4 ft,,84,106
404,4,4:44.0,Offensive rebound by K. Towns,,84,106
405,4,4:43.0,K. Towns misses 2-pt layup from 4 ft,,84,106
406,4,4:42.0,Offensive rebound by K. Towns,,84,106
407,4,4:41.0,K. Towns misses 2-pt layup from 1 ft,,84,106
408,4,4:39.0,Offensive rebound by K. Towns,,84,106
409,4,4:38.0,Personal foul by I. Shumpert (drawn by J. Okogie),,84,106
410,4,4:25.0,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Okogie),,87,106
411,4,4:20.0,,Turnover by J. Harden (bad pass; steal by J. Okogie),87,106
412,4,4:14.0,Offensive foul by K. Towns (drawn by C. Capela),,87,106
413,4,4:14.0,Turnover by K. Towns (offensive foul),,87,106
414,4,4:14.0,,Houston full timeout,87,106
415,4,4:14.0,,G. Green enters the game for E. Gordon,87,106
416,4,4:04.0,,J. Harden misses 2-pt jump shot from 10 ft,87,106
417,4,4:02.0,Defensive rebound by K. Towns,,87,106
418,4,3:58.0,Shooting foul by I. Shumpert (drawn by J. Okogie),,87,106
419,4,3:58.0,J. Okogie misses free throw 1 of 2,,87,106
420,4,3:58.0,Offensive rebound by Team,,87,106
421,4,3:58.0,G. Dieng enters the game for K. Towns,,87,106
422,4,3:58.0,J. Okogie makes free throw 2 of 2,,88,106
423,4,3:49.0,,G. Green makes 2-pt layup from 3 ft (assist by J. Harden),88,108
424,4,3:30.0,J. Okogie misses 2-pt layup from 1 ft,,88,108
425,4,3:29.0,,Defensive rebound by C. Capela,88,108
426,4,3:16.0,,G. Green makes 3-pt jump shot from 23 ft (assist by J. Harden),88,111
427,4,3:08.0,Minnesota full timeout,,88,111
428,4,3:08.0,K. Bates-Diop enters the game for T. Jones,,88,111
429,4,3:08.0,C. Reynolds enters the game for D. Šarić,,88,111
430,4,3:08.0,J. Terrell enters the game for A. Wiggins,,88,111
431,4,3:08.0,,G. Clark enters the game for C. Capela,88,111
432,4,3:08.0,,N. Hilário enters the game for J. Harden,88,111
433,4,3:08.0,,D. House enters the game for P. Tucker,88,111
434,4,2:49.0,K. Bates-Diop misses 3-pt jump shot from 26 ft,,88,111
435,4,2:48.0,,Defensive rebound by G. Clark,88,111
436,4,2:35.0,,Shooting foul by C. Reynolds (drawn by G. Green),88,111
437,4,2:35.0,,G. Green makes free throw 1 of 2,88,112
438,4,2:35.0,,G. Green misses free throw 2 of 2,88,112
439,4,2:35.0,Defensive rebound by G. Dieng,,88,112
440,4,2:22.0,J. Okogie makes 3-pt jump shot from 27 ft (assist by G. Dieng),,91,112
441,4,2:10.0,,Turnover by N. Hilário (palming),91,112
442,4,2:00.0,J. Okogie makes 3-pt jump shot from 26 ft (assist by G. Dieng),,94,112
443,4,1:35.0,,N. Hilário misses 2-pt hook shot from 9 ft,94,112
444,4,1:33.0,Defensive rebound by G. Dieng,,94,112
445,4,1:20.0,G. Dieng makes 3-pt jump shot from 24 ft,,97,112
446,4,1:11.0,,G. Green makes 3-pt jump shot from 27 ft (assist by I. Shumpert),97,115
447,4,1:00.0,J. Terrell misses 3-pt jump shot from 25 ft,,97,115
448,4,0:58.0,,Defensive rebound by I. Shumpert,97,115
449,4,0:55.0,,Turnover by I. Shumpert (lost ball; steal by G. Dieng),97,115
450,4,0:55.0,G. Dieng makes 2-pt dunk from 3 ft,,99,115
451,4,0:55.0,Shooting foul by I. Shumpert (drawn by G. Dieng),,99,115
452,4,0:55.0,G. Dieng makes free throw 1 of 1,,100,115
453,4,0:40.0,,G. Green misses 3-pt jump shot from 27 ft,100,115
454,4,0:39.0,Defensive rebound by C. Reynolds,,100,115
455,4,0:31.0,J. Okogie makes 2-pt dunk from 1 ft,,102,115
456,4,0:14.0,,D. House makes 2-pt layup from 2 ft,102,117
457,4,0:06.0,J. Okogie misses 3-pt jump shot from 25 ft,,102,117
458,4,0:04.0,,Defensive rebound by N. Hilário,102,117
