,QUARTER,TIME_REMAINING,TORONTO_ACTION,BOSTON_ACTION,TORONTO_SCORE,BOSTON_SCORE
0,1,11:47.0,D. Green misses 2-pt jump shot from 16 ft,,0,0
1,1,11:45.0,,Defensive rebound by A. Horford,0,0
2,1,11:32.0,,Turnover by K. Irving (bad pass; steal by K. Leonard),0,0
3,1,11:29.0,K. Leonard makes 2-pt dunk from 1 ft,,2,0
4,1,11:09.0,,A. Horford misses 2-pt hook shot from 6 ft,2,0
5,1,11:06.0,Defensive rebound by S. Ibaka,,2,0
6,1,11:02.0,K. Lowry misses 2-pt layup from 3 ft,,2,0
7,1,11:00.0,,Defensive rebound by M. Smart,2,0
8,1,10:54.0,,A. Horford makes 2-pt dunk from 1 ft (assist by K. Irving),2,2
9,1,10:37.0,D. Green makes 2-pt jump shot from 12 ft (assist by K. Lowry),,4,2
10,1,10:17.0,,M. Smart misses 2-pt layup from 2 ft,4,2
11,1,10:14.0,Defensive rebound by D. Green,,4,2
12,1,9:59.0,K. Leonard makes 3-pt jump shot from 26 ft,,7,2
13,1,9:45.0,,K. Irving makes 3-pt jump shot from 25 ft (assist by J. Tatum),7,5
14,1,9:31.0,K. Lowry misses 3-pt jump shot from 26 ft,,7,5
15,1,9:29.0,,Defensive rebound by A. Horford,7,5
16,1,9:19.0,,K. Irving misses 3-pt jump shot from 29 ft,7,5
17,1,9:18.0,Defensive rebound by S. Ibaka,,7,5
18,1,9:12.0,Personal foul by K. Irving (drawn by D. Green),,7,5
19,1,9:03.0,K. Leonard makes 2-pt layup from 2 ft,,9,5
20,1,8:48.0,,J. Tatum makes 2-pt jump shot from 15 ft,9,7
21,1,8:42.0,K. Lowry makes 2-pt layup from 4 ft,,11,7
22,1,8:42.0,Shooting foul by J. Tatum (drawn by K. Lowry),,11,7
23,1,8:42.0,K. Lowry makes free throw 1 of 1,,12,7
24,1,8:30.0,,M. Morris misses 3-pt jump shot from 27 ft,12,7
25,1,8:29.0,Defensive rebound by Team,,12,7
26,1,8:05.0,D. Green makes 2-pt layup from 4 ft (assist by K. Leonard),,14,7
27,1,7:53.0,,J. Tatum misses 2-pt jump shot from 21 ft,14,7
28,1,7:52.0,Defensive rebound by K. Leonard,,14,7
29,1,7:48.0,Personal foul by M. Smart (drawn by K. Leonard),,14,7
30,1,7:34.0,S. Ibaka makes 2-pt jump shot from 8 ft (assist by P. Siakam),,16,7
31,1,7:23.0,,Turnover by K. Irving (bad pass; steal by K. Leonard),16,7
32,1,7:18.0,P. Siakam makes 2-pt layup from 3 ft (assist by K. Lowry),,18,7
33,1,7:18.0,,Boston full timeout,18,7
34,1,7:05.0,,K. Irving makes 3-pt jump shot from 27 ft (assist by A. Horford),18,10
35,1,6:47.0,D. Green misses 3-pt jump shot from 27 ft,,18,10
36,1,6:46.0,,Defensive rebound by M. Morris,18,10
37,1,6:39.0,,Turnover by K. Irving (lost ball; steal by P. Siakam),18,10
38,1,6:36.0,Shooting foul by M. Morris (drawn by K. Leonard),,18,10
39,1,6:36.0,K. Leonard makes free throw 1 of 2,,19,10
40,1,6:36.0,K. Leonard makes free throw 2 of 2,,20,10
41,1,6:19.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by K. Irving),20,13
42,1,6:07.0,S. Ibaka misses 2-pt hook shot from 11 ft (block by A. Horford),,20,13
43,1,6:06.0,,Defensive rebound by J. Tatum,20,13
44,1,6:06.0,,G. Hayward enters the game for M. Smart,20,13
45,1,6:00.0,,J. Tatum makes 2-pt layup from 1 ft (assist by K. Irving),20,15
46,1,5:44.0,D. Green makes 3-pt jump shot from 26 ft (assist by P. Siakam),,23,15
47,1,5:36.0,,Personal foul by D. Green (drawn by K. Irving),23,15
48,1,5:26.0,,M. Morris misses 2-pt jump shot from 9 ft,23,15
49,1,5:24.0,Defensive rebound by K. Lowry,,23,15
50,1,5:21.0,K. Lowry misses 3-pt jump shot from 27 ft,,23,15
51,1,5:19.0,,Defensive rebound by J. Tatum,23,15
52,1,5:09.0,,K. Irving misses 2-pt jump shot from 5 ft,23,15
53,1,5:08.0,Defensive rebound by Team,,23,15
54,1,5:00.0,S. Ibaka misses 3-pt jump shot from 26 ft,,23,15
55,1,4:56.0,,Defensive rebound by J. Tatum,23,15
56,1,4:50.0,,J. Tatum misses 2-pt layup from 2 ft,23,15
57,1,4:49.0,,Offensive rebound by A. Horford,23,15
58,1,4:44.0,,G. Hayward makes 2-pt jump shot from 12 ft (assist by K. Irving),23,17
