,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:35.0,C. Osman makes 3-pt jump shot from 26 ft,,3,0
1,1,11:13.0,,K. Huerter misses 3-pt jump shot from 27 ft,3,0
2,1,11:08.0,,Offensive rebound by A. Len,3,0
3,1,11:08.0,,A. Len misses 2-pt layup at rim,3,0
4,1,11:08.0,,Offensive rebound by A. Len,3,0
5,1,11:06.0,,A. Len misses 2-pt layup at rim,3,0
6,1,11:05.0,Defensive rebound by L. Nance,,3,0
7,1,11:00.0,C. Osman makes 2-pt jump shot from 18 ft,,5,0
8,1,10:46.0,,A. Len makes 2-pt dunk from 1 ft (assist by J. Collins),5,2
9,1,10:33.0,C. Sexton misses 2-pt jump shot from 13 ft,,5,2
10,1,10:31.0,,Defensive rebound by A. Len,5,2
11,1,10:26.0,,Turnover by T. Young (bad pass),5,2
12,1,10:06.0,L. Nance makes 2-pt layup from 6 ft (assist by A. Burks),,7,2
13,1,9:53.0,,Personal foul by A. Burks (drawn by T. Young),7,2
14,1,9:48.0,,T. Young misses 2-pt jump shot from 19 ft,7,2
15,1,9:44.0,Defensive rebound by L. Nance,,7,2
16,1,9:24.0,Shooting foul by J. Collins (drawn by C. Sexton),,7,2
17,1,9:24.0,C. Sexton makes free throw 1 of 2,,8,2
18,1,9:24.0,C. Sexton makes free throw 2 of 2,,9,2
19,1,9:12.0,,T. Young misses 2-pt jump shot from 10 ft (block by L. Nance),9,2
20,1,9:08.0,,Offensive rebound by J. Collins,9,2
21,1,9:05.0,,A. Len misses 3-pt jump shot from 23 ft,9,2
22,1,9:02.0,,Offensive rebound by J. Collins,9,2
23,1,9:01.0,,J. Collins makes 2-pt jump shot from 10 ft,9,4
24,1,8:46.0,C. Sexton misses 2-pt jump shot from 20 ft,,9,4
25,1,8:42.0,,Defensive rebound by J. Collins,9,4
26,1,8:35.0,,K. Bazemore misses 2-pt layup from 2 ft,9,4
27,1,8:34.0,Defensive rebound by Team,,9,4
28,1,8:34.0,,J. Lin enters the game for T. Young,9,4
29,1,8:16.0,A. Burks misses 2-pt jump shot from 20 ft,,9,4
30,1,8:11.0,,Defensive rebound by K. Bazemore,9,4
31,1,8:08.0,,J. Lin makes 2-pt layup from 1 ft (assist by J. Collins),9,6
