,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,DENVER_ACTION,LA CLIPPERS_SCORE,DENVER_SCORE
88,1,0:43.0,,T. Lyles misses 2-pt layup from 6 ft (block by M. Scott),22,33
89,1,0:42.0,,Offensive rebound by Team,22,33
90,1,0:36.0,,M. Plumlee makes 2-pt hook shot from 5 ft,22,35
91,1,0:31.0,M. Scott makes 3-pt jump shot from 22 ft (assist by L. Williams),,25,35
92,1,0:09.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by T. Lyles),25,37
93,1,0:00.0,M. Scott misses 2-pt jump shot from 18 ft (block by T. Craig),,25,37
94,1,0:00.0,Offensive rebound by Team,,25,37
95,2,11:48.0,,M. Morris misses 2-pt jump shot from 7 ft,25,37
96,2,11:46.0,,Offensive rebound by M. Morris,25,37
97,2,11:45.0,,M. Morris misses 2-pt layup from 4 ft (block by P. Beverley),25,37
98,2,11:45.0,,Offensive rebound by M. Morris,25,37
99,2,11:40.0,,T. Craig makes 3-pt jump shot from 25 ft (assist by M. Morris),25,40
100,2,11:22.0,M. Scott misses 2-pt layup from 3 ft (block by J. Hernangómez),,25,40
101,2,11:22.0,Offensive rebound by Team,,25,40
102,2,11:19.0,L. Williams makes 2-pt jump shot from 6 ft (assist by P. Beverley),,27,40
103,2,11:05.0,,T. Lyles misses 2-pt jump shot from 9 ft,27,40
104,2,11:01.0,Defensive rebound by M. Harrell,,27,40
105,2,11:00.0,Shooting foul by J. Hernangómez (drawn by T. Wallace),,27,40
106,2,11:00.0,T. Wallace makes free throw 1 of 2,,28,40
107,2,11:00.0,T. Wallace misses free throw 2 of 2,,28,40
108,2,10:57.0,,Defensive rebound by J. Hernangómez,28,40
109,2,10:37.0,,M. Morris misses 2-pt jump shot from 15 ft (block by M. Harrell),28,40
110,2,10:35.0,,Offensive rebound by M. Plumlee,28,40
111,2,10:35.0,,M. Plumlee misses 2-pt layup from 1 ft,28,40
112,2,10:34.0,Defensive rebound by P. Beverley,,28,40
113,2,10:31.0,M. Harrell makes 2-pt dunk from 2 ft (assist by P. Beverley),,30,40
114,2,10:14.0,,Personal foul by M. Scott (drawn by M. Plumlee),30,40
115,2,10:07.0,,M. Morris makes 2-pt jump shot from 11 ft (assist by J. Hernangómez),30,42
116,2,9:51.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,32,42
117,2,9:34.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by M. Morris),32,44
118,2,9:24.0,L. Williams makes 2-pt layup from 2 ft,,34,44
119,2,9:23.0,,Denver full timeout,34,44
120,2,9:23.0,,J. Murray enters the game for J. Hernangómez,34,44
121,2,9:11.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by M. Morris),34,47
122,2,8:45.0,L. Williams misses 2-pt jump shot from 17 ft,,34,47
123,2,8:42.0,,Defensive rebound by J. Murray,34,47
124,2,8:30.0,,J. Murray misses 2-pt jump shot from 8 ft (block by P. Beverley),34,47
125,2,8:30.0,Defensive rebound by Team,,34,47
126,2,8:18.0,Turnover by L. Williams (bad pass),,34,47
127,2,8:18.0,D. Gallinari enters the game for M. Scott,,34,47
128,2,8:18.0,,M. Beasley enters the game for T. Craig,34,47
129,2,8:04.0,,M. Beasley misses 2-pt jump shot from 11 ft (block by P. Beverley),34,47
130,2,8:01.0,,Offensive rebound by M. Beasley,34,47
131,2,7:56.0,,M. Morris makes 3-pt jump shot from 25 ft,34,50
132,2,7:40.0,L. Williams makes 2-pt jump shot from 14 ft,,36,50
133,2,7:40.0,Shooting foul by T. Lyles (drawn by L. Williams),,36,50
134,2,7:40.0,A. Bradley enters the game for P. Beverley,,36,50
135,2,7:40.0,T. Harris enters the game for T. Wallace,,36,50
136,2,7:40.0,,N. Jokić enters the game for M. Plumlee,36,50
137,2,7:40.0,L. Williams makes free throw 1 of 1,,37,50
138,2,7:24.0,,J. Murray misses 2-pt jump shot from 6 ft,37,50
139,2,7:22.0,,Offensive rebound by J. Murray,37,50
140,2,7:20.0,,T. Lyles misses 2-pt jump shot from 18 ft,37,50
141,2,7:16.0,Defensive rebound by M. Harrell,,37,50
142,2,7:06.0,T. Harris makes 2-pt jump shot from 15 ft (assist by D. Gallinari),,39,50
143,2,6:50.0,,M. Morris misses 3-pt jump shot from 25 ft,39,50
144,2,6:47.0,Defensive rebound by T. Harris,,39,50
145,2,6:42.0,Turnover by M. Harrell (bad pass),,39,50
146,2,6:42.0,,P. Millsap enters the game for T. Lyles,39,50
147,2,6:19.0,,J. Murray makes 2-pt jump shot from 20 ft,39,52
148,2,6:10.0,M. Harrell makes 2-pt layup from 3 ft (assist by L. Williams),,41,52
149,2,5:52.0,,M. Beasley misses 3-pt jump shot from 25 ft,41,52
150,2,5:50.0,Defensive rebound by D. Gallinari,,41,52
151,2,5:32.0,D. Gallinari makes 2-pt dunk from 1 ft,,43,52
152,2,5:32.0,Shooting foul by P. Millsap (drawn by D. Gallinari),,43,52
153,2,5:32.0,,Denver full timeout,43,52
154,2,5:32.0,M. Gortat enters the game for M. Harrell,,43,52
155,2,5:32.0,D. Gallinari makes free throw 1 of 1,,44,52
156,2,5:14.0,,J. Murray misses 3-pt jump shot from 26 ft,44,52
157,2,5:11.0,Defensive rebound by T. Harris,,44,52
158,2,5:05.0,L. Williams misses 2-pt jump shot from 5 ft,,44,52
159,2,5:03.0,,Defensive rebound by P. Millsap,44,52
160,2,4:44.0,,M. Beasley makes 2-pt jump shot from 17 ft (assist by N. Jokić),44,54
161,2,4:20.0,M. Gortat makes 2-pt hook shot from 6 ft (assist by L. Williams),,46,54
162,2,3:57.0,,Turnover by P. Millsap (lost ball; steal by D. Gallinari),46,54
163,2,3:45.0,T. Harris makes 2-pt jump shot from 6 ft,,48,54
164,2,3:34.0,,Personal foul by M. Gortat (drawn by N. Jokić),48,54
165,2,3:34.0,,T. Craig enters the game for M. Morris,48,54
166,2,3:19.0,,J. Murray makes 3-pt jump shot from 25 ft,48,57
167,2,2:59.0,A. Bradley misses 3-pt jump shot from 24 ft,,48,57
168,2,2:58.0,Offensive rebound by Team,,48,57
169,2,2:44.0,A. Bradley makes 2-pt layup from 2 ft (assist by D. Gallinari),,50,57
170,2,2:44.0,,Violation by Team (def goaltending),50,57
171,2,2:19.0,,P. Millsap misses 2-pt jump shot from 7 ft,50,57
172,2,2:18.0,Defensive rebound by T. Harris,,50,57
173,2,2:06.0,M. Gortat makes 2-pt layup from 1 ft (assist by D. Gallinari),,52,57
174,2,1:59.0,,Personal foul by A. Bradley (drawn by J. Murray),52,57
175,2,1:59.0,S. Gilgeous-Alexander enters the game for L. Williams,,52,57
176,2,1:59.0,,J. Hernangómez enters the game for P. Millsap,52,57
177,2,1:44.0,,N. Jokić makes 2-pt hook shot from 2 ft,52,59
178,2,1:27.0,S. Gilgeous-Alexander misses 2-pt jump shot from 15 ft,,52,59
179,2,1:25.0,,Defensive rebound by N. Jokić,52,59
180,2,1:16.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),52,61
181,2,1:07.0,Shooting foul by N. Jokić (drawn by T. Harris),,52,61
182,2,1:07.0,T. Harris makes free throw 1 of 2,,53,61
183,2,1:07.0,,M. Plumlee enters the game for N. Jokić,53,61
184,2,1:07.0,T. Harris makes free throw 2 of 2,,54,61
185,2,0:48.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Beasley),54,63
186,2,0:48.0,,Shooting foul by S. Gilgeous-Alexander (drawn by M. Plumlee),54,63
187,2,0:48.0,,M. Plumlee misses free throw 1 of 1,54,63
188,2,0:47.0,Defensive rebound by T. Harris,,54,63
189,2,0:35.0,Turnover by M. Gortat (bad pass; steal by T. Craig),,54,63
190,2,0:30.0,,T. Craig makes 2-pt dunk from 1 ft (assist by M. Plumlee),54,65
191,2,0:10.0,A. Bradley misses 3-pt jump shot from 22 ft,,54,65
192,2,0:08.0,,Defensive rebound by M. Plumlee,54,65
193,3,11:37.0,,N. Jokić misses 3-pt jump shot from 26 ft,54,65
194,3,11:35.0,Defensive rebound by Team,,54,65
195,3,11:18.0,D. Gallinari makes 2-pt jump shot from 9 ft,,56,65
196,3,11:01.0,,N. Jokić misses 3-pt jump shot from 26 ft,56,65
197,3,10:56.0,Defensive rebound by S. Gilgeous-Alexander,,56,65
198,3,10:50.0,T. Harris makes 2-pt jump shot from 7 ft,,58,65
199,3,10:30.0,,N. Jokić makes 2-pt jump shot from 10 ft (assist by M. Beasley),58,67
200,3,10:19.0,Personal foul by P. Millsap (drawn by D. Gallinari),,58,67
201,3,10:07.0,T. Harris makes 2-pt jump shot from 13 ft,,60,67
202,3,10:06.0,,Denver full timeout,60,67
203,3,9:47.0,,P. Millsap makes 2-pt dunk from 1 ft,60,69
204,3,9:27.0,D. Gallinari misses 2-pt jump shot from 15 ft,,60,69
205,3,9:26.0,,Defensive rebound by P. Millsap,60,69
206,3,9:17.0,,P. Millsap misses 2-pt layup from 5 ft,60,69
207,3,9:16.0,Defensive rebound by M. Gortat,,60,69
208,3,9:06.0,Turnover by D. Gallinari (bad pass; steal by M. Beasley),,60,69
209,3,8:56.0,,J. Murray makes 2-pt jump shot from 6 ft (assist by N. Jokić),60,71
210,3,8:42.0,A. Bradley misses 3-pt jump shot from 25 ft,,60,71
211,3,8:40.0,,Defensive rebound by N. Jokić,60,71
212,3,8:37.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),60,73
213,3,8:22.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by T. Craig),,60,73
214,3,8:21.0,,Turnover by T. Craig (bad pass; steal by S. Gilgeous-Alexander),60,73
215,3,8:04.0,D. Gallinari misses 2-pt jump shot from 20 ft,,60,73
216,3,8:00.0,,Defensive rebound by T. Craig,60,73
217,3,7:55.0,,N. Jokić makes 2-pt hook shot from 2 ft (assist by J. Murray),60,75
218,3,7:55.0,LA Clippers full timeout,,60,75
219,3,7:55.0,P. Beverley enters the game for S. Gilgeous-Alexander,,60,75
220,3,7:39.0,T. Harris misses 2-pt layup from 5 ft,,60,75
221,3,7:36.0,,Defensive rebound by T. Craig,60,75
222,3,7:33.0,,T. Craig makes 2-pt layup from 2 ft,60,77
223,3,7:17.0,T. Harris misses 2-pt jump shot from 23 ft,,60,77
224,3,7:15.0,,Defensive rebound by N. Jokić,60,77
225,3,6:55.0,,P. Millsap misses 2-pt jump shot from 15 ft,60,77
226,3,6:52.0,Defensive rebound by T. Harris,,60,77
227,3,6:37.0,Shooting foul by P. Millsap (drawn by D. Gallinari),,60,77
228,3,6:37.0,D. Gallinari misses free throw 1 of 2,,60,77
229,3,6:37.0,Offensive rebound by Team,,60,77
230,3,6:37.0,D. Gallinari misses free throw 2 of 2,,60,77
231,3,6:35.0,,Defensive rebound by N. Jokić,60,77
232,3,6:31.0,,Personal foul by M. Gortat (drawn by N. Jokić),60,77
233,3,6:31.0,M. Harrell enters the game for D. Gallinari,,60,77
234,3,6:31.0,L. Williams enters the game for M. Gortat,,60,77
235,3,6:19.0,,N. Jokić misses 2-pt layup from 4 ft (block by T. Harris),60,77
236,3,6:15.0,Defensive rebound by T. Harris,,60,77
237,3,6:14.0,T. Harris makes 2-pt layup from 1 ft,,62,77
238,3,6:04.0,,J. Murray misses 3-pt jump shot from 26 ft,62,77
239,3,5:56.0,Defensive rebound by A. Bradley,,62,77
240,3,5:54.0,L. Williams makes 3-pt jump shot from 25 ft (assist by T. Harris),,65,77
241,3,5:33.0,,N. Jokić misses 2-pt jump shot from 3 ft,65,77
242,3,5:32.0,,Offensive rebound by N. Jokić,65,77
243,3,5:32.0,,N. Jokić misses 2-pt layup from 2 ft,65,77
244,3,5:31.0,,Offensive rebound by N. Jokić,65,77
245,3,5:31.0,,N. Jokić misses 2-pt layup from 2 ft,65,77
246,3,5:31.0,,Offensive rebound by N. Jokić,65,77
247,3,5:30.0,,N. Jokić makes 2-pt layup at rim,65,79
248,3,5:22.0,L. Williams misses 2-pt jump shot from 19 ft (block by N. Jokić),,65,79
249,3,5:21.0,,Defensive rebound by N. Jokić,65,79
250,3,5:19.0,,Personal foul by M. Harrell (drawn by N. Jokić),65,79
251,3,5:00.0,,Turnover by J. Murray (lost ball; steal by A. Bradley),65,79
252,3,4:53.0,M. Harrell makes 2-pt layup from 3 ft,,67,79
253,3,4:41.0,,N. Jokić makes 2-pt jump shot from 8 ft,67,81
254,3,4:41.0,,Shooting foul by M. Harrell (drawn by N. Jokić),67,81
255,3,4:41.0,,N. Jokić makes free throw 1 of 1,67,82
256,3,4:31.0,L. Williams misses 3-pt jump shot from 23 ft,,67,82
257,3,4:28.0,,Defensive rebound by N. Jokić,67,82
258,3,4:21.0,,Turnover by J. Murray (lost ball; steal by A. Bradley),67,82
259,3,4:15.0,L. Williams misses 2-pt layup from 3 ft,,67,82
260,3,4:14.0,,Defensive rebound by N. Jokić,67,82
261,3,4:09.0,,P. Millsap misses 3-pt jump shot from 24 ft,67,82
262,3,4:05.0,Defensive rebound by A. Bradley,,67,82
263,3,3:58.0,Personal foul by J. Murray (drawn by T. Harris),,67,82
264,3,3:58.0,,M. Morris enters the game for J. Murray,67,82
265,3,3:49.0,P. Beverley misses 3-pt jump shot from 23 ft,,67,82
266,3,3:47.0,,Defensive rebound by P. Millsap,67,82
267,3,3:35.0,,T. Craig misses 2-pt layup from 2 ft,67,82
268,3,3:31.0,Defensive rebound by M. Harrell,,67,82
269,3,3:23.0,M. Harrell makes 2-pt layup from 3 ft (assist by T. Harris),,69,82
270,3,3:03.0,,N. Jokić misses 3-pt jump shot from 24 ft,69,82
271,3,2:59.0,Defensive rebound by P. Beverley,,69,82
272,3,2:58.0,M. Harrell makes 2-pt dunk from 1 ft (assist by P. Beverley),,71,82
273,3,2:37.0,,T. Craig misses 2-pt layup from 2 ft,71,82
274,3,2:35.0,Defensive rebound by Team,,71,82
275,3,2:35.0,,Loose ball foul by T. Craig (drawn by M. Harrell),71,82
276,3,2:35.0,D. Gallinari enters the game for T. Harris,,71,82
277,3,2:35.0,,T. Lyles enters the game for N. Jokić,71,82
278,3,2:35.0,,M. Plumlee enters the game for P. Millsap,71,82
279,3,2:18.0,P. Beverley misses 3-pt jump shot from 23 ft,,71,82
280,3,2:13.0,,Defensive rebound by M. Plumlee,71,82
281,3,2:07.0,,Personal foul by M. Harrell (drawn by T. Lyles),71,82
282,3,2:01.0,,M. Plumlee makes 2-pt hook shot from 4 ft (assist by M. Beasley),71,84
283,3,1:42.0,A. Bradley misses 3-pt jump shot from 23 ft,,71,84
284,3,1:38.0,,Defensive rebound by T. Craig,71,84
285,3,1:38.0,LA Clippers full timeout,,71,84
286,3,1:38.0,B. Marjanović enters the game for A. Bradley,,71,84
287,3,1:38.0,T. Wallace enters the game for M. Harrell,,71,84
288,3,1:38.0,,J. Murray enters the game for M. Beasley,71,84
289,3,1:22.0,,J. Murray makes 2-pt jump shot from 10 ft,71,86
290,3,1:04.0,D. Gallinari misses 3-pt jump shot from 24 ft,,71,86
291,3,1:03.0,,Defensive rebound by J. Murray,71,86
292,3,0:58.0,,Personal foul by L. Williams (drawn by M. Plumlee),71,86
293,3,0:58.0,,M. Plumlee makes free throw 1 of 2,71,87
294,3,0:58.0,,M. Plumlee makes free throw 2 of 2,71,88
295,3,0:55.0,Personal foul by T. Craig (drawn by L. Williams),,71,88
296,3,0:55.0,Offensive rebound by Team,,71,88
297,3,0:55.0,L. Williams misses free throw 1 of 2,,71,88
298,3,0:55.0,L. Williams makes free throw 2 of 2,,72,88
299,3,0:37.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),72,90
300,3,0:31.0,L. Williams makes 2-pt layup from 3 ft,,74,90
301,3,0:12.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Plumlee),74,93
302,3,0:03.0,B. Marjanović misses 2-pt jump shot from 3 ft,,74,93
303,3,0:00.0,Offensive rebound by D. Gallinari,,74,93
304,3,0:00.0,D. Gallinari misses 2-pt layup from 1 ft,,74,93
305,3,0:00.0,Offensive rebound by D. Gallinari,,74,93
306,3,0:00.0,D. Gallinari misses 2-pt layup from 1 ft,,74,93
307,3,0:00.0,Offensive rebound by T. Wallace,,74,93
308,3,0:00.0,T. Wallace makes 2-pt jump shot from 23 ft,,76,93
309,4,11:50.0,D. Gallinari misses 3-pt jump shot from 25 ft,,76,93
310,4,11:44.0,,Defensive rebound by M. Plumlee,76,93
311,4,11:31.0,,T. Lyles misses 3-pt jump shot from 25 ft,76,93
312,4,11:29.0,,Offensive rebound by M. Plumlee,76,93
313,4,11:26.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,76,93
314,4,11:24.0,,Offensive rebound by Team,76,93
315,4,11:24.0,Loose ball foul by M. Scott (drawn by T. Lyles),,76,93
316,4,11:12.0,,T. Lyles makes 2-pt hook shot from 7 ft,76,95
317,4,11:03.0,Shooting foul by M. Morris (drawn by D. Gallinari),,76,95
318,4,11:03.0,D. Gallinari misses free throw 1 of 2,,76,95
319,4,11:03.0,Offensive rebound by Team,,76,95
320,4,11:03.0,D. Gallinari makes free throw 2 of 2,,77,95
321,4,10:45.0,,M. Morris misses 3-pt jump shot from 24 ft,77,95
322,4,10:43.0,Defensive rebound by P. Beverley,,77,95
323,4,10:37.0,L. Williams misses 3-pt jump shot from 27 ft,,77,95
324,4,10:34.0,,Defensive rebound by J. Hernangómez,77,95
325,4,10:28.0,,T. Lyles misses 3-pt jump shot from 25 ft,77,95
326,4,10:25.0,Defensive rebound by T. Wallace,,77,95
327,4,10:19.0,T. Wallace makes 2-pt layup from 6 ft,,79,95
328,4,10:01.0,,M. Morris makes 2-pt jump shot from 6 ft (assist by M. Beasley),79,97
329,4,9:51.0,M. Scott misses 3-pt jump shot from 25 ft,,79,97
330,4,9:48.0,,Defensive rebound by M. Plumlee,79,97
331,4,9:43.0,,M. Beasley misses 2-pt layup from 2 ft,79,97
332,4,9:43.0,,Offensive rebound by M. Plumlee,79,97
333,4,9:43.0,,Shooting foul by M. Scott (drawn by M. Plumlee),79,97
334,4,9:43.0,,M. Plumlee misses free throw 1 of 2,79,97
335,4,9:43.0,,Offensive rebound by Team,79,97
336,4,9:43.0,T. Harris enters the game for P. Beverley,,79,97
337,4,9:43.0,,M. Plumlee makes free throw 2 of 2,79,98
338,4,9:38.0,L. Williams misses 2-pt layup from 9 ft (block by M. Plumlee),,79,98
339,4,9:38.0,,Defensive rebound by Team,79,98
340,4,9:20.0,,M. Beasley makes 2-pt layup from 3 ft,79,100
341,4,9:20.0,,Violation by Team (delay of game),79,100
342,4,9:15.0,Shooting foul by M. Plumlee (drawn by L. Williams),,79,100
343,4,9:15.0,L. Williams makes free throw 1 of 2,,80,100
344,4,9:15.0,M. Harrell enters the game for M. Scott,,80,100
345,4,9:15.0,L. Williams makes free throw 2 of 2,,81,100
346,4,9:03.0,,M. Morris makes 2-pt jump shot from 6 ft,81,102
347,4,8:46.0,L. Williams makes 2-pt jump shot from 11 ft (assist by T. Wallace),,83,102
348,4,8:27.0,,M. Morris misses 2-pt jump shot from 7 ft,83,102
349,4,8:25.0,Defensive rebound by T. Harris,,83,102
350,4,8:19.0,L. Williams misses 2-pt jump shot from 20 ft,,83,102
351,4,8:16.0,M. Harrell misses 2-pt layup from 3 ft (block by T. Lyles),,83,102
352,4,8:16.0,Offensive rebound by M. Harrell,,83,102
353,4,8:14.0,,Defensive rebound by T. Lyles,83,102
354,4,8:12.0,,M. Beasley misses 3-pt jump shot from 24 ft,83,102
355,4,8:12.0,Defensive rebound by T. Wallace,,83,102
356,4,8:08.0,Personal foul by M. Morris (drawn by T. Wallace),,83,102
357,4,8:08.0,S. Gilgeous-Alexander enters the game for L. Williams,,83,102
358,4,8:02.0,D. Gallinari makes 2-pt jump shot from 18 ft,,85,102
359,4,8:02.0,Shooting foul by M. Plumlee (drawn by D. Gallinari),,85,102
360,4,8:02.0,D. Gallinari makes free throw 1 of 1,,86,102
361,4,7:41.0,,T. Lyles misses 2-pt hook shot from 5 ft,86,102
362,4,7:38.0,Defensive rebound by S. Gilgeous-Alexander,,86,102
363,4,7:32.0,T. Harris misses 2-pt layup from 4 ft (block by J. Hernangómez),,86,102
364,4,7:31.0,,Defensive rebound by M. Plumlee,86,102
365,4,7:25.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),86,105
366,4,7:25.0,LA Clippers full timeout,,86,105
367,4,7:25.0,,N. Jokić enters the game for M. Beasley,86,105
368,4,7:25.0,,J. Murray enters the game for M. Plumlee,86,105
369,4,7:10.0,D. Gallinari misses 2-pt jump shot from 16 ft,,86,105
370,4,7:07.0,,Defensive rebound by N. Jokić,86,105
371,4,6:49.0,,N. Jokić misses 2-pt layup from 2 ft,86,105
372,4,6:48.0,Defensive rebound by M. Harrell,,86,105
373,4,6:43.0,D. Gallinari misses 3-pt jump shot from 24 ft,,86,105
374,4,6:40.0,,Defensive rebound by J. Hernangómez,86,105
375,4,6:36.0,,Personal foul by M. Harrell (drawn by N. Jokić),86,105
376,4,6:36.0,P. Beverley enters the game for T. Wallace,,86,105
377,4,6:29.0,,N. Jokić makes 2-pt layup at rim,86,107
