,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PHILADELPHIA_ACTION,CHARLOTTE_SCORE,PHILADELPHIA_SCORE
0,1,11:40.0,M. Kidd-Gilchrist makes 2-pt dunk from 1 ft (assist by D. Howard),,2,0
1,1,11:29.0,,B. Simmons makes 2-pt layup from 4 ft,2,2
2,1,11:13.0,M. Williams makes 2-pt jump shot from 9 ft (assist by N. Batum),,4,2
3,1,11:00.0,,J. Embiid makes 3-pt jump shot from 27 ft (assist by B. Simmons),4,5
4,1,10:43.0,Personal foul by J. Embiid (drawn by D. Howard),,4,5
5,1,10:30.0,M. Kidd-Gilchrist misses 2-pt jump shot from 16 ft,,4,5
6,1,10:27.0,Offensive rebound by N. Batum,,4,5
7,1,10:25.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,4,5
8,1,10:25.0,,Defensive rebound by J. Embiid,4,5
9,1,10:14.0,,R. Covington makes 2-pt layup from 2 ft (assist by B. Simmons),4,7
10,1,10:00.0,K. Walker makes 2-pt jump shot from 9 ft,,6,7
11,1,9:53.0,,Shooting foul by M. Kidd-Gilchrist (drawn by B. Simmons),6,7
12,1,9:53.0,,B. Simmons makes free throw 1 of 2,6,8
13,1,9:53.0,,B. Simmons makes free throw 2 of 2,6,9
14,1,9:36.0,D. Howard makes 2-pt dunk from 1 ft (assist by N. Batum),,8,9
15,1,9:18.0,,J. Embiid misses 2-pt jump shot from 22 ft,8,9
16,1,9:17.0,Defensive rebound by N. Batum,,8,9
17,1,9:03.0,Turnover by D. Howard (lost ball; steal by R. Covington),,8,9
18,1,8:56.0,,B. Simmons misses 2-pt layup from 6 ft,8,9
19,1,8:55.0,,Offensive rebound by D. Šarić,8,9
20,1,8:48.0,,Personal foul by D. Howard (drawn by J. Embiid),8,9
21,1,8:42.0,,D. Šarić makes 2-pt layup from 2 ft (assist by R. Covington),8,11
22,1,8:30.0,N. Batum makes 3-pt jump shot from 23 ft (assist by K. Walker),,11,11
23,1,8:17.0,,Personal foul by D. Howard (drawn by J. Embiid),11,11
24,1,8:17.0,,M. Belinelli enters the game for J. Redick,11,11
25,1,8:11.0,,M. Belinelli misses 2-pt jump shot from 18 ft,11,11
26,1,8:11.0,Defensive rebound by Team,,11,11
27,1,8:11.0,,Loose ball foul by D. Šarić (drawn by M. Williams),11,11
28,1,7:59.0,N. Batum misses 2-pt jump shot from 15 ft,,11,11
29,1,7:56.0,,Defensive rebound by B. Simmons,11,11
30,1,7:41.0,,D. Šarić makes 2-pt jump shot from 4 ft,11,13
31,1,7:22.0,K. Walker makes 2-pt jump shot from 18 ft,,13,13
32,1,7:20.0,,Philadelphia full timeout,13,13
33,1,7:20.0,,R. Holmes enters the game for J. Embiid,13,13
34,1,7:04.0,,Personal foul by M. Williams (drawn by D. Šarić),13,13
35,1,6:49.0,,Turnover by Team (shot clock),13,13
36,1,6:39.0,N. Batum makes 3-pt jump shot from 25 ft (assist by K. Walker),,16,13
37,1,6:20.0,,B. Simmons makes 2-pt jump shot from 12 ft,16,15
38,1,6:03.0,K. Walker makes 2-pt jump shot from 17 ft,,18,15
39,1,5:52.0,,B. Simmons makes 2-pt layup from 1 ft,18,17
40,1,5:37.0,K. Walker misses 2-pt layup from 6 ft (block by R. Holmes),,18,17
41,1,5:34.0,,Defensive rebound by D. Šarić,18,17
42,1,5:31.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),18,20
43,1,5:30.0,Charlotte full timeout,,18,20
44,1,5:30.0,,T. McConnell enters the game for R. Covington,18,20
45,1,5:11.0,M. Kidd-Gilchrist misses 2-pt hook shot from 10 ft,,18,20
46,1,5:08.0,,Defensive rebound by R. Holmes,18,20
47,1,5:03.0,,B. Simmons misses 2-pt jump shot from 11 ft,18,20
48,1,5:01.0,Defensive rebound by N. Batum,,18,20
49,1,5:01.0,Personal foul by R. Holmes (drawn by M. Kidd-Gilchrist),,18,20
50,1,4:49.0,K. Walker makes 3-pt jump shot from 26 ft (assist by D. Howard),,21,20
51,1,4:31.0,,M. Belinelli makes 2-pt layup from 3 ft,21,22
52,1,4:13.0,K. Walker makes 3-pt jump shot from 25 ft (assist by M. Kidd-Gilchrist),,24,22
53,1,4:12.0,,Philadelphia full timeout,24,22
54,1,4:12.0,,E. İlyasova enters the game for D. Šarić,24,22
55,1,4:12.0,F. Kaminsky enters the game for M. Williams,,24,22
56,1,4:12.0,,J. Redick enters the game for B. Simmons,24,22
57,1,4:12.0,J. Lamb enters the game for M. Kidd-Gilchrist,,24,22
58,1,4:03.0,,J. Redick misses 2-pt jump shot from 14 ft,24,22
59,1,4:01.0,Defensive rebound by F. Kaminsky,,24,22
60,1,3:49.0,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by K. Walker),,27,22
61,1,3:36.0,,J. Embiid enters the game for R. Holmes,27,22
62,1,3:29.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by J. Redick),27,25
63,1,3:07.0,Turnover by N. Batum (traveling),,27,25
64,1,3:07.0,,T. Luwawu-Cabarrot enters the game for M. Belinelli,27,25
65,1,2:53.0,,E. İlyasova misses 2-pt layup from 3 ft,27,25
66,1,2:50.0,Defensive rebound by D. Howard,,27,25
67,1,2:45.0,J. Lamb misses 3-pt jump shot from 25 ft,,27,25
68,1,2:41.0,,Defensive rebound by J. Embiid,27,25
69,1,2:24.0,,E. İlyasova misses 3-pt jump shot from 25 ft,27,25
70,1,2:24.0,,Offensive rebound by J. Embiid,27,25
71,1,2:21.0,,Shooting foul by D. Howard (drawn by J. Embiid),27,25
72,1,2:21.0,,J. Embiid makes free throw 1 of 2,27,26
73,1,2:21.0,W. Hernangómez enters the game for D. Howard,,27,26
74,1,2:21.0,,J. Embiid misses free throw 2 of 2,27,26
75,1,2:21.0,M. Carter-Williams enters the game for K. Walker,,27,26
76,1,2:15.0,Offensive rebound by W. Hernangómez,,27,26
77,1,2:10.0,Shooting foul by T. Luwawu-Cabarrot (drawn by N. Batum),,27,26
78,1,2:10.0,N. Batum makes free throw 1 of 2,,28,26
79,1,2:10.0,N. Batum misses free throw 2 of 2,,28,26
80,1,2:08.0,,Defensive rebound by J. Embiid,28,26
81,1,1:48.0,,J. Embiid misses 2-pt layup from 3 ft,28,26
82,1,1:46.0,Defensive rebound by N. Batum,,28,26
