,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:42.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),0,2
1,1,11:25.0,S. Johnson misses 2-pt jump shot from 13 ft,,0,2
2,1,11:22.0,,Defensive rebound by J. Ingles,0,2
3,1,11:11.0,,R. Rubio misses 3-pt jump shot from 25 ft,0,2
4,1,11:08.0,Defensive rebound by A. Drummond,,0,2
5,1,10:58.0,Offensive foul by S. Johnson (drawn by D. Mitchell),,0,2
6,1,10:58.0,Turnover by S. Johnson (offensive foul),,0,2
7,1,10:40.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),0,4
8,1,10:28.0,Shooting foul by D. Mitchell (drawn by J. Ennis),,0,4
9,1,10:28.0,J. Ennis misses free throw 1 of 2,,0,4
10,1,10:28.0,Offensive rebound by Team,,0,4
11,1,10:28.0,J. Ennis makes free throw 2 of 2,,1,4
12,1,10:06.0,,Turnover by D. Favors (bad pass; steal by I. Smith),1,4
13,1,9:54.0,A. Drummond makes 2-pt layup from 3 ft,,3,4
14,1,9:31.0,,J. Ingles makes 2-pt jump shot from 20 ft,3,6
15,1,9:08.0,B. Griffin misses 3-pt jump shot from 26 ft,,3,6
16,1,9:04.0,,Defensive rebound by D. Mitchell,3,6
17,1,8:52.0,,D. Favors makes 3-pt jump shot from 22 ft (assist by R. Rubio),3,9
18,1,8:42.0,Offensive foul by A. Drummond (drawn by D. Favors),,3,9
19,1,8:42.0,Turnover by A. Drummond (offensive foul),,3,9
20,1,8:28.0,,D. Mitchell misses 3-pt jump shot from 25 ft,3,9
21,1,8:24.0,,Offensive rebound by D. Favors,3,9
22,1,8:22.0,,D. Favors makes 2-pt layup at rim,3,11
23,1,8:17.0,Detroit full timeout,,3,11
24,1,8:09.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by I. Smith),,5,11
25,1,7:53.0,,Personal foul by I. Smith (drawn by R. Gobert),5,11
26,1,7:39.0,,R. Rubio misses 3-pt jump shot from 39 ft,5,11
27,1,7:38.0,,Offensive rebound by Team,5,11
28,1,7:38.0,,Turnover by Team (shot clock),5,11
29,1,7:27.0,B. Griffin makes 2-pt jump shot from 17 ft,,7,11
30,1,7:08.0,,D. Favors makes 2-pt jump shot from 13 ft (assist by J. Ingles),7,13
31,1,6:53.0,S. Johnson makes 2-pt jump shot from 19 ft (assist by B. Griffin),,9,13
32,1,6:40.0,,J. Ingles makes 2-pt layup from 3 ft,9,15
33,1,6:26.0,I. Smith misses 3-pt jump shot from 24 ft,,9,15
34,1,6:24.0,,Defensive rebound by D. Favors,9,15
35,1,6:14.0,,D. Mitchell makes 3-pt jump shot from 24 ft (assist by D. Favors),9,18
36,1,5:54.0,B. Griffin misses 2-pt jump shot from 20 ft,,9,18
37,1,5:51.0,,Defensive rebound by J. Ingles,9,18
