,QUARTER,TIME_REMAINING,DALLAS_ACTION,ORLANDO_ACTION,DALLAS_SCORE,ORLANDO_SCORE
0,1,11:33.0,,B. Biyombo makes 2-pt dunk at rim,0,2
1,1,11:14.0,Shooting foul by A. Gordon (drawn by J. Motley),,0,2
2,1,11:14.0,J. Motley makes free throw 1 of 2,,1,2
3,1,11:14.0,J. Motley misses free throw 2 of 2,,1,2
4,1,11:11.0,,Defensive rebound by A. Gordon,1,2
5,1,10:59.0,,Turnover by M. Hezonja (lost ball; steal by J. Motley),1,2
6,1,10:48.0,J. Motley misses 2-pt jump shot from 7 ft,,1,2
7,1,10:47.0,D. Finney-Smith misses 2-pt layup from 1 ft,,1,2
8,1,10:47.0,Offensive rebound by D. Finney-Smith,,1,2
9,1,10:46.0,,Defensive rebound by W. Iwundu,1,2
10,1,10:36.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by W. Iwundu),1,4
11,1,10:27.0,D. McDermott makes 2-pt layup from 1 ft (assist by J. Barea),,3,4
12,1,10:21.0,,Turnover by M. Hezonja (out of bounds lost ball),3,4
13,1,10:08.0,D. McDermott makes 2-pt dunk from 1 ft (assist by J. Barea),,5,4
14,1,9:45.0,,W. Iwundu misses 2-pt layup from 2 ft,5,4
15,1,9:41.0,Defensive rebound by J. Motley,,5,4
16,1,9:33.0,Turnover by J. Barea (bad pass; steal by B. Biyombo),,5,4
17,1,9:28.0,,A. Gordon misses 3-pt jump shot from 23 ft,5,4
18,1,9:22.0,,Offensive rebound by W. Iwundu,5,4
19,1,9:20.0,,W. Iwundu misses 2-pt jump shot from 16 ft,5,4
20,1,9:20.0,,Offensive rebound by B. Biyombo,5,4
21,1,9:20.0,,Shooting foul by D. Finney-Smith (drawn by B. Biyombo),5,4
22,1,9:20.0,,B. Biyombo makes free throw 1 of 2,5,5
23,1,9:20.0,,B. Biyombo makes free throw 2 of 2,5,6
24,1,9:02.0,J. Motley makes 2-pt hook shot from 3 ft,,7,6
25,1,8:46.0,,Def 3 sec tech foul by J. Motley,7,6
26,1,8:46.0,,D. Augustin makes technical free throw,7,7
27,1,8:41.0,,Personal foul by D. Finney-Smith (drawn by A. Gordon),7,7
28,1,8:30.0,,A. Gordon misses 2-pt jump shot from 7 ft,7,7
29,1,8:27.0,Defensive rebound by J. Barea,,7,7
30,1,8:27.0,D. McDermott misses 2-pt layup from 2 ft,,7,7
31,1,8:26.0,Offensive rebound by J. Barea,,7,7
32,1,8:25.0,J. Barea misses 2-pt layup at rim,,7,7
33,1,8:23.0,,Defensive rebound by M. Hezonja,7,7
34,1,8:07.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by M. Hezonja),7,9
35,1,8:04.0,Turnover by J. Barea (bad pass),,7,9
36,1,7:55.0,,D. Augustin misses 2-pt jump shot from 8 ft,7,9
37,1,7:50.0,Defensive rebound by J. Motley,,7,9
38,1,7:46.0,J. Barea misses 3-pt jump shot from 25 ft,,7,9
39,1,7:40.0,,Defensive rebound by A. Gordon,7,9
40,1,7:34.0,,D. Augustin misses 2-pt jump shot from 4 ft,7,9
41,1,7:31.0,,Offensive rebound by B. Biyombo,7,9
42,1,7:28.0,,B. Biyombo makes 2-pt layup from 2 ft,7,11
43,1,7:15.0,J. Barea misses 2-pt jump shot from 9 ft,,7,11
44,1,7:11.0,,Defensive rebound by D. Augustin,7,11
45,1,7:04.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by D. Augustin),7,13
46,1,7:04.0,,Shooting foul by J. Motley (drawn by B. Biyombo),7,13
47,1,7:04.0,J. Jones enters the game for D. Finney-Smith,,7,13
48,1,7:04.0,,B. Biyombo misses free throw 1 of 1,7,13
49,1,7:04.0,Defensive rebound by J. Jones,,7,13
50,1,6:50.0,Turnover by D. McDermott (out of bounds lost ball),,7,13
51,1,6:50.0,,Orlando full timeout,7,13
52,1,6:30.0,,D. Augustin misses 2-pt layup from 3 ft,7,13
53,1,6:24.0,,Offensive rebound by B. Biyombo,7,13
54,1,6:20.0,,A. Gordon makes 2-pt jump shot from 10 ft,7,15
55,1,6:00.0,A. Harrison misses 2-pt jump shot from 17 ft,,7,15
56,1,5:58.0,,Defensive rebound by M. Hezonja,7,15
57,1,5:55.0,,Offensive foul by B. Biyombo (drawn by J. Motley),7,15
58,1,5:55.0,,Turnover by B. Biyombo (offensive foul),7,15
