,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,UTAH_ACTION,OKLAHOMA CITY_SCORE,UTAH_SCORE
0,1,11:40.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by D. Exum),0,3
1,1,11:29.0,A. Roberson misses 3-pt jump shot from 23 ft,,0,3
2,1,11:29.0,,Defensive rebound by R. Gobert,0,3
3,1,11:11.0,,B. Diaw makes 2-pt layup from 1 ft,0,5
4,1,10:57.0,Turnover by R. Westbrook (bad pass; steal by R. Gobert),,0,5
5,1,10:48.0,,R. Gobert makes 2-pt dunk at rim (assist by D. Exum),0,7
6,1,10:27.0,R. Westbrook misses 2-pt jump shot from 15 ft,,0,7
7,1,10:27.0,,Defensive rebound by G. Hayward,0,7
8,1,10:17.0,,G. Hayward misses 2-pt layup from 1 ft,0,7
9,1,10:17.0,,Offensive rebound by B. Diaw,0,7
10,1,10:00.0,,B. Diaw misses 2-pt hook shot from 3 ft,0,7
11,1,9:59.0,Defensive rebound by D. Sabonis,,0,7
12,1,9:45.0,D. Sabonis makes 2-pt jump shot from 18 ft (assist by J. Grant),,2,7
13,1,9:21.0,,B. Diaw misses 2-pt jump shot from 22 ft,2,7
14,1,9:21.0,Defensive rebound by S. Adams,,2,7
15,1,9:06.0,A. Roberson misses 3-pt jump shot from 25 ft,,2,7
16,1,9:05.0,,Defensive rebound by Team,2,7
17,1,8:46.0,,B. Diaw misses 2-pt layup from 1 ft,2,7
18,1,8:46.0,Defensive rebound by D. Sabonis,,2,7
19,1,8:42.0,Turnover by R. Westbrook (bad pass),,2,7
20,1,8:27.0,,G. Hayward misses 3-pt jump shot from 25 ft,2,7
21,1,8:27.0,Defensive rebound by R. Westbrook,,2,7
22,1,8:12.0,R. Westbrook misses 2-pt jump shot from 20 ft,,2,7
23,1,8:12.0,,Defensive rebound by R. Gobert,2,7
24,1,7:55.0,,R. Hood makes 3-pt jump shot from 24 ft (assist by B. Diaw),2,10
25,1,7:41.0,R. Westbrook makes 2-pt layup from 2 ft,,4,10
26,1,7:31.0,,D. Exum misses 2-pt layup from 1 ft (block by S. Adams),4,10
27,1,7:31.0,,Offensive rebound by Team,4,10
28,1,7:17.0,,R. Hood misses 3-pt jump shot from 27 ft,4,10
29,1,7:17.0,Defensive rebound by D. Sabonis,,4,10
30,1,7:08.0,D. Sabonis makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,7,10
31,1,6:48.0,,D. Exum makes 3-pt jump shot from 24 ft (assist by B. Diaw),7,13
32,1,6:29.0,J. Grant makes 3-pt jump shot from 24 ft (assist by D. Sabonis),,10,13
33,1,6:11.0,,Shooting foul by J. Grant (drawn by R. Gobert),10,13
34,1,6:11.0,,R. Gobert makes free throw 1 of 2,10,14
35,1,6:11.0,A. Morrow enters the game for J. Grant,,10,14
36,1,6:11.0,,J. Johnson enters the game for G. Hayward,10,14
37,1,6:11.0,,R. Gobert makes free throw 2 of 2,10,15
38,1,5:58.0,Shooting foul by D. Exum (drawn by R. Westbrook),,10,15
39,1,5:58.0,,Utah full timeout,10,15
40,1,5:58.0,R. Westbrook makes free throw 1 of 2,,11,15
41,1,5:58.0,,S. Mack enters the game for D. Exum,10,15
