,QUARTER,TIME_REMAINING,NEW YORK_ACTION,CHARLOTTE_ACTION,NEW YORK_SCORE,CHARLOTTE_SCORE
12,1,9:42.0,,C. Zeller makes 2-pt tip-in at rim,4,6
13,1,9:28.0,A. Stoudemire misses 2-pt layup from 2 ft (block by C. Zeller),,4,6
14,1,9:26.0,Offensive rebound by C. Anthony,,4,6
15,1,9:26.0,C. Anthony makes 2-pt tip-in at rim,,6,6
16,1,9:07.0,,G. Henderson makes 2-pt jump shot from 16 ft (assist by C. Zeller),6,8
17,1,8:56.0,C. Anthony misses 3-pt jump shot from 26 ft,,6,8
18,1,8:55.0,,Defensive rebound by C. Zeller,6,8
19,1,8:48.0,,L. Stephenson misses 2-pt layup at rim (block by S. Dalembert),6,8
20,1,8:48.0,,Offensive rebound by Team,6,8
21,1,8:41.0,,A. Jefferson misses 2-pt jump shot from 9 ft,6,8
22,1,8:40.0,Defensive rebound by A. Stoudemire,,6,8
23,1,8:17.0,C. Anthony misses 2-pt jump shot from 3 ft,,6,8
24,1,8:15.0,Offensive rebound by C. Anthony,,6,8
25,1,8:15.0,C. Anthony misses 2-pt layup from 1 ft,,6,8
26,1,8:14.0,,Defensive rebound by K. Walker,6,8
27,1,8:14.0,,Personal foul by A. Stoudemire (drawn by K. Walker),6,8
28,1,7:57.0,,A. Jefferson misses 2-pt layup from 1 ft,6,8
29,1,7:57.0,,Offensive rebound by Team,6,8
30,1,7:53.0,,C. Zeller misses 2-pt layup from 2 ft,6,8
31,1,7:52.0,Defensive rebound by I. Shumpert,,6,8
32,1,7:44.0,I. Shumpert makes 2-pt layup at rim,,8,8
33,1,7:33.0,,Turnover by K. Walker (bad pass),8,8
34,1,7:19.0,I. Shumpert misses 2-pt jump shot from 12 ft,,8,8
35,1,7:18.0,,Defensive rebound by L. Stephenson,8,8
36,1,7:11.0,,Turnover by G. Henderson (back court),8,8
37,1,7:11.0,J. Smith enters the game for A. Stoudemire,,8,8
38,1,7:03.0,I. Shumpert misses 3-pt jump shot from 26 ft,,8,8
39,1,7:01.0,,Defensive rebound by L. Stephenson,8,8
40,1,6:53.0,,L. Stephenson misses 2-pt jump shot from 18 ft,8,8
41,1,6:52.0,,Offensive rebound by Team,8,8
