,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,GOLDEN STATE_ACTION,SAN ANTONIO_SCORE,GOLDEN STATE_SCORE
0,1,11:43.0,A. Baynes misses 2-pt layup from 2 ft (block by A. Bogut),,0,0
1,1,11:41.0,,Defensive rebound by K. Thompson,0,0
2,1,11:33.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Thompson),0,3
3,1,11:11.0,A. Baynes misses 2-pt layup from 1 ft (block by A. Bogut),,0,3
4,1,11:10.0,,Defensive rebound by K. Thompson,0,3
5,1,10:58.0,,K. Thompson makes 3-pt jump shot from 25 ft (assist by S. Curry),0,6
6,1,10:44.0,T. Parker misses 2-pt jump shot from 6 ft,,0,6
7,1,10:43.0,,Defensive rebound by A. Bogut,0,6
8,1,10:39.0,,H. Barnes makes 2-pt layup from 2 ft (assist by S. Curry),0,8
9,1,10:22.0,A. Baynes misses 2-pt jump shot from 16 ft,,0,8
10,1,10:21.0,Offensive rebound by K. Leonard,,0,8
11,1,10:12.0,K. Leonard makes 2-pt jump shot from 13 ft,,2,8
12,1,9:53.0,,D. Green misses 2-pt jump shot from 3 ft,2,8
13,1,9:52.0,Defensive rebound by T. Duncan,,2,8
14,1,9:46.0,Turnover by T. Parker (lost ball; steal by S. Curry),,2,8
15,1,9:43.0,,Personal foul by A. Baynes (drawn by S. Curry),2,8
16,1,9:35.0,,K. Thompson misses 2-pt jump shot from 19 ft,2,8
17,1,9:34.0,,Offensive rebound by H. Barnes,2,8
18,1,9:26.0,,Turnover by S. Curry (bad pass; steal by T. Duncan),2,8
19,1,9:21.0,Turnover by T. Parker (lost ball; steal by S. Curry),,2,8
20,1,9:13.0,,S. Curry misses 3-pt jump shot from 25 ft,2,8
21,1,9:12.0,Defensive rebound by Team,,2,8
22,1,9:12.0,,Loose ball foul by D. Green (drawn by D. Green),2,8
23,1,8:56.0,A. Baynes makes 2-pt jump shot from 16 ft (assist by T. Parker),,4,8
24,1,8:36.0,,S. Curry makes 2-pt jump shot from 10 ft,4,10
25,1,8:16.0,T. Duncan misses 2-pt jump shot from 8 ft,,4,10
26,1,8:15.0,,Defensive rebound by H. Barnes,4,10
27,1,8:06.0,,D. Green misses 3-pt jump shot from 26 ft,4,10
28,1,8:05.0,Defensive rebound by K. Leonard,,4,10
29,1,7:51.0,A. Baynes makes 2-pt hook shot from 6 ft (assist by T. Duncan),,6,10
30,1,7:38.0,,Turnover by K. Thompson (lost ball; steal by T. Parker),6,10
31,1,7:29.0,K. Leonard makes 2-pt jump shot from 13 ft (assist by T. Parker),,8,10
32,1,7:28.0,,Golden State full timeout,8,10
33,1,7:18.0,,A. Bogut misses 2-pt jump shot from 10 ft,8,10
34,1,7:17.0,Defensive rebound by K. Leonard,,8,10
35,1,7:04.0,A. Baynes misses 2-pt jump shot from 8 ft,,8,10
36,1,7:02.0,Offensive rebound by T. Duncan,,8,10
37,1,7:02.0,T. Duncan misses 2-pt tip-in from 1 ft,,8,10
38,1,7:01.0,,Defensive rebound by A. Bogut,8,10
39,1,6:59.0,,K. Thompson makes 2-pt dunk at rim (assist by S. Curry),8,12
40,1,6:39.0,Shooting foul by H. Barnes (drawn by T. Duncan),,8,12
