,QUARTER,TIME_REMAINING,PHOENIX_ACTION,ORLANDO_ACTION,PHOENIX_SCORE,ORLANDO_SCORE
0,1,11:41.0,,N. Vučević misses 2-pt hook shot from 8 ft,0,0
1,1,11:40.0,Defensive rebound by E. Bledsoe,,0,0
2,1,11:26.0,A. Len misses 2-pt hook shot from 6 ft,,0,0
3,1,11:25.0,,Defensive rebound by N. Vučević,0,0
4,1,11:17.0,,E. Payton misses 2-pt layup from 2 ft,0,0
5,1,11:15.0,Defensive rebound by A. Len,,0,0
6,1,11:10.0,Shooting foul by D. Dedmon (drawn by B. Knight),,0,0
7,1,11:10.0,B. Knight misses free throw 1 of 2,,0,0
8,1,11:10.0,Offensive rebound by Team,,0,0
9,1,11:10.0,B. Knight makes free throw 2 of 2,,1,0
10,1,11:06.0,,Turnover by E. Payton (traveling),1,0
11,1,10:53.0,Turnover by P. Tucker (step out of bounds),,1,0
12,1,10:41.0,,V. Oladipo makes 2-pt layup from 1 ft,1,2
13,1,10:37.0,,Violation by D. Dedmon (def goaltending),1,2
14,1,10:37.0,M. Morris makes 2-pt layup from 1 ft (assist by E. Bledsoe),,3,2
15,1,10:21.0,,V. Oladipo misses 2-pt jump shot from 8 ft,3,2
16,1,10:20.0,Defensive rebound by M. Morris,,3,2
17,1,10:11.0,B. Knight makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,5,2
18,1,9:58.0,,N. Vučević makes 2-pt jump shot from 20 ft (assist by E. Payton),5,4
19,1,9:45.0,M. Morris makes 2-pt jump shot from 14 ft (assist by B. Knight),,7,4
20,1,9:24.0,,V. Oladipo makes 2-pt layup from 2 ft,7,6
21,1,9:10.0,Turnover by E. Bledsoe (lost ball; steal by E. Payton),,7,6
22,1,9:05.0,,T. Harris makes 2-pt layup from 1 ft (assist by V. Oladipo),7,8
23,1,8:54.0,Turnover by E. Bledsoe (lost ball; steal by N. Vučević),,7,8
24,1,8:49.0,,D. Dedmon makes 2-pt dunk at rim (assist by V. Oladipo),7,10
25,1,8:49.0,Phoenix full timeout,,7,10
26,1,8:31.0,B. Knight makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,10,10
27,1,8:14.0,,E. Payton misses 3-pt jump shot from 22 ft,10,10
28,1,8:13.0,,Offensive rebound by D. Dedmon,10,10
29,1,8:13.0,,D. Dedmon makes 2-pt jump shot from 5 ft,10,12
30,1,8:13.0,,Shooting foul by A. Len (drawn by D. Dedmon),10,12
31,1,8:13.0,,D. Dedmon makes free throw 1 of 1,10,13
32,1,8:00.0,M. Morris makes 2-pt jump shot from 8 ft,,12,13
33,1,7:38.0,,T. Harris makes 2-pt jump shot from 7 ft,12,15
34,1,7:26.0,,Offensive charge foul by A. Len (drawn by T. Harris),12,15
35,1,7:26.0,Turnover by A. Len (offensive foul),,12,15
36,1,7:26.0,B. Wright enters the game for A. Len,,12,15
37,1,7:17.0,,T. Harris makes 2-pt jump shot from 17 ft (assist by E. Payton),12,17
38,1,7:00.0,Shooting foul by D. Dedmon (drawn by M. Morris),,12,17
39,1,7:00.0,M. Morris misses free throw 1 of 2,,12,17
40,1,7:00.0,Offensive rebound by Team,,12,17
41,1,7:00.0,,A. Gordon enters the game for D. Dedmon,12,17
42,1,7:00.0,M. Morris makes free throw 2 of 2,,13,17
43,1,6:42.0,,A. Gordon misses 2-pt jump shot from 14 ft,13,17
44,1,6:41.0,Defensive rebound by P. Tucker,,13,17
45,1,6:27.0,E. Bledsoe misses 2-pt layup from 2 ft (block by T. Harris),,13,17
46,1,6:26.0,Offensive rebound by B. Wright,,13,17
47,1,6:20.0,M. Morris misses 2-pt layup from 2 ft,,13,17
48,1,6:19.0,,Defensive rebound by T. Harris,13,17
49,1,6:17.0,,Turnover by T. Harris (bad pass),13,17
50,1,6:07.0,Turnover by B. Knight (step out of bounds),,13,17
51,1,5:48.0,,N. Vučević makes 2-pt hook shot from 2 ft,13,19
