,QUARTER,TIME_REMAINING,MIAMI_ACTION,HOUSTON_ACTION,MIAMI_SCORE,HOUSTON_SCORE
0,1,11:43.0,Shooting foul by J. Harden (drawn by C. Bosh),,0,0
1,1,11:43.0,C. Bosh makes free throw 1 of 2,,1,0
2,1,11:43.0,C. Bosh makes free throw 2 of 2,,2,0
3,1,11:20.0,,J. Harden misses 3-pt jump shot from 23 ft,2,0
4,1,11:19.0,Defensive rebound by D. Wade,,2,0
5,1,11:15.0,Turnover by D. Wade (bad pass; steal by D. Motiejūnas),,2,0
6,1,11:09.0,,J. Harden makes 3-pt jump shot from 24 ft (assist by P. Beverley),2,3
7,1,10:48.0,Turnover by C. Bosh (bad pass; steal by T. Ariza),,2,3
8,1,10:45.0,,D. Motiejūnas makes 2-pt layup from 1 ft (assist by T. Ariza),2,5
9,1,10:24.0,C. Bosh misses 3-pt jump shot from 24 ft,,2,5
10,1,10:23.0,,Defensive rebound by D. Howard,2,5
11,1,10:17.0,,Turnover by J. Harden (bad pass; steal by L. Deng),2,5
12,1,10:13.0,Shooting foul by P. Beverley (drawn by D. Wade),,2,5
13,1,10:13.0,D. Wade makes free throw 1 of 2,,3,5
14,1,10:13.0,D. Wade makes free throw 2 of 2,,4,5
15,1,9:58.0,,D. Howard misses 2-pt hook shot from 5 ft,4,5
16,1,9:57.0,Defensive rebound by C. Andersen,,4,5
17,1,9:49.0,Turnover by C. Bosh (bad pass; steal by T. Ariza),,4,5
18,1,9:48.0,,Clear path foul by M. Chalmers,4,5
19,1,9:48.0,,P. Beverley makes clear path free throw 1 of 2,4,6
20,1,9:48.0,,P. Beverley makes clear path free throw 2 of 2,4,7
21,1,9:28.0,,T. Ariza makes 2-pt layup from 4 ft (assist by D. Motiejūnas),4,9
22,1,9:04.0,Turnover by L. Deng (bad pass),,4,9
23,1,8:52.0,,Turnover by J. Harden (bad pass),4,9
24,1,8:31.0,C. Bosh makes 2-pt jump shot from 21 ft (assist by M. Chalmers),,6,9
25,1,8:24.0,,Turnover by D. Howard (traveling),6,9
26,1,8:11.0,D. Wade makes 2-pt jump shot from 16 ft (assist by M. Chalmers),,8,9
27,1,8:01.0,,P. Beverley misses 3-pt jump shot from 25 ft,8,9
28,1,8:00.0,Defensive rebound by C. Bosh,,8,9
29,1,7:49.0,L. Deng makes 2-pt layup from 1 ft (assist by M. Chalmers),,10,9
30,1,7:39.0,,T. Ariza misses 3-pt jump shot from 25 ft,10,9
31,1,7:38.0,Defensive rebound by M. Chalmers,,10,9
32,1,7:32.0,L. Deng misses 2-pt layup at rim,,10,9
33,1,7:31.0,Offensive rebound by L. Deng,,10,9
34,1,7:31.0,L. Deng makes 2-pt layup at rim,,12,9
35,1,7:21.0,,Offensive foul by D. Motiejūnas (drawn by M. Chalmers),12,9
36,1,7:21.0,,Turnover by D. Motiejūnas (offensive foul),12,9
37,1,7:21.0,D. Granger enters the game for C. Bosh,,12,9
38,1,7:01.0,D. Wade misses 2-pt jump shot from 17 ft,,12,9
39,1,7:00.0,,Defensive rebound by D. Howard,12,9
40,1,6:50.0,,D. Motiejūnas makes 2-pt jump shot from 8 ft,12,11
41,1,6:50.0,,Shooting foul by D. Granger (drawn by D. Motiejūnas),12,11
42,1,6:50.0,,D. Motiejūnas makes free throw 1 of 1,12,12
43,1,6:34.0,D. Granger misses 3-pt jump shot from 25 ft,,12,12
44,1,6:32.0,Offensive rebound by L. Deng,,12,12
45,1,6:29.0,Turnover by L. Deng (bad pass; steal by T. Ariza),,12,12
46,1,6:25.0,,J. Harden makes 2-pt layup from 2 ft,12,14
47,1,6:25.0,Miami full timeout,,12,14
48,1,6:07.0,Turnover by D. Wade (traveling),,12,14
