,QUARTER,TIME_REMAINING,DETROIT_ACTION,CLEVELAND_ACTION,DETROIT_SCORE,CLEVELAND_SCORE
0,1,11:46.0,B. Jennings misses 2-pt jump shot from 4 ft,,0,0
1,1,11:44.0,Offensive rebound by A. Drummond,,0,0
2,1,11:43.0,A. Drummond makes 2-pt jump shot from 4 ft,,2,0
3,1,11:28.0,,K. Love makes 2-pt jump shot from 16 ft (assist by M. Dellavedova),2,2
4,1,11:14.0,,Offensive charge foul by K. Caldwell-Pope (drawn by K. Love),2,2
5,1,11:14.0,Turnover by K. Caldwell-Pope (offensive foul),,2,2
6,1,11:01.0,,M. Dellavedova misses 3-pt jump shot from 22 ft,2,2
7,1,11:00.0,Defensive rebound by A. Drummond,,2,2
8,1,10:46.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,2,2
9,1,10:45.0,,Defensive rebound by K. Love,2,2
10,1,10:33.0,,L. James misses 2-pt jump shot from 6 ft (block by A. Drummond),2,2
11,1,10:30.0,Defensive rebound by B. Jennings,,2,2
12,1,10:14.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by G. Monroe),,5,2
13,1,10:01.0,,Personal foul by G. Monroe (drawn by K. Love),5,2
14,1,9:48.0,,M. Miller makes 3-pt jump shot from 25 ft (assist by K. Love),5,5
15,1,9:20.0,G. Monroe misses 2-pt hook shot from 6 ft,,5,5
16,1,9:18.0,,Defensive rebound by L. James,5,5
17,1,9:10.0,,M. Miller misses 3-pt jump shot from 23 ft,5,5
18,1,9:09.0,Defensive rebound by B. Jennings,,5,5
19,1,8:58.0,A. Drummond makes 2-pt layup at rim (assist by B. Jennings),,7,5
20,1,8:37.0,,K. Love misses 3-pt jump shot from 24 ft,7,5
21,1,8:36.0,,Offensive rebound by T. Thompson,7,5
22,1,8:36.0,,Personal foul by A. Drummond (drawn by T. Thompson),7,5
23,1,8:18.0,,L. James makes 2-pt jump shot from 15 ft,7,7
24,1,8:01.0,Turnover by A. Drummond (3 sec),,7,7
25,1,7:42.0,,L. James misses 2-pt jump shot from 6 ft (block by A. Drummond),7,7
26,1,7:42.0,,Offensive rebound by Team,7,7
