,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,SACRAMENTO_ACTION,NEW ORLEANS_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,A. Ajinça makes 2-pt jump shot from 11 ft (assist by E. Gordon),,2,0
1,1,11:30.0,,Turnover by R. Gay (bad pass),2,0
2,1,11:15.0,E. Gordon misses 2-pt jump shot from 4 ft (block by D. Cousins),,2,0
3,1,11:14.0,,Defensive rebound by D. Cousins,2,0
4,1,11:05.0,,J. Thompson makes 2-pt dunk at rim (assist by D. Collison),2,2
5,1,10:51.0,A. Davis misses 2-pt jump shot from 20 ft,,2,2
6,1,10:51.0,Offensive rebound by T. Evans,,2,2
7,1,10:39.0,Shooting foul by R. Gay (drawn by A. Ajinça),,2,2
8,1,10:39.0,A. Ajinça misses free throw 1 of 2,,2,2
9,1,10:39.0,Offensive rebound by Team,,2,2
10,1,10:39.0,A. Ajinça makes free throw 2 of 2,,3,2
11,1,10:27.0,,Turnover by J. Thompson (bad pass),3,2
12,1,10:12.0,E. Gordon makes 2-pt jump shot from 8 ft (assist by J. Holiday),,5,2
13,1,10:02.0,Violation by J. Holiday (kicked ball),,5,2
14,1,9:49.0,,R. Gay misses 2-pt jump shot from 18 ft,5,2
15,1,9:48.0,Defensive rebound by J. Holiday,,5,2
16,1,9:38.0,Shooting foul by J. Thompson (drawn by J. Holiday),,5,2
17,1,9:38.0,J. Holiday makes free throw 1 of 2,,6,2
18,1,9:38.0,J. Holiday misses free throw 2 of 2,,6,2
19,1,9:37.0,,Defensive rebound by J. Thompson,6,2
20,1,9:29.0,,Personal foul by A. Ajinça (drawn by D. Cousins),6,2
21,1,9:16.0,,D. Collison makes 3-pt jump shot from 25 ft (assist by D. Cousins),6,5
22,1,8:53.0,J. Holiday misses 2-pt jump shot from 18 ft,,6,5
23,1,8:52.0,,Defensive rebound by R. Gay,6,5
24,1,8:39.0,,Shooting foul by E. Gordon (drawn by J. Thompson),6,5
25,1,8:39.0,,J. Thompson makes free throw 1 of 2,6,6
26,1,8:39.0,,J. Thompson makes free throw 2 of 2,6,7
27,1,8:24.0,A. Davis misses 2-pt jump shot from 13 ft,,6,7
28,1,8:23.0,,Defensive rebound by J. Thompson,6,7
29,1,8:14.0,,D. Cousins makes 2-pt layup from 3 ft (assist by D. Collison),6,9
30,1,7:57.0,E. Gordon misses 3-pt jump shot from 25 ft,,6,9
31,1,7:56.0,,Defensive rebound by J. Thompson,6,9
32,1,7:44.0,,Turnover by R. Gay (bad pass),6,9
33,1,7:32.0,E. Gordon misses 2-pt jump shot from 9 ft,,6,9
34,1,7:31.0,,Defensive rebound by D. Cousins,6,9
35,1,7:16.0,,D. Cousins misses 2-pt jump shot from 4 ft,6,9
36,1,7:15.0,,Offensive rebound by J. Thompson,6,9
37,1,7:14.0,,J. Thompson misses 2-pt layup from 3 ft,6,9
38,1,7:12.0,,Offensive rebound by J. Thompson,6,9
39,1,7:12.0,,J. Thompson makes 2-pt tip-in at rim,6,11
40,1,7:00.0,A. Davis misses 2-pt jump shot from 19 ft,,6,11
41,1,6:59.0,,Defensive rebound by D. Cousins,6,11
42,1,6:44.0,,R. Gay makes 2-pt layup from 2 ft (assist by D. Cousins),6,13
43,1,6:44.0,New Orleans full timeout,,6,13
44,1,6:22.0,Turnover by E. Gordon (traveling),,6,13
45,1,6:09.0,,D. Cousins makes 2-pt hook shot from 5 ft (assist by D. Collison),6,15
46,1,5:50.0,T. Evans misses 2-pt jump shot from 6 ft,,6,15
47,1,5:50.0,,Defensive rebound by D. Cousins,6,15
48,1,5:39.0,,Def 3 sec tech foul by A. Ajinça,6,15
