,QUARTER,TIME_REMAINING,CHICAGO_ACTION,TORONTO_ACTION,CHICAGO_SCORE,TORONTO_SCORE
0,1,11:48.0,P. Gasol misses 2-pt hook shot from 7 ft,,0,0
1,1,11:47.0,Offensive rebound by P. Gasol,,0,0
2,1,11:45.0,P. Gasol makes 2-pt hook shot from 3 ft,,2,0
3,1,11:23.0,,K. Lowry misses 2-pt jump shot from 12 ft,2,0
4,1,11:21.0,,Offensive rebound by J. Valančiūnas,2,0
5,1,11:19.0,,J. Valančiūnas makes 2-pt layup at rim,2,2
6,1,11:03.0,J. Butler makes 2-pt jump shot from 10 ft (assist by P. Gasol),,4,2
7,1,10:49.0,,D. DeRozan misses 2-pt jump shot from 19 ft,4,2
8,1,10:48.0,Defensive rebound by M. Dunleavy,,4,2
9,1,10:31.0,D. Rose misses 3-pt jump shot from 25 ft,,4,2
10,1,10:30.0,,Defensive rebound by K. Lowry,4,2
11,1,10:13.0,,A. Johnson makes 3-pt jump shot from 25 ft (assist by T. Ross),4,5
12,1,9:59.0,M. Dunleavy makes 2-pt jump shot from 18 ft (assist by J. Noah),,6,5
13,1,9:40.0,,J. Valančiūnas misses 2-pt hook shot from 7 ft,6,5
14,1,9:39.0,Defensive rebound by J. Noah,,6,5
15,1,9:26.0,P. Gasol misses 2-pt jump shot from 14 ft,,6,5
16,1,9:25.0,,Defensive rebound by J. Valančiūnas,6,5
17,1,9:09.0,,A. Johnson misses 2-pt hook shot from 5 ft,6,5
18,1,9:08.0,,Offensive rebound by J. Valančiūnas,6,5
19,1,8:48.0,,D. DeRozan misses 2-pt layup from 1 ft,6,5
20,1,8:47.0,Defensive rebound by J. Butler,,6,5
21,1,8:47.0,Personal foul by K. Lowry (drawn by J. Butler),,6,5
22,1,8:35.0,D. Rose misses 2-pt jump shot from 17 ft,,6,5
23,1,8:34.0,,Defensive rebound by K. Lowry,6,5
24,1,8:25.0,,K. Lowry makes 2-pt layup from 2 ft (assist by J. Valančiūnas),6,7
25,1,8:07.0,P. Gasol makes 2-pt hook shot from 5 ft (assist by D. Rose),,8,7
26,1,7:46.0,,D. DeRozan misses 2-pt jump shot from 21 ft,8,7
27,1,7:45.0,Defensive rebound by M. Dunleavy,,8,7
28,1,7:40.0,Shooting foul by A. Johnson (drawn by D. Rose),,8,7
29,1,7:40.0,D. Rose makes free throw 1 of 2,,9,7
30,1,7:40.0,D. Rose misses free throw 2 of 2,,9,7
31,1,7:39.0,Offensive rebound by D. Rose,,9,7
32,1,7:32.0,P. Gasol misses 2-pt layup from 2 ft (block by A. Johnson),,9,7
33,1,7:30.0,,Defensive rebound by T. Ross,9,7
34,1,7:13.0,,T. Ross misses 3-pt jump shot from 24 ft,9,7
35,1,7:12.0,Defensive rebound by J. Noah,,9,7
36,1,7:05.0,D. Rose misses 2-pt layup from 2 ft,,9,7
37,1,7:03.0,,Defensive rebound by J. Valančiūnas,9,7
38,1,6:57.0,,D. DeRozan makes 2-pt dunk at rim (assist by J. Valančiūnas),9,9
39,1,6:40.0,M. Dunleavy misses 3-pt jump shot from 26 ft,,9,9
40,1,6:39.0,,Defensive rebound by K. Lowry,9,9
41,1,6:21.0,,T. Ross makes 2-pt jump shot from 7 ft (assist by K. Lowry),9,11
42,1,6:04.0,J. Butler makes 2-pt dunk at rim (assist by J. Noah),,11,11
43,1,5:43.0,,Shooting foul by J. Noah (drawn by D. DeRozan),11,11
44,1,5:43.0,,Toronto full timeout,11,11
45,1,5:43.0,,D. DeRozan makes free throw 1 of 2,11,12
46,1,5:43.0,,D. DeRozan makes free throw 2 of 2,11,13
47,1,5:21.0,J. Noah makes 2-pt dunk at rim (assist by D. Rose),,13,13
48,1,4:52.0,,J. Valančiūnas makes 2-pt hook shot from 3 ft (assist by K. Lowry),13,15
49,1,4:34.0,P. Gasol misses 2-pt jump shot from 15 ft,,13,15
50,1,4:33.0,,Defensive rebound by J. Valančiūnas,13,15
51,1,4:24.0,,D. DeRozan misses 2-pt layup from 3 ft,13,15
52,1,4:23.0,Defensive rebound by J. Butler,,13,15
53,1,4:18.0,Shooting foul by K. Lowry (drawn by D. Rose),,13,15
54,1,4:18.0,D. Rose makes free throw 1 of 2,,14,15
55,1,4:18.0,T. Gibson enters the game for J. Noah,,14,15
56,1,4:18.0,,P. Patterson enters the game for A. Johnson,14,15
57,1,4:18.0,D. Rose makes free throw 2 of 2,,15,15
58,1,4:09.0,,K. Lowry makes 3-pt jump shot from 26 ft,15,18
59,1,3:59.0,Chicago full timeout,,15,18
60,1,3:59.0,K. Hinrich enters the game for D. Rose,,15,18
61,1,3:49.0,J. Butler makes 2-pt jump shot from 21 ft,,17,18
62,1,3:32.0,,K. Lowry misses 2-pt jump shot from 10 ft,17,18
63,1,3:31.0,Defensive rebound by P. Gasol,,17,18
64,1,3:18.0,Turnover by T. Gibson (traveling),,17,18
65,1,3:04.0,,D. DeRozan makes 2-pt jump shot from 14 ft,17,20
66,1,2:42.0,T. Gibson misses 2-pt jump shot from 15 ft,,17,20
67,1,2:40.0,,Defensive rebound by J. Valančiūnas,17,20
68,1,2:29.0,,J. Valančiūnas misses 2-pt jump shot from 18 ft,17,20
69,1,2:28.0,Defensive rebound by M. Dunleavy,,17,20
70,1,2:16.0,M. Dunleavy makes 2-pt jump shot from 17 ft (assist by J. Butler),,19,20
71,1,1:56.0,,D. DeRozan misses 2-pt jump shot from 15 ft,19,20
72,1,1:55.0,Defensive rebound by P. Gasol,,19,20
73,1,1:50.0,A. Brooks enters the game for M. Dunleavy,,19,20
74,1,1:50.0,,L. Williams enters the game for T. Ross,19,20
75,1,1:50.0,,G. Vásquez enters the game for K. Lowry,19,20
76,1,1:35.0,J. Butler misses 2-pt jump shot from 20 ft,,19,20
77,1,1:35.0,,Defensive rebound by Team,19,20
78,1,1:21.0,,L. Williams misses 2-pt jump shot from 18 ft,19,20
79,1,1:20.0,Defensive rebound by J. Butler,,19,20
