,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW ORLEANS_ACTION,MINNESOTA_SCORE,NEW ORLEANS_SCORE
0,1,11:35.0,,A. Davis makes 2-pt jump shot from 12 ft,0,2
1,1,11:22.0,Turnover by L. Brown (bad pass),,0,2
2,1,11:10.0,,Turnover by E. Gordon (bad pass; steal by A. Payne),0,2
3,1,11:03.0,Turnover by A. Payne (traveling),,0,2
4,1,10:53.0,,Turnover by Ö. Aşık (bad pass),0,2
5,1,10:41.0,Z. LaVine misses 3-pt jump shot from 25 ft,,0,2
6,1,10:40.0,,Defensive rebound by Ö. Aşık,0,2
7,1,10:27.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by E. Gordon),0,4
8,1,10:27.0,,Shooting foul by A. Wiggins (drawn by Ö. Aşık),0,4
9,1,10:27.0,,Ö. Aşık misses free throw 1 of 1,0,4
10,1,10:26.0,Defensive rebound by A. Payne,,0,4
11,1,10:09.0,Turnover by Z. LaVine (lost ball; steal by T. Evans),,0,4
12,1,10:02.0,,Q. Pondexter makes 3-pt jump shot from 23 ft (assist by T. Evans),0,7
13,1,10:01.0,Minnesota full timeout,,0,7
14,1,9:43.0,Turnover by A. Wiggins (lost ball; steal by E. Gordon),,0,7
15,1,9:38.0,,Turnover by E. Gordon (bad pass; steal by A. Payne),0,7
16,1,9:32.0,Z. LaVine misses 2-pt layup from 1 ft,,0,7
17,1,9:32.0,,Defensive rebound by Ö. Aşık,0,7
18,1,9:28.0,,Turnover by T. Evans (step out of bounds),0,7
19,1,9:12.0,Turnover by A. Wiggins (traveling),,0,7
20,1,8:56.0,,A. Davis misses 2-pt layup from 2 ft (block by G. Dieng),0,7
