,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
10,1,9:56.0,J. Calderón misses 2-pt jump shot from 19 ft,,2,2
11,1,9:55.0,,Defensive rebound by H. Whiteside,2,2
12,1,9:51.0,,M. Chalmers misses 2-pt layup from 1 ft (block by L. Galloway),2,2
13,1,9:50.0,,Offensive rebound by Team,2,2
14,1,9:32.0,,L. Deng misses 2-pt jump shot from 7 ft,2,2
15,1,9:31.0,Defensive rebound by L. Galloway,,2,2
16,1,9:24.0,L. Galloway misses 2-pt layup from 3 ft,,2,2
17,1,9:23.0,Offensive rebound by L. Amundson,,2,2
18,1,9:22.0,L. Amundson makes 2-pt dunk at rim,,4,2
19,1,9:08.0,,C. Bosh makes 3-pt jump shot from 24 ft (assist by L. Deng),4,5
20,1,8:51.0,L. Amundson makes 2-pt jump shot from 9 ft (assist by J. Smith),,6,5
21,1,8:36.0,,M. Chalmers makes 3-pt jump shot from 23 ft (assist by C. Bosh),6,8
22,1,8:18.0,L. Amundson misses 2-pt hook shot from 4 ft,,6,8
23,1,8:17.0,,Defensive rebound by S. Napier,6,8
24,1,8:12.0,,L. Deng makes 2-pt dunk at rim (assist by S. Napier),6,10
25,1,8:02.0,C. Anthony makes 3-pt jump shot from 23 ft (assist by J. Calderón),,9,10
26,1,7:47.0,,C. Bosh misses 2-pt layup from 1 ft,9,10
27,1,7:46.0,Defensive rebound by L. Galloway,,9,10
28,1,7:40.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by L. Galloway),,12,10
29,1,7:27.0,,S. Napier misses 2-pt jump shot from 19 ft,12,10
30,1,7:26.0,Defensive rebound by L. Galloway,,12,10
31,1,7:12.0,J. Smith makes 2-pt jump shot from 12 ft (assist by J. Calderón),,14,10
32,1,6:49.0,,Turnover by C. Bosh (offensive foul),14,10
33,1,6:49.0,Offensive charge foul by C. Bosh (drawn by L. Amundson),,14,10
34,1,6:40.0,L. Galloway makes 2-pt layup from 1 ft (assist by J. Smith),,16,10
35,1,6:40.0,,Miami full timeout,16,10
36,1,6:17.0,,C. Bosh misses 2-pt jump shot from 11 ft,16,10
37,1,6:16.0,Defensive rebound by L. Amundson,,16,10
38,1,6:10.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by J. Calderón),,19,10
39,1,5:56.0,,Personal foul by J. Calderón (drawn by H. Whiteside),19,10
40,1,5:46.0,,M. Chalmers misses 2-pt jump shot from 7 ft,19,10
41,1,5:45.0,,Offensive rebound by L. Deng,19,10
42,1,5:44.0,,Shooting foul by L. Amundson (drawn by L. Deng),19,10
43,1,5:44.0,,L. Deng makes free throw 1 of 2,19,11
44,1,5:44.0,,L. Deng makes free throw 2 of 2,19,12
45,1,5:29.0,Shooting foul by S. Napier (drawn by J. Calderón),,19,12
46,1,5:29.0,J. Calderón makes free throw 1 of 2,,20,12
47,1,5:29.0,J. Calderón makes free throw 2 of 2,,21,12
48,1,5:10.0,,Turnover by L. Deng (bad pass; steal by L. Amundson),21,12
49,1,5:06.0,Turnover by L. Amundson (lost ball),,21,12
50,1,5:02.0,,Personal foul by L. Galloway (drawn by S. Napier),21,12
51,1,5:02.0,,C. Andersen enters the game for H. Whiteside,21,12
52,1,5:02.0,A. Stoudemire enters the game for L. Amundson,,21,12
53,1,4:45.0,,M. Chalmers makes 2-pt jump shot from 16 ft,21,14
54,1,4:30.0,C. Anthony makes 2-pt jump shot from 17 ft (assist by J. Smith),,23,14
55,1,4:07.0,,C. Bosh misses 2-pt jump shot from 8 ft,23,14
56,1,4:06.0,Defensive rebound by J. Smith,,23,14
57,1,3:53.0,L. Galloway misses 2-pt jump shot from 19 ft,,23,14
58,1,3:52.0,Offensive rebound by Team,,23,14
59,1,3:41.0,J. Calderón misses 3-pt jump shot from 25 ft,,23,14
60,1,3:40.0,,Defensive rebound by L. Deng,23,14
61,1,3:33.0,,C. Bosh misses 3-pt jump shot from 25 ft,23,14
