,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
0,1,11:49.0,B. McLemore misses 2-pt layup from 3 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Schröder,0,0
2,1,11:32.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by A. Horford),0,3
3,1,11:11.0,R. Gay misses 2-pt jump shot from 4 ft,,0,3
4,1,11:10.0,,Defensive rebound by P. Millsap,0,3
5,1,11:03.0,,A. Horford misses 2-pt jump shot from 19 ft,0,3
6,1,10:59.0,Defensive rebound by R. Rondo,,0,3
7,1,10:58.0,D. Cousins makes 2-pt layup at rim (assist by R. Rondo),,2,3
8,1,10:58.0,Shooting foul by A. Horford (drawn by D. Cousins),,2,3
9,1,10:58.0,D. Cousins makes free throw 1 of 1,,3,3
10,1,10:43.0,,A. Horford misses 2-pt hook shot from 9 ft,3,3
11,1,10:40.0,Defensive rebound by D. Cousins,,3,3
12,1,10:33.0,D. Cousins misses 2-pt jump shot from 20 ft,,3,3
13,1,10:30.0,,Defensive rebound by J. Holiday,3,3
14,1,10:18.0,,J. Holiday makes 3-pt jump shot from 23 ft (assist by K. Korver),3,6
15,1,10:02.0,Personal foul by K. Korver (drawn by B. McLemore),,3,6
16,1,9:48.0,D. Cousins makes 2-pt jump shot from 20 ft (assist by Q. Acy),,5,6
17,1,9:21.0,,D. Schröder makes 3-pt jump shot from 24 ft (assist by P. Millsap),5,9
18,1,9:05.0,D. Cousins misses 3-pt jump shot from 24 ft,,5,9
19,1,9:04.0,Offensive rebound by B. McLemore,,5,9
20,1,9:01.0,Turnover by D. Cousins (lost ball; steal by P. Millsap),,5,9
21,1,8:51.0,,K. Korver misses 3-pt jump shot from 25 ft,5,9
22,1,8:50.0,Defensive rebound by R. Gay,,5,9
23,1,8:44.0,B. McLemore makes 3-pt jump shot from 25 ft (assist by R. Gay),,8,9
24,1,8:26.0,,J. Holiday misses 3-pt jump shot from 23 ft,8,9
25,1,8:22.0,,Offensive rebound by P. Millsap,8,9
26,1,8:12.0,,P. Millsap misses 3-pt jump shot from 23 ft,8,9
27,1,8:10.0,Defensive rebound by R. Rondo,,8,9
28,1,7:56.0,Turnover by R. Gay (lost ball; steal by J. Holiday),,8,9
29,1,7:45.0,,J. Holiday misses 2-pt layup from 1 ft (block by Q. Acy),8,9
30,1,7:45.0,Defensive rebound by Team,,8,9
31,1,7:32.0,Turnover by D. Cousins (bad pass),,8,9
32,1,7:17.0,,D. Schröder misses 3-pt jump shot from 25 ft,8,9
33,1,7:16.0,Defensive rebound by D. Cousins,,8,9
34,1,7:12.0,Shooting foul by P. Millsap (drawn by R. Gay),,8,9
35,1,7:12.0,R. Gay makes free throw 1 of 2,,9,9
36,1,7:12.0,R. Gay makes free throw 2 of 2,,10,9
37,1,6:55.0,,Turnover by P. Millsap (bad pass; steal by B. McLemore),10,9
38,1,6:49.0,B. McLemore makes 2-pt layup at rim (assist by D. Cousins),,12,9
39,1,6:49.0,,Atlanta full timeout,12,9
40,1,6:49.0,,L. Patterson enters the game for A. Horford,12,9
41,1,6:49.0,,T. Splitter enters the game for K. Korver,12,9
42,1,6:37.0,,Personal foul by Q. Acy (drawn by P. Millsap),12,9
43,1,6:28.0,,P. Millsap misses 2-pt jump shot from 1 ft,12,9
44,1,6:25.0,Defensive rebound by R. Rondo,,12,9
45,1,6:23.0,Turnover by R. Rondo (bad pass; steal by L. Patterson),,12,9
46,1,6:09.0,,Turnover by J. Holiday (bad pass; steal by R. Gay),12,9
47,1,6:00.0,R. Gay makes 2-pt layup from 1 ft (assist by R. Rondo),,14,9
48,1,5:47.0,,P. Millsap makes 2-pt jump shot from 10 ft (assist by D. Schröder),14,11
49,1,5:30.0,D. Cousins misses 2-pt layup from 1 ft,,14,11
50,1,5:27.0,,Defensive rebound by P. Millsap,14,11
51,1,5:20.0,,P. Millsap makes 2-pt layup at rim (assist by D. Schröder),14,13
52,1,5:11.0,R. Rondo makes 2-pt layup from 1 ft,,16,13
53,1,4:52.0,,L. Patterson makes 3-pt jump shot from 23 ft (assist by J. Holiday),16,16
54,1,4:35.0,Shooting foul by D. Schröder (drawn by D. Cousins),,16,16
55,1,4:35.0,D. Cousins makes free throw 1 of 2,,17,16
56,1,4:35.0,,T. Sefolosha enters the game for J. Holiday,17,16
57,1,4:35.0,W. Cauley-Stein enters the game for Q. Acy,,17,16
58,1,4:35.0,,S. Mack enters the game for D. Schröder,17,16
59,1,4:35.0,D. Cousins misses free throw 2 of 2,,17,16
60,1,4:34.0,,Defensive rebound by T. Sefolosha,17,16
61,1,4:21.0,,Shooting foul by W. Cauley-Stein (drawn by P. Millsap),17,16
62,1,4:21.0,,P. Millsap makes free throw 1 of 2,17,17
63,1,4:21.0,O. Casspi enters the game for R. Gay,,17,17
64,1,4:21.0,M. Belinelli enters the game for B. McLemore,,17,17
65,1,4:21.0,,P. Millsap makes free throw 2 of 2,17,18
66,1,4:05.0,D. Cousins misses 2-pt jump shot from 15 ft,,17,18
