,QUARTER,TIME_REMAINING,HOUSTON_ACTION,WASHINGTON_ACTION,HOUSTON_SCORE,WASHINGTON_SCORE
0,1,11:45.0,,B. Beal misses 2-pt jump shot from 20 ft,0,0
1,1,11:44.0,,Offensive rebound by M. Gortat,0,0
2,1,11:42.0,,M. Gortat makes 2-pt hook shot from 4 ft,0,2
3,1,11:18.0,C. Brewer makes 3-pt jump shot from 23 ft (assist by C. Capela),,3,2
4,1,11:03.0,,J. Dudley makes 2-pt jump shot from 17 ft (assist by J. Wall),3,4
5,1,10:45.0,P. Beverley misses 3-pt jump shot from 26 ft,,3,4
6,1,10:45.0,,Defensive rebound by M. Gortat,3,4
7,1,10:32.0,,B. Beal misses 2-pt layup at rim,3,4
8,1,10:30.0,,Offensive rebound by B. Beal,3,4
9,1,10:18.0,,J. Dudley misses 3-pt jump shot from 24 ft,3,4
10,1,10:17.0,Defensive rebound by P. Beverley,,3,4
11,1,10:14.0,,Violation by J. Wall (def goaltending),3,4
12,1,10:14.0,C. Brewer makes 2-pt dunk at rim (assist by P. Beverley),,5,4
13,1,10:07.0,,Turnover by B. Beal (bad pass; steal by D. Howard),5,4
14,1,9:55.0,C. Capela makes 2-pt dunk at rim (assist by P. Beverley),,7,4
15,1,9:43.0,,J. Wall misses 2-pt layup at rim,7,4
16,1,9:42.0,Defensive rebound by D. Howard,,7,4
17,1,9:35.0,C. Capela makes 2-pt dunk at rim (assist by J. Harden),,9,4
18,1,9:28.0,,Washington full timeout,9,4
19,1,9:08.0,,B. Beal misses 2-pt jump shot from 13 ft (block by D. Howard),9,4
20,1,9:08.0,Defensive rebound by Team,,9,4
21,1,8:57.0,Personal foul by M. Gortat (drawn by D. Howard),,9,4
22,1,8:55.0,Turnover by P. Beverley (lost ball; steal by J. Wall),,9,4
23,1,8:52.0,,J. Wall makes 2-pt layup from 2 ft,9,6
24,1,8:41.0,C. Capela makes 2-pt layup from 1 ft (assist by J. Harden),,11,6
25,1,8:31.0,,B. Beal misses 3-pt jump shot from 25 ft,11,6
26,1,8:30.0,Defensive rebound by D. Howard,,11,6
27,1,8:20.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Harden),,13,6
28,1,8:11.0,,Personal foul by P. Beverley (drawn by J. Wall),13,6
29,1,8:11.0,T. Jones enters the game for D. Howard,,13,6
30,1,8:05.0,,Shooting foul by C. Brewer (drawn by M. Gortat),13,6
31,1,8:05.0,,M. Gortat makes free throw 1 of 2,13,7
32,1,8:05.0,,M. Gortat makes free throw 2 of 2,13,8
33,1,7:50.0,T. Jones misses 2-pt jump shot from 5 ft,,13,8
34,1,7:49.0,,Defensive rebound by M. Gortat,13,8
35,1,7:40.0,,B. Beal misses 3-pt jump shot from 26 ft,13,8
36,1,7:39.0,Defensive rebound by T. Jones,,13,8
37,1,7:16.0,C. Brewer misses 2-pt jump shot from 15 ft,,13,8
38,1,7:16.0,,Defensive rebound by M. Gortat,13,8
39,1,7:07.0,,J. Wall misses 3-pt jump shot from 25 ft,13,8
40,1,7:06.0,Defensive rebound by C. Brewer,,13,8
41,1,7:02.0,T. Jones makes 2-pt dunk at rim (assist by C. Brewer),,15,8
42,1,6:42.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by J. Wall),15,11
43,1,6:34.0,Personal foul by O. Porter (drawn by J. Harden),,15,11
44,1,6:26.0,Turnover by J. Harden (bad pass),,15,11
45,1,6:18.0,,O. Porter misses 2-pt layup at rim,15,11
46,1,6:17.0,Defensive rebound by C. Brewer,,15,11
47,1,5:52.0,P. Beverley misses 3-pt jump shot from 25 ft,,15,11
48,1,5:50.0,Offensive rebound by C. Capela,,15,11
49,1,5:41.0,Turnover by J. Harden (bad pass; steal by J. Wall),,15,11
50,1,5:35.0,,O. Porter misses 2-pt jump shot from 3 ft,15,11
51,1,5:30.0,Defensive rebound by J. Harden,,15,11
52,1,5:16.0,J. Harden makes 3-pt jump shot from 28 ft,,18,11
53,1,5:04.0,,J. Wall misses 2-pt jump shot from 20 ft,18,11
54,1,5:03.0,,Offensive rebound by O. Porter,18,11
55,1,5:00.0,,O. Porter misses 2-pt layup at rim,18,11
56,1,4:59.0,Defensive rebound by P. Beverley,,18,11
57,1,4:45.0,J. Harden misses 2-pt jump shot from 4 ft,,18,11
58,1,4:44.0,Offensive rebound by J. Harden,,18,11
59,1,4:42.0,J. Harden makes 2-pt layup from 2 ft,,20,11
60,1,4:37.0,,J. Wall makes 2-pt layup from 1 ft,20,13
61,1,4:26.0,Houston full timeout,,20,13
62,1,4:26.0,,G. Neal enters the game for O. Porter,20,13
63,1,4:26.0,D. Howard enters the game for C. Brewer,,20,13
64,1,4:26.0,T. Lawson enters the game for C. Capela,,20,13
65,1,4:26.0,M. Thornton enters the game for P. Beverley,,20,13
66,1,4:12.0,J. Harden makes 2-pt jump shot from 18 ft,,22,13
67,1,3:52.0,,Turnover by M. Gortat (bad pass),22,13
68,1,3:36.0,,G. Temple enters the game for B. Beal,22,13
69,1,3:29.0,T. Jones misses 2-pt jump shot from 16 ft,,22,13
70,1,3:28.0,,Defensive rebound by J. Dudley,22,13
