,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW YORK_ACTION,SAN ANTONIO_SCORE,NEW YORK_SCORE
0,1,11:42.0,T. Duncan makes 2-pt jump shot from 19 ft,,2,0
1,1,11:21.0,,R. Lopez makes 2-pt jump shot from 14 ft (assist by S. Vujačić),2,2
2,1,11:02.0,K. Leonard makes 2-pt jump shot from 11 ft (assist by T. Duncan),,4,2
3,1,11:02.0,Shooting foul by R. Lopez (drawn by K. Leonard),,4,2
4,1,11:02.0,K. Leonard makes free throw 1 of 1,,5,2
5,1,10:47.0,,S. Vujačić misses 2-pt jump shot from 19 ft,5,2
6,1,10:46.0,,Offensive rebound by K. Porziņģis,5,2
7,1,10:40.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by K. Porziņģis),5,5
8,1,10:16.0,Personal foul by K. Porziņģis (drawn by L. Aldridge),,5,5
9,1,10:10.0,D. Green misses 2-pt jump shot from 11 ft,,5,5
10,1,10:09.0,,Defensive rebound by K. Porziņģis,5,5
11,1,10:00.0,,K. Porziņģis misses 3-pt jump shot from 24 ft,5,5
12,1,9:59.0,Defensive rebound by K. Leonard,,5,5
13,1,9:46.0,L. Aldridge misses 2-pt layup from 2 ft,,5,5
14,1,9:45.0,Offensive rebound by L. Aldridge,,5,5
15,1,9:36.0,T. Duncan misses 2-pt jump shot from 19 ft,,5,5
16,1,9:35.0,,Defensive rebound by K. Porziņģis,5,5
17,1,9:25.0,,K. Porziņģis makes 2-pt layup at rim (assist by J. Calderón),5,7
18,1,9:04.0,L. Aldridge misses 2-pt jump shot from 18 ft,,5,7
19,1,9:03.0,Offensive rebound by K. Leonard,,5,7
20,1,8:54.0,T. Parker misses 2-pt jump shot from 4 ft,,5,7
21,1,8:53.0,,Defensive rebound by K. Porziņģis,5,7
22,1,8:44.0,,C. Anthony misses 2-pt jump shot from 21 ft,5,7
23,1,8:42.0,,Offensive rebound by K. Porziņģis,5,7
24,1,8:25.0,,S. Vujačić makes 2-pt layup at rim,5,9
25,1,8:10.0,T. Parker makes 2-pt jump shot from 5 ft,,7,9
26,1,7:56.0,,J. Calderón makes 3-pt jump shot from 25 ft (assist by C. Anthony),7,12
27,1,7:54.0,San Antonio full timeout,,7,12
28,1,7:44.0,K. Leonard misses 3-pt jump shot from 24 ft,,7,12
29,1,7:43.0,,Defensive rebound by S. Vujačić,7,12
30,1,7:30.0,,C. Anthony misses 2-pt jump shot from 12 ft (block by K. Leonard),7,12
31,1,7:29.0,Defensive rebound by T. Parker,,7,12
32,1,7:22.0,D. Green misses 3-pt jump shot from 22 ft,,7,12
33,1,7:21.0,Offensive rebound by D. Green,,7,12
34,1,7:18.0,Turnover by D. Green (bad pass; steal by J. Calderón),,7,12
35,1,7:01.0,,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by S. Vujačić),7,15
36,1,6:46.0,T. Parker makes 2-pt jump shot from 6 ft (assist by D. Green),,9,15
37,1,6:33.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,9,15
38,1,6:32.0,Defensive rebound by T. Duncan,,9,15
39,1,6:23.0,K. Anderson enters the game for D. Green,,9,15
40,1,6:11.0,T. Duncan makes 2-pt jump shot from 6 ft (assist by K. Anderson),,11,15
41,1,5:46.0,,R. Lopez misses 2-pt jump shot from 13 ft,11,15
