,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MEMPHIS_ACTION,HOUSTON_SCORE,MEMPHIS_SCORE
0,1,11:39.0,Turnover by C. Capela (bad pass; steal by M. Chalmers),,0,0
1,1,11:10.0,,T. Allen makes 3-pt jump shot from 23 ft (assist by M. Chalmers),0,3
2,1,11:04.0,J. Harden makes 3-pt jump shot from 26 ft (assist by P. Beverley),,3,3
3,1,10:42.0,,M. Gasol misses 2-pt jump shot from 17 ft,3,3
4,1,10:41.0,Defensive rebound by T. Ariza,,3,3
5,1,10:30.0,Turnover by P. Beverley (bad pass),,3,3
6,1,10:12.0,,M. Gasol makes 2-pt jump shot from 16 ft,3,5
7,1,10:00.0,Personal foul by M. Gasol (drawn by J. Harden),,3,5
8,1,9:49.0,D. Howard misses 2-pt jump shot from 6 ft (block by M. Gasol),,3,5
9,1,9:48.0,Offensive rebound by J. Harden,,3,5
10,1,9:46.0,Turnover by Team (shot clock),,3,5
11,1,9:30.0,,T. Allen makes 2-pt jump shot from 12 ft (assist by J. Green),3,7
12,1,9:12.0,Turnover by D. Howard (lost ball; steal by M. Gasol),,3,7
13,1,9:06.0,,C. Lee makes 3-pt jump shot from 26 ft (assist by M. Chalmers),3,10
14,1,8:49.0,D. Howard makes 2-pt layup at rim (assist by J. Harden),,5,10
15,1,8:39.0,,Personal foul by J. Harden (drawn by J. Green),5,10
16,1,8:25.0,,Turnover by C. Lee (bad pass; steal by C. Capela),5,10
17,1,8:19.0,P. Beverley misses 3-pt jump shot from 25 ft,,5,10
18,1,8:18.0,Offensive rebound by D. Howard,,5,10
19,1,8:11.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by J. Harden),,8,10
20,1,7:43.0,,T. Allen misses 3-pt jump shot from 25 ft,8,10
21,1,7:43.0,Defensive rebound by C. Capela,,8,10
22,1,7:34.0,Shooting foul by J. Green (drawn by J. Harden),,8,10
23,1,7:34.0,J. Harden makes free throw 1 of 2,,9,10
24,1,7:34.0,J. Harden makes free throw 2 of 2,,10,10
25,1,7:20.0,,J. Green misses 2-pt jump shot from 20 ft,10,10
26,1,7:19.0,Defensive rebound by D. Howard,,10,10
27,1,7:11.0,Turnover by J. Harden (bad pass; steal by C. Lee),,10,10
28,1,6:48.0,,M. Gasol makes 2-pt jump shot from 8 ft (assist by T. Allen),10,12
29,1,6:33.0,T. Ariza misses 2-pt jump shot from 13 ft,,10,12
30,1,6:33.0,Offensive rebound by P. Beverley,,10,12
