,QUARTER,TIME_REMAINING,HOUSTON_ACTION,SACRAMENTO_ACTION,HOUSTON_SCORE,SACRAMENTO_SCORE
0,1,11:40.0,Turnover by J. Harden (bad pass; steal by D. Cousins),,0,0
1,1,11:35.0,Violation by D. Howard (def goaltending),,0,0
2,1,11:35.0,,O. Casspi makes 2-pt layup from 2 ft,0,2
3,1,11:28.0,Turnover by D. Motiejūnas (bad pass),,0,2
4,1,11:04.0,,O. Casspi makes 2-pt layup from 2 ft (assist by D. Collison),0,4
5,1,10:47.0,D. Motiejūnas makes 2-pt layup from 2 ft (assist by D. Howard),,2,4
6,1,10:36.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by D. Collison),2,7
7,1,10:24.0,J. Harden misses 3-pt jump shot from 24 ft,,2,7
8,1,10:22.0,Offensive rebound by Team,,2,7
9,1,10:12.0,P. Beverley misses 2-pt jump shot from 5 ft,,2,7
10,1,10:12.0,,Defensive rebound by Team,2,7
11,1,10:12.0,Loose ball foul by D. Howard (drawn by D. Cousins),,2,7
12,1,10:12.0,Violation by Team (delay of game),,2,7
13,1,10:00.0,,D. Cousins misses 3-pt jump shot from 25 ft,2,7
14,1,9:59.0,Defensive rebound by D. Motiejūnas,,2,7
15,1,9:52.0,D. Howard misses 2-pt jump shot from 4 ft,,2,7
16,1,9:52.0,,Defensive rebound by D. Collison,2,7
17,1,9:44.0,,B. McLemore makes 2-pt layup from 2 ft (assist by D. Collison),2,9
18,1,9:33.0,,Violation by R. Gay (kicked ball),2,9
19,1,9:25.0,D. Motiejūnas misses 3-pt jump shot from 24 ft,,2,9
20,1,9:24.0,,Defensive rebound by D. Cousins,2,9
21,1,9:16.0,,R. Gay makes 2-pt layup from 3 ft (assist by D. Collison),2,11
22,1,9:10.0,Houston full timeout,,2,11
23,1,9:10.0,J. Terry enters the game for P. Beverley,,2,11
24,1,9:10.0,C. Capela enters the game for D. Motiejūnas,,2,11
25,1,8:57.0,J. Terry misses 3-pt jump shot from 23 ft,,2,11
26,1,8:56.0,Offensive rebound by D. Howard,,2,11
27,1,8:53.0,D. Howard misses 2-pt layup from 2 ft,,2,11
28,1,8:51.0,Offensive rebound by C. Capela,,2,11
29,1,8:47.0,J. Harden makes 3-pt jump shot from 24 ft,,5,11
30,1,8:47.0,,Technical foul by D. Cousins,5,11
31,1,8:47.0,J. Harden makes technical free throw,,6,11
32,1,8:27.0,,D. Cousins misses 2-pt jump shot from 22 ft,6,11
33,1,8:26.0,Defensive rebound by C. Capela,,6,11
34,1,8:19.0,T. Ariza misses 3-pt jump shot from 25 ft,,6,11
35,1,8:17.0,Offensive rebound by C. Capela,,6,11
36,1,8:17.0,C. Capela makes 2-pt layup from 1 ft,,8,11
37,1,8:12.0,,B. McLemore makes 2-pt layup from 2 ft (assist by D. Collison),8,13
38,1,8:12.0,,Shooting foul by C. Capela (drawn by B. McLemore),8,13
39,1,8:12.0,,B. McLemore misses free throw 1 of 1,8,13
40,1,8:11.0,Defensive rebound by T. Ariza,,8,13
41,1,8:04.0,D. Howard makes 2-pt layup from 2 ft (assist by J. Terry),,10,13
42,1,8:04.0,Shooting foul by D. Cousins (drawn by D. Howard),,10,13
43,1,8:04.0,D. Howard misses free throw 1 of 1,,10,13
44,1,8:01.0,Offensive rebound by T. Ariza,,10,13
45,1,8:01.0,T. Ariza misses 2-pt layup from 1 ft,,10,13
46,1,8:00.0,,Defensive rebound by D. Cousins,10,13
47,1,7:57.0,,Turnover by D. Collison (back court),10,13
48,1,7:44.0,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),,13,13
49,1,7:34.0,,Turnover by B. McLemore (step out of bounds),13,13
50,1,7:25.0,C. Capela makes 2-pt jump shot from 4 ft (assist by J. Terry),,15,13
51,1,7:10.0,,Turnover by D. Cousins (lost ball; steal by D. Howard),15,13
52,1,7:06.0,Turnover by J. Harden (bad pass; steal by B. McLemore),,15,13
53,1,7:04.0,,Personal foul by J. Terry (drawn by B. McLemore),15,13
54,1,6:58.0,,Turnover by R. Gay (bad pass; steal by J. Terry),15,13
55,1,6:55.0,J. Terry makes 2-pt layup from 1 ft,,17,13
56,1,6:55.0,,Sacramento full timeout,17,13
57,1,6:55.0,,K. Koufos enters the game for O. Casspi,17,13
58,1,6:38.0,,Turnover by D. Collison (bad pass; steal by C. Capela),17,13
59,1,6:33.0,J. Terry makes 2-pt layup from 2 ft (assist by J. Harden),,19,13
60,1,6:15.0,,M. Belinelli enters the game for B. McLemore,19,13
61,1,6:09.0,,D. Cousins misses 2-pt jump shot from 4 ft,19,13
62,1,6:09.0,,Offensive rebound by D. Cousins,19,13
63,1,6:09.0,,Shooting foul by C. Capela (drawn by D. Cousins),19,13
64,1,6:09.0,,D. Cousins makes free throw 1 of 2,19,14
65,1,6:09.0,,D. Cousins makes free throw 2 of 2,19,15
66,1,5:56.0,J. Harden misses 2-pt jump shot from 21 ft,,19,15
67,1,5:55.0,,Defensive rebound by D. Cousins,19,15
68,1,5:42.0,,R. Gay makes 3-pt jump shot from 23 ft,19,18
69,1,5:24.0,Shooting foul by R. Gay (drawn by T. Ariza),,19,18
70,1,5:24.0,T. Ariza makes free throw 1 of 2,,20,18
71,1,5:24.0,T. Jones enters the game for D. Howard,,20,18
72,1,5:24.0,T. Ariza makes free throw 2 of 2,,21,18
73,1,5:14.0,,Personal foul by T. Jones (drawn by D. Cousins),21,18
74,1,5:14.0,,D. Cousins makes free throw 1 of 2,21,19
75,1,5:14.0,,D. Cousins makes free throw 2 of 2,21,20
76,1,5:08.0,Personal foul by D. Collison (drawn by J. Terry),,21,20
77,1,4:55.0,T. Ariza misses 3-pt jump shot from 24 ft,,21,20
78,1,4:54.0,,Defensive rebound by D. Collison,21,20
79,1,4:50.0,,M. Belinelli misses 2-pt layup from 1 ft,21,20
80,1,4:48.0,Defensive rebound by T. Jones,,21,20
81,1,4:32.0,J. Harden misses 3-pt jump shot from 23 ft,,21,20
82,1,4:30.0,,Defensive rebound by R. Gay,21,20
83,1,4:23.0,,D. Cousins makes 3-pt jump shot from 25 ft (assist by R. Gay),21,23
84,1,4:03.0,J. Terry misses 2-pt jump shot from 9 ft,,21,23
85,1,4:03.0,,Defensive rebound by Team,21,23
86,1,4:03.0,C. Brewer enters the game for T. Ariza,,21,23
