,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,Turnover by D. Cousins (bad pass; steal by W. Matthews),0,0
1,1,11:32.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,0,0
2,1,11:31.0,,Defensive rebound by D. Cousins,0,0
3,1,11:20.0,,D. Cousins makes 2-pt jump shot from 7 ft,0,2
4,1,11:20.0,,Shooting foul by S. Mejri (drawn by D. Cousins),0,2
5,1,11:20.0,,D. Cousins misses free throw 1 of 1,0,2
6,1,11:19.0,Defensive rebound by S. Mejri,,0,2
7,1,11:07.0,S. Mejri makes 2-pt dunk at rim (assist by R. Felton),,2,2
8,1,10:54.0,,R. Gay misses 3-pt jump shot from 24 ft,2,2
9,1,10:53.0,Defensive rebound by S. Mejri,,2,2
10,1,10:29.0,D. Nowitzki misses 3-pt jump shot from 27 ft,,2,2
11,1,10:29.0,,Defensive rebound by R. Rondo,2,2
12,1,10:15.0,,R. Rondo misses 3-pt jump shot from 24 ft,2,2
13,1,10:14.0,,Offensive rebound by D. Cousins,2,2
14,1,10:10.0,Z. Pachulia enters the game for S. Mejri,,2,2
15,1,10:10.0,,D. Cousins makes free throw 1 of 2,2,3
16,1,10:10.0,,Shooting foul by S. Mejri (drawn by D. Cousins),2,3
17,1,10:10.0,,D. Cousins makes free throw 2 of 2,2,4
18,1,9:59.0,Turnover by J. Barea (bad pass; steal by Q. Acy),,2,4
19,1,9:57.0,,Turnover by R. Rondo (traveling),2,4
20,1,9:50.0,J. Barea makes 2-pt jump shot from 13 ft,,4,4
21,1,9:38.0,,D. Cousins makes 2-pt hook shot from 6 ft,4,6
22,1,9:27.0,Turnover by J. Barea (bad pass; steal by R. Rondo),,4,6
23,1,9:22.0,,R. Gay makes 2-pt dunk at rim (assist by R. Rondo),4,8
24,1,9:04.0,Turnover by D. Nowitzki (bad pass; steal by R. Gay),,4,8
25,1,8:50.0,,R. Gay misses 3-pt jump shot from 23 ft,4,8
26,1,8:49.0,Defensive rebound by R. Felton,,4,8
27,1,8:36.0,J. Barea makes 2-pt layup from 4 ft,,6,8
28,1,8:22.0,,R. Rondo makes 3-pt jump shot from 25 ft (assist by D. Cousins),6,11
29,1,8:00.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,6,11
30,1,8:00.0,,Defensive rebound by D. Cousins,6,11
31,1,7:47.0,,S. Curry misses 3-pt jump shot from 24 ft,6,11
32,1,7:46.0,,Offensive rebound by Q. Acy,6,11
33,1,7:26.0,,Q. Acy makes 2-pt jump shot from 20 ft (assist by R. Rondo),6,13
34,1,7:26.0,Dallas full timeout,,6,13
35,1,7:13.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,6,13
36,1,7:12.0,,Defensive rebound by R. Gay,6,13
37,1,6:58.0,,D. Cousins misses 2-pt layup from 2 ft,6,13
38,1,6:57.0,Defensive rebound by J. Barea,,6,13
39,1,6:50.0,J. Barea makes 2-pt layup from 1 ft,,8,13
40,1,6:39.0,,R. Gay misses 2-pt dunk at rim,8,13
41,1,6:38.0,Defensive rebound by J. Barea,,8,13
