,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
0,1,11:37.0,,J. Nelson misses 2-pt jump shot from 20 ft,0,0
1,1,11:36.0,Defensive rebound by K. Love,,0,0
2,1,11:24.0,L. James misses 2-pt jump shot from 8 ft,,0,0
3,1,11:24.0,Offensive rebound by Team,,0,0
4,1,11:20.0,J. Smith misses 2-pt jump shot from 20 ft,,0,0
5,1,11:19.0,,Defensive rebound by K. Faried,0,0
6,1,11:05.0,,J. Lauvergne misses 2-pt layup from 2 ft,0,0
7,1,11:02.0,Defensive rebound by K. Love,,0,0
8,1,10:59.0,Turnover by L. James (bad pass; steal by G. Harris),,0,0
9,1,10:49.0,,K. Papanikolaou misses 3-pt jump shot from 23 ft,0,0
10,1,10:47.0,Defensive rebound by M. Dellavedova,,0,0
11,1,10:30.0,L. James makes 2-pt jump shot from 4 ft,,2,0
12,1,10:19.0,Violation by K. Love (kicked ball),,2,0
13,1,10:05.0,,J. Lauvergne makes 2-pt layup from 1 ft,2,2
14,1,9:45.0,K. Love misses 2-pt jump shot from 16 ft,,2,2
15,1,9:44.0,,Defensive rebound by J. Nelson,2,2
16,1,9:39.0,,Personal foul by T. Thompson (drawn by K. Faried),2,2
17,1,9:28.0,,J. Lauvergne makes 2-pt dunk at rim (assist by J. Nelson),2,4
18,1,9:12.0,L. James makes 2-pt jump shot from 21 ft (assist by J. Smith),,4,4
19,1,8:58.0,,G. Harris misses 3-pt jump shot from 24 ft,4,4
20,1,8:57.0,Defensive rebound by M. Dellavedova,,4,4
21,1,8:50.0,J. Smith makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,7,4
22,1,8:21.0,,K. Faried misses 2-pt hook shot from 3 ft,7,4
23,1,8:20.0,Defensive rebound by K. Love,,7,4
24,1,8:11.0,L. James misses 2-pt jump shot from 9 ft,,7,4
25,1,8:09.0,Offensive rebound by K. Love,,7,4
26,1,8:07.0,K. Love makes 2-pt hook shot from 4 ft,,9,4
27,1,7:54.0,,J. Nelson misses 2-pt jump shot from 20 ft,9,4
28,1,7:53.0,,Offensive rebound by K. Faried,9,4
29,1,7:44.0,,J. Lauvergne misses 3-pt jump shot from 25 ft,9,4
30,1,7:43.0,Defensive rebound by K. Love,,9,4
31,1,7:29.0,J. Smith misses 3-pt jump shot from 23 ft,,9,4
32,1,7:28.0,,Defensive rebound by K. Papanikolaou,9,4
33,1,7:21.0,,Turnover by K. Papanikolaou (bad pass),9,4
34,1,7:21.0,Cleveland full timeout,,9,4
35,1,7:06.0,L. James makes 3-pt jump shot from 24 ft (assist by M. Dellavedova),,12,4
36,1,6:48.0,,J. Lauvergne makes 2-pt layup from 2 ft,12,6
37,1,6:31.0,K. Love misses 3-pt jump shot from 25 ft,,12,6
38,1,6:30.0,Offensive rebound by M. Dellavedova,,12,6
